source_row_index,fish_id,battery_suite,battery,group_raw,group,treatment,exposure,date_raw,start_time_raw,datetime_raw,datetime,datetime_parse_method,datetime_parse_failed_flag,first_choice_raw,first_choice,first_choice_clean,first_choice_binary,first_choice_valid_binary,no_choice_flag,first_choice_nonbinary_flag,date,start_time,latency,num_changes,time_bright,mtpc,mov_bottom,mov_upper,mov_total,dist_bottom,dist_upper,dist_total,vel_bottom,vel_upper,vel_mean,attempts,last_flux,time_in_last_flux,resistance_index,lt,ls,wt,Kc,sex,blood_sugar,conductivity,pH,sex_raw,stratum_pref,ldt_present_flag,ntt_present_flag,endurance_present_flag,first_choice_exclusion_reason,blood_sugar_missing_flag,sex_missing_flag,ldt_time_bright_gt_480_flag,ldt_time_bright_gt_600_flag,ntt_mov_total_gt_480_flag,zero_motion_flag,low_motion_flag,impossible_value_flag,tracking_failure_flag,missing_critical_field_flag,distance_outlier_flag,manual_review_flag,global_exclusion_flag,global_exclusion_reason
278,3BT01hCTR01,3,BT3,01h_CTR,01h 0.0%,0.0,1,,,,,failed,False,,,,,False,False,False,,,,,,,,,,,,,,,,1.0,6.0,17.0,16.7,3.2,2.7,0.32,1.6257684296093071,,,,,,,False,False,True,,True,True,False,False,False,False,False,False,False,False,False,False,False,
279,3BT01hCTR02,3,BT3,01h_CTR,01h 0.0%,0.0,1,,,,,failed,False,,,,,False,False,False,,,,,,,,,,,,,,,,2.0,2.0,18.0,1.6,3.4,2.7,0.29,1.4733526393334346,male,142.0,,,m,,False,False,True,,False,False,False,False,False,False,False,False,False,False,False,False,False,
280,3BT01hCTR03,3,BT3,01h_CTR,01h 0.0%,0.0,1,,,,,failed,False,,,,,False,False,False,,,,,,,,,,,,,,,,1.0,4.0,33.0,8.2,3.6,2.4,0.18,1.3020833333333335,female,,,,f,,False,False,True,,True,False,False,False,False,False,False,False,False,False,False,False,False,
281,3BT01hCTR04,3,BT3,01h_CTR,01h 0.0%,0.0,1,,,,,failed,False,,,,,False,False,False,,,,,,,,,,,,,,,,3.0,4.0,3.0,6.2,3.5,2.7,0.27,1.371742112482853,,396.0,,,,,False,False,True,,False,True,False,False,False,False,False,False,False,False,False,False,False,
282,3BT01hCTR05,3,BT3,01h_CTR,01h 0.0%,0.0,1,,,,,failed,False,,,,,False,False,False,,,,,,,,,,,,,,,,1.0,6.0,32.0,18.2,3.5,2.9,0.36,1.4760752798392718,female,,,,f,,False,False,True,,True,False,False,False,False,False,False,False,False,False,False,False,False,
283,3BT01hCTR06,3,BT3,01h_CTR,01h 0.0%,0.0,1,,,,,failed,False,,,,,False,False,False,,,,,,,,,,,,,,,,2.0,3.0,16.0,3.8,3.6,2.9,0.37,1.5170773709459182,female,,,,f,,False,False,True,,True,False,False,False,False,False,False,False,False,False,False,False,False,
284,3BT01hCTR07,3,BT3,01h_CTR,01h 0.0%,0.0,1,,,,,failed,False,,,,,False,False,False,,,,,,,,,,,,,,,,1.0,7.0,0.0,21.0,3.2,2.5,0.27,1.728,male,,,,m,,False,False,True,,True,False,False,False,False,False,False,False,False,False,False,False,False,
285,3BT01hCTR08,3,BT3,01h_CTR,01h 0.0%,0.0,1,,,,,failed,False,,,,,False,False,False,,,,,,,,,,,,,,,,1.0,6.0,15.0,16.5,3.8,2.8,0.33,1.5032798833819245,female,43.0,,,f,,False,False,True,,False,False,False,False,False,False,False,False,False,False,False,False,False,
286,3BT01hCTR09,3,BT3,01h_CTR,01h 0.0%,0.0,1,,,,,failed,False,,,,,False,False,False,,,,,,,,,,,,,,,,1.0,8.0,30.0,32.0,3.7,2.8,0.37,1.6854956268221577,female,137.0,,,f,,False,False,True,,False,False,False,False,False,False,False,False,False,False,False,False,False,
287,3BT01hCTR10,3,BT3,01h_CTR,01h 0.0%,0.0,1,,,,,failed,False,,,,,False,False,False,,,,,,,,,,,,,,,,1.0,4.0,45.0,9.0,3.4,2.7,0.33,1.676573693034598,female,,,,f,,False,False,True,,True,False,False,False,False,False,False,False,False,False,False,False,False,
288,3BT01hCTR11,3,BT3,01h_CTR,01h 0.0%,0.0,1,,,,,failed,False,,,,,False,False,False,,,,,,,,,,,,,,,,1.0,6.0,49.0,19.9,3.0,2.5,0.23,1.472,male,,,,m,,False,False,True,,True,False,False,False,False,False,False,False,False,False,False,False,False,
289,3BT01hCTR12,3,BT3,01h_CTR,01h 0.0%,0.0,1,,,,,failed,False,,,,,False,False,False,,,,,,,,,,,,,,,,1.0,6.0,50.0,20.0,3.4,2.7,0.28,1.422547375908144,female,,,,f,,False,False,True,,True,False,False,False,False,False,False,False,False,False,False,False,False,
290,3BT01hCTR13,3,BT3,01h_CTR,01h 0.0%,0.0,1,,,,,failed,False,,,,,False,False,False,,,,,,,,,,,,,,,,1.0,4.0,14.0,6.933333333333334,3.0,2.4,0.21,1.5190972222222223,male,142.0,,,m,,False,False,True,,False,False,False,False,False,False,False,False,False,False,False,False,False,
291,3BT01hCTR14,3,BT3,01h_CTR,01h 0.0%,0.0,1,,,,,failed,False,,,,,False,False,False,,,,,,,,,,,,,,,,1.0,10.0,37.0,51.166666666666664,3.3,2.7,0.26,1.3209368490575624,male,152.0,,,m,,False,False,True,,False,False,False,False,False,False,False,False,False,False,False,False,False,
292,3BT01hCTR15,3,BT3,01h_CTR,01h 0.0%,0.0,1,,,,,failed,False,,,,,False,False,False,,,,,,,,,,,,,,,,1.0,6.0,0.0,15.0,3.6,3.1,0.38,1.2755530193682654,female,165.0,,,f,,False,False,True,,False,False,False,False,False,False,False,False,False,False,False,False,False,
293,3BT01hCTR16,3,BT3,01h_CTR,01h 0.0%,0.0,1,,,,,failed,False,,,,,False,False,False,,,,,,,,,,,,,,,,1.0,7.0,5.0,21.583333333333332,3.1,2.5,0.24,1.5359999999999998,male,327.0,,,m,,False,False,True,,False,False,False,False,False,False,False,False,False,False,False,False,False,
