"source_row_index","fish_id","battery_suite","battery","group_raw","group","treatment","exposure","date_raw","start_time_raw","datetime_raw","datetime","datetime_parse_method","datetime_parse_failed_flag","first_choice_raw","first_choice","first_choice_clean","first_choice_binary","first_choice_valid_binary","no_choice_flag","first_choice_nonbinary_flag","date","start_time","latency","num_changes","time_bright","mtpc","mov_bottom","mov_upper","mov_total","dist_bottom","dist_upper","dist_total","vel_bottom","vel_upper","vel_mean","attempts","last_flux","time_in_last_flux","resistance_index","lt","ls","wt","Kc","sex","blood_sugar","conductivity","pH","sex_raw","stratum_pref","ldt_present_flag","ntt_present_flag","endurance_present_flag","first_choice_exclusion_reason","blood_sugar_missing_flag","sex_missing_flag","ldt_time_bright_gt_480_flag","ldt_time_bright_gt_600_flag","ntt_mov_total_gt_480_flag","zero_motion_flag","low_motion_flag","impossible_value_flag","tracking_failure_flag","missing_critical_field_flag","distance_outlier_flag","manual_review_flag","global_exclusion_flag","global_exclusion_reason"
278,"3BT01hCTR01",3,"BT3","01h_CTR","01h 0.0%",0,1,NA,NA,NA,NA,"failed","False",NA,NA,NA,NA,"False","False","False",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,6,17,16.7,3.2,2.7,0.32,1.62576842960931,"",NA,NA,NA,"",NA,"False","False","True",NA,"True","True","False","False","False","False","False","False","False","False","False","False","False",NA
279,"3BT01hCTR02",3,"BT3","01h_CTR","01h 0.0%",0,1,NA,NA,NA,NA,"failed","False",NA,NA,NA,NA,"False","False","False",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,18,1.6,3.4,2.7,0.29,1.47335263933343,"male",142,NA,NA,"m",NA,"False","False","True",NA,"False","False","False","False","False","False","False","False","False","False","False","False","False",NA
280,"3BT01hCTR03",3,"BT3","01h_CTR","01h 0.0%",0,1,NA,NA,NA,NA,"failed","False",NA,NA,NA,NA,"False","False","False",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,4,33,8.2,3.6,2.4,0.18,1.30208333333333,"female",NA,NA,NA,"f",NA,"False","False","True",NA,"True","False","False","False","False","False","False","False","False","False","False","False","False",NA
281,"3BT01hCTR04",3,"BT3","01h_CTR","01h 0.0%",0,1,NA,NA,NA,NA,"failed","False",NA,NA,NA,NA,"False","False","False",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,4,3,6.2,3.5,2.7,0.27,1.37174211248285,"",396,NA,NA,"",NA,"False","False","True",NA,"False","True","False","False","False","False","False","False","False","False","False","False","False",NA
282,"3BT01hCTR05",3,"BT3","01h_CTR","01h 0.0%",0,1,NA,NA,NA,NA,"failed","False",NA,NA,NA,NA,"False","False","False",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,6,32,18.2,3.5,2.9,0.36,1.47607527983927,"female",NA,NA,NA,"f",NA,"False","False","True",NA,"True","False","False","False","False","False","False","False","False","False","False","False","False",NA
283,"3BT01hCTR06",3,"BT3","01h_CTR","01h 0.0%",0,1,NA,NA,NA,NA,"failed","False",NA,NA,NA,NA,"False","False","False",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,16,3.8,3.6,2.9,0.37,1.51707737094592,"female",NA,NA,NA,"f",NA,"False","False","True",NA,"True","False","False","False","False","False","False","False","False","False","False","False","False",NA
284,"3BT01hCTR07",3,"BT3","01h_CTR","01h 0.0%",0,1,NA,NA,NA,NA,"failed","False",NA,NA,NA,NA,"False","False","False",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,7,0,21,3.2,2.5,0.27,1.728,"male",NA,NA,NA,"m",NA,"False","False","True",NA,"True","False","False","False","False","False","False","False","False","False","False","False","False",NA
285,"3BT01hCTR08",3,"BT3","01h_CTR","01h 0.0%",0,1,NA,NA,NA,NA,"failed","False",NA,NA,NA,NA,"False","False","False",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,6,15,16.5,3.8,2.8,0.33,1.50327988338192,"female",43,NA,NA,"f",NA,"False","False","True",NA,"False","False","False","False","False","False","False","False","False","False","False","False","False",NA
286,"3BT01hCTR09",3,"BT3","01h_CTR","01h 0.0%",0,1,NA,NA,NA,NA,"failed","False",NA,NA,NA,NA,"False","False","False",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,8,30,32,3.7,2.8,0.37,1.68549562682216,"female",137,NA,NA,"f",NA,"False","False","True",NA,"False","False","False","False","False","False","False","False","False","False","False","False","False",NA
287,"3BT01hCTR10",3,"BT3","01h_CTR","01h 0.0%",0,1,NA,NA,NA,NA,"failed","False",NA,NA,NA,NA,"False","False","False",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,4,45,9,3.4,2.7,0.33,1.6765736930346,"female",NA,NA,NA,"f",NA,"False","False","True",NA,"True","False","False","False","False","False","False","False","False","False","False","False","False",NA
