,short_label,domain,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14
time_bright,Time bright,LDT,-0.11672029987340793,0.41959348768083204,0.3221007984900605,-0.3004999602097937,0.00858117383136832,0.22364759263785294,0.1344085176823573,0.2667073157026638,-0.1270982465214848,0.25458839366791275,-0.1120424472205396,0.6164392142187525,0.05225755627496919,-0.02696888307807419
mtpc,MTPC,LDT,-0.20219522626543474,0.2736499380802282,0.5074266712319322,0.15355253912390446,0.057367597842786944,0.27362403950110364,-0.151814860700645,0.16591406961335256,-0.2012019385010585,0.03967049859885936,0.37064345247274955,-0.5427452634921993,-0.019526258011786563,-0.007069161415689612
first_choice_binary,First choice,LDT,0.017660572905089544,0.2826631378403989,0.286967370406906,-0.34033554144883804,0.10063323840893704,-0.2748177266697518,0.5761047205971905,-0.2918151939390907,0.26290991818648596,-0.2605922243850246,-0.11102583942416869,-0.2626532178541359,-0.008023529744323975,0.022332817945524937
latency,Latency,LDT,-0.005044259301331136,-0.11800785483624449,0.08828712019066705,0.5925749430591613,0.26131338651648456,-0.2964777117170458,0.5059580099500791,0.23831310576911238,0.062309403646566196,0.3406559242216077,0.15921578031249756,0.11240933637017232,0.00905972935563491,-0.011922096732590814
num_changes,Zone transitions,LDT,0.26907052439461626,0.0959449963073016,-0.37843115674116934,-0.3928204839745582,-0.11412952745314103,0.06526725724365776,0.15635334486388508,0.23054573566515227,0.10471384129331875,0.6011551061400721,0.14772650385794356,-0.36233902432735704,-0.021860730964237338,-0.0071720797031738105
dist_total,Distance,NTT,0.44705561379799574,0.2830345662203242,-0.06648491518003587,0.1435349808206195,0.2162960551350304,0.05174090509440662,-0.08310617383278875,-0.20771140851491599,-0.10462669914629717,-0.015561821761416334,0.06557802103948895,0.017703464829291676,0.7594036935528367,0.05478715163490754
vel_mean,Velocity,NTT,0.36560174014369423,0.28506256518440565,-0.02391487573361198,0.1819547695815436,0.32183985760372646,0.08079796190045849,-0.08688727896244293,-0.36020950073934616,-0.2712219793197019,0.1880808071796537,-0.25782317923201825,-0.015341737403068885,-0.5727071348196452,-0.018664908167402357
mov_total,Movement time,NTT,0.3599873283114025,0.2785567948942321,-0.09340709296771797,0.04429089936440695,-0.20326463952353974,-0.10039853434441454,-0.021609279153568323,0.09704336910158794,0.16593005391371451,-0.33456138134228625,0.6534005363799363,0.26597077290650945,-0.28899544893672274,-0.013882640719228873
stratum_pref,Upper stratum,NTT,0.2733124734952471,0.22364906419925787,0.1431011494295894,0.10909516213342826,-0.11898984903792922,-0.40099951913237597,-0.28932575577870484,0.5600131814639147,0.1343147215450767,-0.12219430118472244,-0.4602913989774204,-0.15955391352679227,-0.009035237040884107,-0.015465742418392919
resistance_index,Resistance index,RN,0.3440287461570804,-0.3332865561142797,0.42342954401450844,-0.051580337800986,-0.15075185664797716,0.06082489000676829,-0.06189502815107079,-0.14897910676579515,0.16378907551609942,0.15582180421169628,0.019448644419862562,0.04338489072925372,0.032922554115267996,-0.6940518251833431
last_flux,Last flux,RN,0.3345931940650694,-0.3582222995825855,0.42962268048368507,-0.09967865617707845,-0.10338746577663574,0.018057020342971172,-0.06985801213862174,-0.06795255409272354,0.081468894075808,0.1584091828054978,0.042101100601124805,0.06771234621276204,-0.04700404993543914,0.7102129862526749
attempts,Attempts,RN,-0.2676759143997261,0.2729814591544327,0.014855591980637087,0.17214779656942447,0.01732105613607696,-0.014428285419240357,-0.343300068985412,-0.27853136549563545,0.723301931899665,0.31088813968690215,0.008076905152839778,0.06444841608942761,0.006181178968383423,0.06291391102793092
time_in_last_flux,Time in last flux,RN,0.13750028261083558,0.08040043948600607,-0.07308659062153296,0.3619919354191503,-0.4198375599095792,0.6195639909623709,0.3468468626620091,0.049664392623254894,0.21075201486721268,-0.15064651059708978,-0.28066015807868055,-0.07176794688119739,-0.009656672979767179,0.0650570529846798
condition_factor,Condition K,Phys.,0.11865129196752394,-0.1914653888067263,-0.042292639874759674,-0.15491112652243488,0.6995565575193122,0.37316036567922695,-0.03238616860655647,0.3216418184200866,0.35814419774155887,-0.23889273267199834,0.0032534319309225554,4.2218747622085884e-05,-0.06746373189023205,-0.021152931665247492
