component,eigenvalue,proportion_variance,cumulative_variance
PC1,3.2671399447229383,0.23336713890878127,0.23336713890878127
PC2,2.4128526544799045,0.172346618177136,0.4057137570859173
PC3,1.435178460873917,0.10251274720527978,0.5082265042911971
PC4,1.2825483500786594,0.09161059643418995,0.5998371007253871
PC5,1.0399502890274306,0.07428216350195932,0.6741192642273464
PC6,0.9779133408156585,0.06985095291540418,0.7439702171427506
PC7,0.8712223506157559,0.06223016790112541,0.806200385043876
PC8,0.6846072456649387,0.048900517547495616,0.8551009025913716
PC9,0.6383203940537783,0.045594313860984156,0.9006952164523557
PC10,0.5831852343980876,0.04165608817129196,0.9423513046236477
PC11,0.4917818540698266,0.0351272752907019,0.9774785799143496
PC12,0.25824968098377965,0.018446405784555687,0.9959249856989053
PC13,0.04297663730328279,0.003069759807377342,0.9989947455062826
PC14,0.014073562912046002,0.0010052544937175715,1.0000000000000002
