"figure_number","figure_title","panel_contents","canonical_source_path","destination_path","file_format","byte_size","sha256_source","sha256_destination","cited_in","verification_status"
"Figure 1","Study design and measurement contexts","Single schematic: BT1 LDT->NTT->resistance; BT2 NTT->LDT; BT3 resistance alone","outputs/manuscript/figures_final/Fig1_battery_design.pdf","final_manuscript/figures/Fig1_battery_design.pdf","PDF","44656","ffd8fda11fbd99911afbf828c1dd1432cb09f285cb409aa76a3a1372d57c34e0","ffd8fda11fbd99911afbf828c1dd1432cb09f285cb409aa76a3a1372d57c34e0","Methods 2.5; Results 3.1","VERIFIED - hashes match"
"Figure 1","Study design and measurement contexts","Single schematic: BT1 LDT->NTT->resistance; BT2 NTT->LDT; BT3 resistance alone","outputs/manuscript/figures_final/Fig1_battery_design.png","final_manuscript/figures/Fig1_battery_design.png","PNG","329682","0f3a5b8cc3d14b3eeae745fd6a5d8c4c389d3f3c880fd975d41869908593dd36","0f3a5b8cc3d14b3eeae745fd6a5d8c4c389d3f3c880fd975d41869908593dd36","Methods 2.5; Results 3.1","VERIFIED - hashes match"
"Figure 2","Primary battery-context comparison","A: LDT time in bright zone (BT1 vs BT2); B: NTT total distance (BT1 vs BT2); C: swimming-resistance index (BT1 vs BT3)","outputs/manuscript/figures_final/Fig2_battery_context.pdf","final_manuscript/figures/Fig2_battery_context.pdf","PDF","64321","1eec90cff11ba43964ab8730e48761482d09697356d62d707dac0ad14fa965c1","1eec90cff11ba43964ab8730e48761482d09697356d62d707dac0ad14fa965c1","Results 3.2.1, 3.2.2, 3.2.3","VERIFIED - hashes match"
"Figure 2","Primary battery-context comparison","A: LDT time in bright zone (BT1 vs BT2); B: NTT total distance (BT1 vs BT2); C: swimming-resistance index (BT1 vs BT3)","outputs/manuscript/figures_final/Fig2_battery_context.png","final_manuscript/figures/Fig2_battery_context.png","PNG","282238","4971c9eb458b18dbb483559f420287fc39358975912f0edac9bda896b618da14","4971c9eb458b18dbb483559f420287fc39358975912f0edac9bda896b618da14","Results 3.2.1, 3.2.2, 3.2.3","VERIFIED - hashes match"
"Figure 3","Fifteen-endpoint BT1 Spearman correlation heatmap","Single panel: 15 registered endpoints, pairwise-complete","outputs/manuscript/figures_final/Fig3_correlation_heatmap.pdf","final_manuscript/figures/Fig3_correlation_heatmap.pdf","PDF","43262","1cf6c9d6deaa1ca2bf37c3fcb293ee4bc30fc08966fee3ea6c6f17c16e8c2627","1cf6c9d6deaa1ca2bf37c3fcb293ee4bc30fc08966fee3ea6c6f17c16e8c2627","Results 3.3.1","VERIFIED - hashes match"
"Figure 3","Fifteen-endpoint BT1 Spearman correlation heatmap","Single panel: 15 registered endpoints, pairwise-complete","outputs/manuscript/figures_final/Fig3_correlation_heatmap.png","final_manuscript/figures/Fig3_correlation_heatmap.png","PNG","593334","f4acb3457eea50b92fbfed92e7f6f8896f5bc8b349ff5d40429572b1e85258c2","f4acb3457eea50b92fbfed92e7f6f8896f5bc8b349ff5d40429572b1e85258c2","Results 3.3.1","VERIFIED - hashes match"
"Figure 4","Canonical 14-endpoint BT1 PC1-PC2 PCA biplot","A: score-loading biplot; B: loading vectors (all 14 endpoints)","outputs/manuscript/figures_final/Fig4_PCA_biplot.pdf","final_manuscript/figures/Fig4_PCA_biplot.pdf","PDF","47711","35d2245b429b084e79b6501ee9b8bc33b665dbf4432f2f25269c75c2844b6662","35d2245b429b084e79b6501ee9b8bc33b665dbf4432f2f25269c75c2844b6662","Results 3.3.2","VERIFIED - hashes match"
"Figure 4","Canonical 14-endpoint BT1 PC1-PC2 PCA biplot","A: score-loading biplot; B: loading vectors (all 14 endpoints)","outputs/manuscript/figures_final/Fig4_PCA_biplot.png","final_manuscript/figures/Fig4_PCA_biplot.png","PNG","593234","ad0d0adcf6c0ee38f48a4ec0ba8ffd2227bc55f199d6494c90d3cad132b4a4cd","ad0d0adcf6c0ee38f48a4ec0ba8ffd2227bc55f199d6494c90d3cad132b4a4cd","Results 3.3.2","VERIFIED - hashes match"
"Figure 5","BT1 light-dark ethanol results","A: time in bright zone; B: mean time per crossing","outputs/manuscript/figures_final/Fig5_LDT_anxiety.pdf","final_manuscript/figures/Fig5_LDT_anxiety.pdf","PDF","40804","76a9055d33544098c344c1380f3386ab41916e5cfbe34c7bb53847bfac190618","76a9055d33544098c344c1380f3386ab41916e5cfbe34c7bb53847bfac190618","Results 3.4.2","VERIFIED - hashes match"
"Figure 5","BT1 light-dark ethanol results","A: time in bright zone; B: mean time per crossing","outputs/manuscript/figures_final/Fig5_LDT_anxiety.png","final_manuscript/figures/Fig5_LDT_anxiety.png","PNG","142002","34345125568b304da1b1de7840627a279cd76462a5dcf2114ba2a38ac72eb1d3","34345125568b304da1b1de7840627a279cd76462a5dcf2114ba2a38ac72eb1d3","Results 3.4.2","VERIFIED - hashes match"
"Figure 6","BT1 novel tank ethanol results","A: total distance; B: upper-stratum preference","outputs/manuscript/figures_final/Fig6_NTT.pdf","final_manuscript/figures/Fig6_NTT.pdf","PDF","45446","6a82bd6053274413dcafa5404f8e5bea241b548a3c86b5b537ecf85918277113","6a82bd6053274413dcafa5404f8e5bea241b548a3c86b5b537ecf85918277113","Results 3.4.3","VERIFIED - hashes match"
"Figure 6","BT1 novel tank ethanol results","A: total distance; B: upper-stratum preference","outputs/manuscript/figures_final/Fig6_NTT.png","final_manuscript/figures/Fig6_NTT.png","PNG","153039","4f6905c126753f6b5d006372c8cbc2251c603c690a471fdc6cd757a2aa3348d9","4f6905c126753f6b5d006372c8cbc2251c603c690a471fdc6cd757a2aa3348d9","Results 3.4.3","VERIFIED - hashes match"
