fish_id,battery_suite,group,date,start_time,treatment,exposure,latency,first_choice,num_changes,time_bright,mtpc,mov_bottom,mov_upper,mov_total,dist_bottom,dist_upper,dist_total,vel_bottom,vel_upper,vel_mean,attempts,last_flux,time_in_last_flux,resistance_index,lt,ls,wt,Kc,sex,blood_sugar,conductivity,pH
1BT01hCTR01,1,1h_CTR,2020-07-21,08:52:05 ,0.0,1,0,C,23,402,17.5,370,84,454,1344,399,1743,3.63,4.75,3.84,2,4,17,7.13,4.2,3.4,0.49,0.00125,,,80,7.2
1BT01hCTR02,1,1h_CTR,2020-07-21,09:09:30 ,0.0,1,0,C,7,421,60.1,87,0,87,723.1,0,723.1,8.31,,8.31,3,3,17,3.85,3.6,2.8,0.37,0.00169,,95,80,7.2
1BT01hCTR03,1,1h_CTR,2020-07-21,09:30:15 ,0.0,1,81,C,66,202,3.1,257,172,429,3492.8,2325.5,5818.3,13.59,13.52,13.56,1,9,52,43.8,4,3.2,0.51,0.00156,,,80,7.2
1BT01hCTR04,1,1h_CTR,2020-07-21,09:50:12 ,0.0,1,0,C,52,151,2.9,262,180,442,2653,1832.2,4485.2,10.13,10.18,10.15,1,8,52,34.93,3.3,2.5,0.32,0.00205,,119,80,7.2
1BT01hCTR05,1,1h_CTR,2020-07-21,10:10:35 ,0.0,1,0,C,40,110,2.8,196,250,446,2504.6,3333.7,5838.3,12.78,13.33,13.09,2,8,27,31.6,3.8,3,0.44,0.00163,m,197,80,7.2
1BT01hCTR06,1,1h_CTR,2020-07-21,10:28:41 ,0.0,1,0,E,35,183,5.2,343,102,445,2950.7,1080.7,4031.4,8.6,10.6,9.06,2,8,55,35.33,3.8,3,0.45,0.00167,,,80,7.2
1BT01hCTR07,1,1h_CTR,2020-07-21,10:47:40 ,0.0,1,259,E,11,40,3.6,84,4,88,900,50.2,950.2,10.71,12.55,10.8,1,9,2,36.3,3.3,3,0.45,0.00167,f,223,80,7.2
1BT01hCTR08,1,1h_CTR,2020-07-21,11:06:15 ,0.0,1,0,C,21,123,5.9,353,86,439,2520.2,744.1,3264.3,7.14,8.65,7.44,1,9,10,37.5,3.4,2.7,0.33,0.00168,m,187,80,7.2
1BT01hCTR09,1,1h_CTR,2020-07-21,11:25:40 ,0.0,1,0,E,11,42,3.8,187,28,215,1903.5,287.3,2190.8,10.18,10.26,10.19,1,4,10,6.67,3.9,3.1,0.55,0.00185,m,133,80,7.2
1BT01hCTR10,1,1h_CTR,2020-07-21,11:45:10 ,0.0,1,0,C,0,0,0,220,197,417,2988.5,2344.9,5333.4,13.58,11.9,12.79,1,12,5,67,3.6,3,0.39,0.00144,m,163,80,7.2
1BT01hCTR11,1,1h_CTR,2020-07-21,12:02:37 ,0.0,1,0,C,5,15,3,254,174,428,4329.7,3846.3,8176,17.05,22.11,19.1,1,10,1,45.17,3.6,2.9,0.43,0.00176,f,193,80,7.2
1BT01hCTR12,1,1h_CTR,2020-07-21,12:22:01 ,0.0,1,0,C,26,79,3,54,0,54,253.7,0,253.7,4.7,,4.7,1,7,39,25.55,3.5,2.8,0.34,0.00155,m,215,80,7.2
1BT01hCTR13,1,1h_CTR,2020-07-21,12:40:05 ,0.0,1,0,C,27,121,4.5,220,216,436,2562.1,2388.9,4951,11.65,11.06,11.36,1,8,10,29.33,3.3,2.6,0.29,0.00165,m,165,80,7.2
1BT01hCTR14,1,1h_CTR,2020-07-21,13:00:05 ,0.0,1,19,C,34,149,4.4,240,208,448,2659.6,2413.6,5073.2,11.08,11.6,11.32,1,6,5,15.5,4,3.2,0.53,0.00162,f,118,80,7.2
1BT01h00501,1,1h_0.5,2020-07-22,09:00:30 ,0.5,1,0,E,26,120,4.6,380,55,435,3556.3,751.4,4307.7,9.36,13.66,9.9,1,8,45,34,3.5,2.6,0.34,0.00193,f,372,110,7.2
1BT01h00502,1,1h_0.5,2020-07-22,09:19:30 ,0.5,1,0,E,60,188,3.1,308,134,442,3721.2,1527.5,5248.7,12.08,11.4,11.87,1,8,40,33.33,3.8,3,0.42,0.00156,f,136,110,7.2
1BT01h00503,1,1h_0.5,2020-07-22,09:37:00 ,0.5,1,71,E,28,137,4.9,237,196,433,2492.4,2889.9,5382.3,10.52,14.74,12.43,1,6,30,18,3.6,2.8,0.36,0.00164,m,266,110,7.2
