"variable","domain","source_test","data_type","pca_included","notes","planned_pca_rule"
"dist_total","NTT locomotion","NTT","continuous","yes","total distance traveled","include"
"mov_total","NTT locomotion","NTT","continuous derived","yes","total movement time; can overlap with distance and velocity","include"
"vel_mean","NTT locomotion","NTT","continuous derived","yes","mean locomotor intensity; no primary/secondary label used","include"
"stratum_pref","NTT spatial position","NTT","bounded/proportion-like","yes","upper/lower stratum preference or exploration","include"
"time_bright","LDT phototaxis","LDT","bounded continuous","yes","bright compartment time; raw time or proportion must be documented","include"
"first_choice_binary","LDT first choice","LDT","binary","yes_if_coding_valid","bright/dark first choice; no-choice handling must be explicit","include if coding and no-choice handling are documented"
"latency","LDT decision latency","LDT","continuous or censored","yes","latency to first choice; check no-choice and zero behavior","include"
"mtpc","LDT transition behavior","LDT","continuous derived","yes","mean time per choice or entry; derived from LDT variables","include"
"num_changes","LDT transition behavior","LDT","count","yes","compartment changes; inspect count assumptions if modeled","include"
"resistance_index","endurance","RN","continuous derived","yes","validated manuscript endurance variable","include"
"attempts","endurance","RN","count","yes","number of resistance attempts","include"
"blood_sugar","physiology","post-test physiology","continuous","yes_if_retention_acceptable","supportive physiological endpoint; report PCA retained N","include if retained complete-case N remains acceptable"
"condition_factor_K","biometry/condition","biometry","continuous derived","yes_if_valid","condition factor (K); accept Kc/Kf/condition_factor if formula and range pass audit","include if formula and range audit confirm valid condition factor"
