"battery","treatment","exposure","n"
"BT1","0","1",14
"BT1","0.5","1",16
"BT1","1","1",16
"BT1","0","24",15
"BT1","0.5","24",15
"BT1","1","24",14
"BT1","0","96",16
"BT1","0.5","96",16
"BT1","1","96",14
"BT2","0","1",16
"BT2","0.5","1",16
"BT2","1","1",16
"BT2","0","24",16
"BT2","0.5","24",15
"BT2","1","24",12
"BT2","0","96",16
"BT2","0.5","96",16
"BT2","1","96",16
"BT3","0","1",16
"BT3","0.5","1",16
"BT3","1","1",15
"BT3","0","24",15
"BT3","0.5","24",14
"BT3","1","24",12
"BT3","0","96",16
"BT3","0.5","96",16
"BT3","1","96",15
