"battery","treatment","exposure","n_rows","n_datetime_missing","n_datetime_parsed","unique_dates","datetime_note"
"BT1","0","1",14,0,14,"2020-07-21","Parsed date(s) available."
"BT1","0.5","1",16,0,16,"2020-07-22","Parsed date(s) available."
"BT1","1","1",16,0,16,"2020-07-23","Parsed date(s) available."
"BT1","0","24",15,0,15,"2020-08-11","Parsed date(s) available."
"BT1","0.5","24",15,0,15,"2020-08-12","Parsed date(s) available."
"BT1","1","24",14,0,14,"2020-09-29","Parsed date(s) available."
"BT1","0","96",16,0,16,"2020-09-17","Parsed date(s) available."
"BT1","0.5","96",16,0,16,"2020-09-18","Parsed date(s) available."
"BT1","1","96",14,0,14,"2020-09-25","Parsed date(s) available."
"BT2","0","1",16,0,16,"2021-08-04","Parsed date(s) available."
"BT2","0.5","1",16,0,16,"2021-08-05","Parsed date(s) available."
"BT2","1","1",16,0,16,"2021-08-06","Parsed date(s) available."
"BT2","0","24",16,0,16,"2021-08-10","Parsed date(s) available."
"BT2","0.5","24",15,0,15,"2021-08-11","Parsed date(s) available."
"BT2","1","24",12,0,12,"2021-12-19","Parsed date(s) available."
"BT2","0","96",16,0,16,"2021-08-20; 2021-08-26","Parsed date(s) available."
"BT2","0.5","96",16,0,16,"2021-08-21","Parsed date(s) available."
"BT2","1","96",16,0,16,"2021-08-22","Parsed date(s) available."
"BT3","0","1",16,16,0,NA,"No parsed datetime/date available for this cell."
"BT3","0.5","1",16,16,0,NA,"No parsed datetime/date available for this cell."
"BT3","1","1",15,15,0,NA,"No parsed datetime/date available for this cell."
"BT3","0","24",15,15,0,NA,"No parsed datetime/date available for this cell."
"BT3","0.5","24",14,14,0,NA,"No parsed datetime/date available for this cell."
"BT3","1","24",12,12,0,NA,"No parsed datetime/date available for this cell."
"BT3","0","96",16,16,0,NA,"No parsed datetime/date available for this cell."
"BT3","0.5","96",16,16,0,NA,"No parsed datetime/date available for this cell."
"BT3","1","96",15,15,0,NA,"No parsed datetime/date available for this cell."
