"battery","exclusion_scope","exclusion_type","retained_in_processed_dataset","is_global_exclusion","n"
"BT1","endpoint_specific","missing_critical_field","False","False",0
"BT2","endpoint_specific","missing_critical_field","False","False",0
"BT3","endpoint_specific","missing_critical_field","False","False",0
"BT1","flag_only","missing_critical_field","False","False",0
"BT2","flag_only","missing_critical_field","False","False",0
"BT3","flag_only","missing_critical_field","False","False",0
"BT1","global","missing_critical_field","False","False",0
"BT2","global","missing_critical_field","False","False",0
"BT3","global","missing_critical_field","False","False",0
"BT1","endpoint_specific","no_choice_behavioral","False","False",0
"BT2","endpoint_specific","no_choice_behavioral","False","False",0
"BT3","endpoint_specific","no_choice_behavioral","False","False",0
"BT1","flag_only","no_choice_behavioral","False","False",0
"BT2","flag_only","no_choice_behavioral","False","False",0
"BT3","flag_only","no_choice_behavioral","False","False",0
"BT1","global","no_choice_behavioral","False","False",0
"BT2","global","no_choice_behavioral","False","False",0
"BT3","global","no_choice_behavioral","False","False",0
"BT1","endpoint_specific","other","False","False",0
"BT2","endpoint_specific","other","False","False",0
"BT3","endpoint_specific","other","False","False",0
"BT1","flag_only","other","False","False",0
"BT2","flag_only","other","False","False",0
"BT3","flag_only","other","False","False",0
"BT1","global","other","False","False",0
"BT2","global","other","False","False",0
"BT3","global","other","False","False",0
"BT1","endpoint_specific","protocol_failure","False","False",0
"BT2","endpoint_specific","protocol_failure","False","False",0
"BT3","endpoint_specific","protocol_failure","False","False",0
"BT1","flag_only","protocol_failure","False","False",0
"BT2","flag_only","protocol_failure","False","False",0
"BT3","flag_only","protocol_failure","False","False",0
"BT1","global","protocol_failure","False","False",0
"BT2","global","protocol_failure","False","False",0
"BT3","global","protocol_failure","False","False",0
"BT1","endpoint_specific","missing_critical_field","True","False",0
"BT2","endpoint_specific","missing_critical_field","True","False",0
"BT3","endpoint_specific","missing_critical_field","True","False",0
"BT1","flag_only","missing_critical_field","True","False",0
"BT2","flag_only","missing_critical_field","True","False",0
"BT3","flag_only","missing_critical_field","True","False",0
"BT1","global","missing_critical_field","True","False",0
"BT2","global","missing_critical_field","True","False",0
"BT3","global","missing_critical_field","True","False",0
"BT1","endpoint_specific","no_choice_behavioral","True","False",1
"BT2","endpoint_specific","no_choice_behavioral","True","False",1
"BT3","endpoint_specific","no_choice_behavioral","True","False",0
"BT1","flag_only","no_choice_behavioral","True","False",0
"BT2","flag_only","no_choice_behavioral","True","False",0
"BT3","flag_only","no_choice_behavioral","True","False",0
"BT1","global","no_choice_behavioral","True","False",0
"BT2","global","no_choice_behavioral","True","False",0
"BT3","global","no_choice_behavioral","True","False",0
"BT1","endpoint_specific","other","True","False",0
"BT2","endpoint_specific","other","True","False",0
"BT3","endpoint_specific","other","True","False",0
"BT1","flag_only","other","True","False",1
"BT2","flag_only","other","True","False",0
"BT3","flag_only","other","True","False",0
"BT1","global","other","True","False",0
"BT2","global","other","True","False",0
"BT3","global","other","True","False",0
"BT1","endpoint_specific","protocol_failure","True","False",0
"BT2","endpoint_specific","protocol_failure","True","False",0
"BT3","endpoint_specific","protocol_failure","True","False",0
"BT1","flag_only","protocol_failure","True","False",0
"BT2","flag_only","protocol_failure","True","False",0
"BT3","flag_only","protocol_failure","True","False",0
"BT1","global","protocol_failure","True","False",0
"BT2","global","protocol_failure","True","False",0
"BT3","global","protocol_failure","True","False",0
"BT1","endpoint_specific","missing_critical_field","False","True",0
"BT2","endpoint_specific","missing_critical_field","False","True",0
"BT3","endpoint_specific","missing_critical_field","False","True",0
"BT1","flag_only","missing_critical_field","False","True",0
"BT2","flag_only","missing_critical_field","False","True",0
"BT3","flag_only","missing_critical_field","False","True",0
"BT1","global","missing_critical_field","False","True",0
"BT2","global","missing_critical_field","False","True",1
"BT3","global","missing_critical_field","False","True",1
"BT1","endpoint_specific","no_choice_behavioral","False","True",0
"BT2","endpoint_specific","no_choice_behavioral","False","True",0
