"battery","flag","flagged_n"
"BT1","endurance_present_flag",136
"BT1","ldt_present_flag",136
"BT1","ntt_present_flag",136
"BT1","blood_sugar_missing_flag",25
"BT1","sex_missing_flag",9
"BT1","manual_review_flag",8
"BT1","low_motion_flag",4
"BT1","zero_motion_flag",4
"BT1","distance_outlier_flag",3
"BT1","first_choice_nonbinary_flag",1
"BT1","ldt_time_bright_gt_480_flag",1
"BT1","no_choice_flag",1
"BT1","datetime_parse_failed_flag",0
"BT1","global_exclusion_flag",0
"BT1","impossible_value_flag",0
"BT1","ldt_time_bright_gt_600_flag",0
"BT1","missing_critical_field_flag",0
"BT1","ntt_mov_total_gt_480_flag",0
"BT1","tracking_failure_flag",0
"BT2","ldt_present_flag",139
"BT2","ntt_present_flag",139
"BT2","blood_sugar_missing_flag",102
"BT2","manual_review_flag",3
"BT2","sex_missing_flag",3
"BT2","distance_outlier_flag",2
"BT2","low_motion_flag",2
"BT2","zero_motion_flag",2
"BT2","first_choice_nonbinary_flag",1
"BT2","no_choice_flag",1
"BT2","datetime_parse_failed_flag",0
"BT2","endurance_present_flag",0
"BT2","global_exclusion_flag",0
"BT2","impossible_value_flag",0
"BT2","ldt_time_bright_gt_480_flag",0
"BT2","ldt_time_bright_gt_600_flag",0
"BT2","missing_critical_field_flag",0
"BT2","ntt_mov_total_gt_480_flag",0
"BT2","tracking_failure_flag",0
"BT3","endurance_present_flag",135
"BT3","blood_sugar_missing_flag",62
"BT3","sex_missing_flag",7
"BT3","datetime_parse_failed_flag",0
"BT3","distance_outlier_flag",0
"BT3","first_choice_nonbinary_flag",0
"BT3","global_exclusion_flag",0
"BT3","impossible_value_flag",0
"BT3","ldt_present_flag",0
"BT3","ldt_time_bright_gt_480_flag",0
"BT3","ldt_time_bright_gt_600_flag",0
"BT3","low_motion_flag",0
"BT3","manual_review_flag",0
"BT3","missing_critical_field_flag",0
"BT3","no_choice_flag",0
"BT3","ntt_mov_total_gt_480_flag",0
"BT3","ntt_present_flag",0
"BT3","tracking_failure_flag",0
"BT3","zero_motion_flag",0
