"battery","treatment","exposure","variable","n_rows","missing_n","missing_pct"
"BT1","0","1","dist_total",14,0,0
"BT1","0.5","1","dist_total",16,0,0
"BT1","1","1","dist_total",16,0,0
"BT1","0","24","dist_total",15,0,0
"BT1","0.5","24","dist_total",15,0,0
"BT1","1","24","dist_total",14,0,0
"BT1","0","96","dist_total",16,0,0
"BT1","0.5","96","dist_total",16,0,0
"BT1","1","96","dist_total",14,0,0
"BT1","0","1","mov_total",14,0,0
"BT1","0.5","1","mov_total",16,0,0
"BT1","1","1","mov_total",16,0,0
"BT1","0","24","mov_total",15,0,0
"BT1","0.5","24","mov_total",15,0,0
"BT1","1","24","mov_total",14,0,0
"BT1","0","96","mov_total",16,0,0
"BT1","0.5","96","mov_total",16,0,0
"BT1","1","96","mov_total",14,0,0
"BT1","0","1","vel_mean",14,0,0
"BT1","0.5","1","vel_mean",16,0,0
"BT1","1","1","vel_mean",16,0,0
"BT1","0","24","vel_mean",15,0,0
"BT1","0.5","24","vel_mean",15,0,0
"BT1","1","24","vel_mean",14,0,0
"BT1","0","96","vel_mean",16,0,0
"BT1","0.5","96","vel_mean",16,0,0
"BT1","1","96","vel_mean",14,0,0
"BT1","0","1","stratum_pref",14,0,0
"BT1","0.5","1","stratum_pref",16,0,0
"BT1","1","1","stratum_pref",16,0,0
"BT1","0","24","stratum_pref",15,0,0
"BT1","0.5","24","stratum_pref",15,0,0
"BT1","1","24","stratum_pref",14,0,0
"BT1","0","96","stratum_pref",16,0,0
"BT1","0.5","96","stratum_pref",16,0,0
"BT1","1","96","stratum_pref",14,0,0
"BT1","0","1","time_bright",14,0,0
"BT1","0.5","1","time_bright",16,0,0
"BT1","1","1","time_bright",16,0,0
"BT1","0","24","time_bright",15,0,0
"BT1","0.5","24","time_bright",15,0,0
"BT1","1","24","time_bright",14,0,0
"BT1","0","96","time_bright",16,0,0
"BT1","0.5","96","time_bright",16,0,0
"BT1","1","96","time_bright",14,0,0
"BT1","0","1","first_choice_binary",14,0,0
"BT1","0.5","1","first_choice_binary",16,1,6.25
"BT1","1","1","first_choice_binary",16,0,0
"BT1","0","24","first_choice_binary",15,0,0
"BT1","0.5","24","first_choice_binary",15,0,0
"BT1","1","24","first_choice_binary",14,0,0
"BT1","0","96","first_choice_binary",16,0,0
"BT1","0.5","96","first_choice_binary",16,0,0
"BT1","1","96","first_choice_binary",14,0,0
"BT1","0","1","latency",14,0,0
"BT1","0.5","1","latency",16,0,0
"BT1","1","1","latency",16,0,0
"BT1","0","24","latency",15,0,0
"BT1","0.5","24","latency",15,0,0
"BT1","1","24","latency",14,0,0
"BT1","0","96","latency",16,0,0
"BT1","0.5","96","latency",16,0,0
"BT1","1","96","latency",14,0,0
"BT1","0","1","mtpc",14,0,0
"BT1","0.5","1","mtpc",16,0,0
"BT1","1","1","mtpc",16,0,0
"BT1","0","24","mtpc",15,0,0
"BT1","0.5","24","mtpc",15,0,0
"BT1","1","24","mtpc",14,0,0
"BT1","0","96","mtpc",16,0,0
"BT1","0.5","96","mtpc",16,0,0
"BT1","1","96","mtpc",14,0,0
"BT1","0","1","num_changes",14,0,0
"BT1","0.5","1","num_changes",16,0,0
"BT1","1","1","num_changes",16,0,0
"BT1","0","24","num_changes",15,0,0
"BT1","0.5","24","num_changes",15,0,0
"BT1","1","24","num_changes",14,0,0
"BT1","0","96","num_changes",16,0,0
"BT1","0.5","96","num_changes",16,0,0
"BT1","1","96","num_changes",14,0,0
"BT1","0","1","resistance_index",14,0,0
"BT1","0.5","1","resistance_index",16,0,0
"BT1","1","1","resistance_index",16,0,0
"BT1","0","24","resistance_index",15,0,0
"BT1","0.5","24","resistance_index",15,0,0
"BT1","1","24","resistance_index",14,0,0
"BT1","0","96","resistance_index",16,0,0
"BT1","0.5","96","resistance_index",16,0,0
"BT1","1","96","resistance_index",14,0,0
"BT1","0","1","attempts",14,0,0
"BT1","0.5","1","attempts",16,0,0
"BT1","1","1","attempts",16,0,0
"BT1","0","24","attempts",15,0,0
"BT1","0.5","24","attempts",15,0,0
"BT1","1","24","attempts",14,0,0
"BT1","0","96","attempts",16,0,0
"BT1","0.5","96","attempts",16,0,0
"BT1","1","96","attempts",14,0,0
"BT1","0","1","last_flux",14,0,0
"BT1","0.5","1","last_flux",16,0,0
"BT1","1","1","last_flux",16,0,0
"BT1","0","24","last_flux",15,0,0
"BT1","0.5","24","last_flux",15,0,0
"BT1","1","24","last_flux",14,0,0
"BT1","0","96","last_flux",16,0,0
"BT1","0.5","96","last_flux",16,0,0
"BT1","1","96","last_flux",14,0,0
"BT1","0","1","time_in_last_flux",14,0,0
"BT1","0.5","1","time_in_last_flux",16,0,0
"BT1","1","1","time_in_last_flux",16,0,0
"BT1","0","24","time_in_last_flux",15,0,0
"BT1","0.5","24","time_in_last_flux",15,0,0
"BT1","1","24","time_in_last_flux",14,0,0
