"battery","variable","n_rows","missing_n","missing_pct"
"BT1","source_row_index",136,0,0
"BT1","fish_id",136,0,0
"BT1","battery_suite",136,0,0
"BT1","battery",136,0,0
"BT1","group_raw",136,0,0
"BT1","group",136,0,0
"BT1","treatment",136,0,0
"BT1","exposure",136,0,0
"BT1","date_raw",136,0,0
"BT1","start_time_raw",136,0,0
"BT1","datetime_raw",136,0,0
"BT1","datetime",136,0,0
"BT1","datetime_parse_method",136,0,0
"BT1","datetime_parse_failed_flag",136,0,0
"BT1","first_choice_raw",136,1,0.74
"BT1","first_choice",136,1,0.74
"BT1","first_choice_clean",136,1,0.74
"BT1","first_choice_binary",136,1,0.74
"BT1","first_choice_valid_binary",136,0,0
"BT1","no_choice_flag",136,0,0
"BT1","first_choice_nonbinary_flag",136,0,0
"BT1","date",136,0,0
"BT1","start_time",136,0,0
"BT1","latency",136,0,0
"BT1","num_changes",136,0,0
"BT1","time_bright",136,0,0
"BT1","mtpc",136,0,0
"BT1","mov_bottom",136,0,0
"BT1","mov_upper",136,0,0
"BT1","mov_total",136,0,0
"BT1","dist_bottom",136,0,0
"BT1","dist_upper",136,0,0
"BT1","dist_total",136,0,0
"BT1","vel_bottom",136,0,0
"BT1","vel_upper",136,0,0
"BT1","vel_mean",136,0,0
"BT1","attempts",136,0,0
"BT1","last_flux",136,0,0
"BT1","time_in_last_flux",136,0,0
"BT1","resistance_index",136,0,0
"BT1","lt",136,0,0
"BT1","ls",136,0,0
"BT1","wt",136,0,0
"BT1","Kc",136,0,0
"BT1","sex",136,9,6.62
"BT1","blood_sugar",136,25,18.38
"BT1","conductivity",136,0,0
"BT1","pH",136,0,0
"BT1","sex_raw",136,9,6.62
"BT1","stratum_pref",136,0,0
"BT1","ldt_present_flag",136,0,0
"BT1","ntt_present_flag",136,0,0
"BT1","endurance_present_flag",136,0,0
"BT1","first_choice_exclusion_reason",136,135,99.26
"BT1","blood_sugar_missing_flag",136,0,0
"BT1","sex_missing_flag",136,0,0
"BT1","ldt_time_bright_gt_480_flag",136,0,0
"BT1","ldt_time_bright_gt_600_flag",136,0,0
