"battery","variable","n_nonmissing","min","median","mean","sd","iqr","max","negative_n"
"BT1","dist_total",136,0,5048.855,4870.25169117647,1978.54151245943,1936.16,11405.4,0
"BT1","mov_total",136,0,422,383.705882352941,105.480215287008,55.5,465,0
"BT1","vel_mean",136,0,12.0074686321084,12.2382552827101,4.21733724540183,4.11158537115146,27.4828915662651,0
"BT1","stratum_pref",136,0,38.1507298671478,35.9431103821807,22.6399658503634,30.4605513133601,99.2481203007519,0
"BT1","time_bright",136,0,175.5,202.441176470588,135.198661219861,188.5,491,0
"BT1","first_choice_binary",135,0,1,0.674074074074074,0.470465467028255,1,1,0
"BT1","latency",136,0,0,27.1397058823529,81.2798706613616,6.25,480,0
"BT1","mtpc",136,0,6.275,33.4615463401677,91.3670970881297,7.92135134686285,480,0
"BT1","num_changes",136,0,21.5,22.1544117647059,16.5806128093294,24,108,0
"BT1","resistance_index",136,0.35,32,28.1525735294118,17.1840223758912,31.375,67.6,0
"BT1","attempts",136,1,1,1.29411764705882,0.799237109015225,0,5,0
"BT1","last_flux",136,1,8,7.02205882352941,2.7010749897435,5,12,0
"BT1","time_in_last_flux",136,0,28,28.8308823529412,16.8393521240108,28.25,59,0
"BT1","blood_sugar",111,61,161,180.414414414414,85.8936412577649,99,431,0
"BT1","Kc",136,0.816326530612245,1.5845464335177,1.60146888674568,0.259791565244781,0.265268518518519,2.34970293041523,0
"BT1","mov_bottom",136,0,240.5,235.213235294118,97.088764890557,107.5,446,0
"BT1","mov_upper",136,0,156,148.492647058824,96.0687251166256,144,396,0
"BT1","dist_bottom",136,0,2782.7,2794.04088235294,1330.24420431487,1482.8525,7570.4,0
"BT1","dist_upper",136,0,2126.29,2076.21080882353,1353.52641987818,2030.5475,6030.3,0
"BT1","vel_bottom",136,0,11.4717919895477,11.8814319191334,4.38990429707295,4.17607747893239,32.6046511627907,0
"BT1","vel_upper",136,0,13.4933781032444,14.2476859117275,7.67042675156025,5.05365526939599,64.148,0
"BT1","wt",136,0.16,0.33,0.34875,0.129262509244933,0.185,0.7,0
"BT1","lt",136,2.8,3.5,3.42647058823529,0.36580409533735,0.6,4.3,0
"BT1","ls",136,2.2,2.8,2.75955882352941,0.294989937423004,0.5,3.5,0
"BT1","conductivity",136,60,110,97.5,21.0378846986239,30,120,0
"BT1","pH",136,7.2,7.3,7.36029411764706,0.195989195380466,0.2,7.8,0
"BT2","dist_total",139,0,5078.2,4985.62402877698,2147.59001010628,2319.4,12738.3,0
"BT2","mov_total",139,0,399,358.287769784173,109.769339493395,57.5,458,0
"BT2","vel_mean",139,0,13.0856265984655,13.8251837068084,4.69691708543301,5.34227004069093,32.0057788944724,0
"BT2","stratum_pref",139,0,42.0537897310513,40.5412682473414,27.1716407483135,35.5935721481369,100,0
