"variable","in_BT1","in_BT2","in_BT3"
"dist_total",TRUE,TRUE,TRUE
"mov_total",TRUE,TRUE,TRUE
"vel_mean",TRUE,TRUE,TRUE
"stratum_pref",TRUE,TRUE,TRUE
"time_bright",TRUE,TRUE,TRUE
"first_choice_binary",TRUE,TRUE,TRUE
"latency",TRUE,TRUE,TRUE
"mtpc",TRUE,TRUE,TRUE
"num_changes",TRUE,TRUE,TRUE
"resistance_index",TRUE,TRUE,TRUE
"attempts",TRUE,TRUE,TRUE
"last_flux",TRUE,TRUE,TRUE
"time_in_last_flux",TRUE,TRUE,TRUE
"blood_sugar",TRUE,TRUE,TRUE
"condition_factor_K",FALSE,FALSE,FALSE
"weight",FALSE,FALSE,FALSE
"length",FALSE,FALSE,FALSE
"sex",TRUE,TRUE,TRUE
"fish_id",TRUE,TRUE,TRUE
"battery",TRUE,TRUE,TRUE
"treatment",TRUE,TRUE,TRUE
"exposure",TRUE,TRUE,TRUE
"datetime",TRUE,TRUE,TRUE
"Kc",TRUE,TRUE,TRUE
"Kf",FALSE,FALSE,FALSE
"kf",FALSE,FALSE,FALSE
"condition_factor",FALSE,FALSE,FALSE
"fulton_k",FALSE,FALSE,FALSE
