"column","in_BT1","in_BT2","in_BT3","present_in_all"
"attempts",TRUE,TRUE,TRUE,TRUE
"battery",TRUE,TRUE,TRUE,TRUE
"battery_suite",TRUE,TRUE,TRUE,TRUE
"blood_sugar",TRUE,TRUE,TRUE,TRUE
"blood_sugar_missing_flag",TRUE,TRUE,TRUE,TRUE
"conductivity",TRUE,TRUE,TRUE,TRUE
"date",TRUE,TRUE,TRUE,TRUE
"date_raw",TRUE,TRUE,TRUE,TRUE
"datetime",TRUE,TRUE,TRUE,TRUE
"datetime_parse_failed_flag",TRUE,TRUE,TRUE,TRUE
"datetime_parse_method",TRUE,TRUE,TRUE,TRUE
"datetime_raw",TRUE,TRUE,TRUE,TRUE
"dist_bottom",TRUE,TRUE,TRUE,TRUE
"dist_total",TRUE,TRUE,TRUE,TRUE
"dist_upper",TRUE,TRUE,TRUE,TRUE
"distance_outlier_flag",TRUE,TRUE,TRUE,TRUE
"endurance_present_flag",TRUE,TRUE,TRUE,TRUE
"exposure",TRUE,TRUE,TRUE,TRUE
"first_choice",TRUE,TRUE,TRUE,TRUE
"first_choice_binary",TRUE,TRUE,TRUE,TRUE
"first_choice_clean",TRUE,TRUE,TRUE,TRUE
"first_choice_exclusion_reason",TRUE,TRUE,TRUE,TRUE
"first_choice_nonbinary_flag",TRUE,TRUE,TRUE,TRUE
"first_choice_raw",TRUE,TRUE,TRUE,TRUE
"first_choice_valid_binary",TRUE,TRUE,TRUE,TRUE
"fish_id",TRUE,TRUE,TRUE,TRUE
"global_exclusion_flag",TRUE,TRUE,TRUE,TRUE
"global_exclusion_reason",TRUE,TRUE,TRUE,TRUE
"group",TRUE,TRUE,TRUE,TRUE
"group_raw",TRUE,TRUE,TRUE,TRUE
"impossible_value_flag",TRUE,TRUE,TRUE,TRUE
"Kc",TRUE,TRUE,TRUE,TRUE
"last_flux",TRUE,TRUE,TRUE,TRUE
"latency",TRUE,TRUE,TRUE,TRUE
"ldt_present_flag",TRUE,TRUE,TRUE,TRUE
"ldt_time_bright_gt_480_flag",TRUE,TRUE,TRUE,TRUE
"ldt_time_bright_gt_600_flag",TRUE,TRUE,TRUE,TRUE
"low_motion_flag",TRUE,TRUE,TRUE,TRUE
"ls",TRUE,TRUE,TRUE,TRUE
"lt",TRUE,TRUE,TRUE,TRUE
"manual_review_flag",TRUE,TRUE,TRUE,TRUE
"missing_critical_field_flag",TRUE,TRUE,TRUE,TRUE
"mov_bottom",TRUE,TRUE,TRUE,TRUE
"mov_total",TRUE,TRUE,TRUE,TRUE
"mov_upper",TRUE,TRUE,TRUE,TRUE
"mtpc",TRUE,TRUE,TRUE,TRUE
"no_choice_flag",TRUE,TRUE,TRUE,TRUE
"ntt_mov_total_gt_480_flag",TRUE,TRUE,TRUE,TRUE
"ntt_present_flag",TRUE,TRUE,TRUE,TRUE
"num_changes",TRUE,TRUE,TRUE,TRUE
"pH",TRUE,TRUE,TRUE,TRUE
"resistance_index",TRUE,TRUE,TRUE,TRUE
"sex",TRUE,TRUE,TRUE,TRUE
"sex_missing_flag",TRUE,TRUE,TRUE,TRUE
"sex_raw",TRUE,TRUE,TRUE,TRUE
"source_row_index",TRUE,TRUE,TRUE,TRUE
"start_time",TRUE,TRUE,TRUE,TRUE
"start_time_raw",TRUE,TRUE,TRUE,TRUE
"stratum_pref",TRUE,TRUE,TRUE,TRUE
"time_bright",TRUE,TRUE,TRUE,TRUE
"time_in_last_flux",TRUE,TRUE,TRUE,TRUE
"tracking_failure_flag",TRUE,TRUE,TRUE,TRUE
"treatment",TRUE,TRUE,TRUE,TRUE
"vel_bottom",TRUE,TRUE,TRUE,TRUE
"vel_mean",TRUE,TRUE,TRUE,TRUE
"vel_upper",TRUE,TRUE,TRUE,TRUE
"wt",TRUE,TRUE,TRUE,TRUE
"zero_motion_flag",TRUE,TRUE,TRUE,TRUE
