"battery","treatment","exposure","variable","resolved_variable","n","mean","variance","variance_to_mean_ratio"
"BT1","0","1h","attempts","attempts",14,1.35714285714286,0.401098901098901,0.295546558704453
"BT2","0","1h","attempts","attempts",0,NA,NA,NA
"BT3","0","1h","attempts","attempts",16,1.25,0.333333333333333,0.266666666666667
"BT1","0.5","1h","attempts","attempts",16,1.0625,0.0625,0.0588235294117647
"BT2","0.5","1h","attempts","attempts",0,NA,NA,NA
"BT3","0.5","1h","attempts","attempts",16,1.375,0.383333333333333,0.278787878787879
"BT1","1","1h","attempts","attempts",16,1.3125,1.02916666666667,0.784126984126984
"BT2","1","1h","attempts","attempts",0,NA,NA,NA
"BT3","1","1h","attempts","attempts",15,3.2,2.6,0.8125
"BT1","0","24h","attempts","attempts",15,1.26666666666667,1.06666666666667,0.842105263157895
"BT2","0","24h","attempts","attempts",0,NA,NA,NA
"BT3","0","24h","attempts","attempts",15,1.4,1.11428571428571,0.795918367346939
"BT1","0.5","24h","attempts","attempts",15,1,0,0
"BT2","0.5","24h","attempts","attempts",0,NA,NA,NA
"BT3","0.5","24h","attempts","attempts",14,1.64285714285714,2.09340659340659,1.2742474916388
"BT1","1","24h","attempts","attempts",14,1.64285714285714,1.32417582417582,0.806020066889632
"BT2","1","24h","attempts","attempts",0,NA,NA,NA
"BT3","1","24h","attempts","attempts",12,2.58333333333333,1.90151515151515,0.736070381231672
"BT1","0","96h","attempts","attempts",16,1,0,0
"BT2","0","96h","attempts","attempts",0,NA,NA,NA
"BT3","0","96h","attempts","attempts",16,1.0625,0.0625,0.0588235294117647
"BT1","0.5","96h","attempts","attempts",16,1.375,1.05,0.763636363636364
"BT2","0.5","96h","attempts","attempts",0,NA,NA,NA
"BT3","0.5","96h","attempts","attempts",16,2.5,2,0.8
"BT1","1","96h","attempts","attempts",14,1.71428571428571,0.681318681318681,0.397435897435897
"BT2","1","96h","attempts","attempts",0,NA,NA,NA
"BT3","1","96h","attempts","attempts",15,2,2.14285714285714,1.07142857142857
"BT1","0","1h","last_flux","last_flux",14,7.5,6.26923076923077,0.835897435897436
"BT2","0","1h","last_flux","last_flux",0,NA,NA,NA
"BT3","0","1h","last_flux","last_flux",16,5.5625,3.99583333333333,0.718352059925094
"BT1","0.5","1h","last_flux","last_flux",16,7.9375,3.52916666666667,0.444619422572179
"BT2","0.5","1h","last_flux","last_flux",0,NA,NA,NA
"BT3","0.5","1h","last_flux","last_flux",16,5.25,4.6,0.876190476190476
"BT1","1","1h","last_flux","last_flux",16,6.625,7.85,1.18490566037736
"BT2","1","1h","last_flux","last_flux",0,NA,NA,NA
"BT3","1","1h","last_flux","last_flux",15,3.2,4.02857142857143,1.25892857142857
"BT1","0","24h","last_flux","last_flux",15,8.66666666666667,7.80952380952381,0.901098901098901
"BT2","0","24h","last_flux","last_flux",0,NA,NA,NA
"BT3","0","24h","last_flux","last_flux",15,6.46666666666667,8.98095238095238,1.38880706921944
"BT1","0.5","24h","last_flux","last_flux",15,8.26666666666667,4.06666666666667,0.491935483870968
"BT2","0.5","24h","last_flux","last_flux",0,NA,NA,NA
"BT3","0.5","24h","last_flux","last_flux",14,5.85714285714286,3.20879120879121,0.547842401500938
"BT1","1","24h","last_flux","last_flux",14,4.78571428571429,7.71978021978022,1.61308840413318
"BT2","1","24h","last_flux","last_flux",0,NA,NA,NA
"BT3","1","24h","last_flux","last_flux",12,4.25,3.29545454545455,0.775401069518717
"BT1","0","96h","last_flux","last_flux",16,7.625,6.38333333333333,0.837158469945355
"BT2","0","96h","last_flux","last_flux",0,NA,NA,NA
"BT3","0","96h","last_flux","last_flux",16,6.6875,6.62916666666667,0.991277258566978
"BT1","0.5","96h","last_flux","last_flux",16,6.5,7.73333333333333,1.18974358974359
"BT2","0.5","96h","last_flux","last_flux",0,NA,NA,NA
"BT3","0.5","96h","last_flux","last_flux",16,4,4.8,1.2
"BT1","1","96h","last_flux","last_flux",14,5,2.61538461538462,0.523076923076923
"BT2","1","96h","last_flux","last_flux",0,NA,NA,NA
"BT3","1","96h","last_flux","last_flux",15,3.66666666666667,3.23809523809524,0.883116883116883
"BT1","0","1h","num_changes","num_changes",14,25.5714285714286,352.10989010989,13.7696605070907
"BT2","0","1h","num_changes","num_changes",16,16.4375,170.529166666667,10.3743979721166
"BT3","0","1h","num_changes","num_changes",0,NA,NA,NA
"BT1","0.5","1h","num_changes","num_changes",16,23.4375,385.8625,16.4634666666667
"BT2","0.5","1h","num_changes","num_changes",16,24.5,346.933333333333,14.1605442176871
"BT3","0.5","1h","num_changes","num_changes",0,NA,NA,NA
"BT1","1","1h","num_changes","num_changes",16,27.125,787.45,29.0304147465438
"BT2","1","1h","num_changes","num_changes",16,32.5625,1015.99583333333,31.2014075495841
"BT3","1","1h","num_changes","num_changes",0,NA,NA,NA
"BT1","0","24h","num_changes","num_changes",15,18.9333333333333,78.7809523809524,4.16096579476861
"BT2","0","24h","num_changes","num_changes",16,15.125,138.383333333333,9.14931129476584
"BT3","0","24h","num_changes","num_changes",0,NA,NA,NA
"BT1","0.5","24h","num_changes","num_changes",15,21.2666666666667,193.495238095238,9.09852216748769
"BT2","0.5","24h","num_changes","num_changes",15,6.8,81.0285714285714,11.9159663865546
"BT3","0.5","24h","num_changes","num_changes",0,NA,NA,NA
"BT1","1","24h","num_changes","num_changes",14,27.2142857142857,125.565934065934,4.61397133050676
"BT2","1","24h","num_changes","num_changes",12,29.0833333333333,476.083333333333,16.3696275071633
"BT3","1","24h","num_changes","num_changes",0,NA,NA,NA
"BT1","0","96h","num_changes","num_changes",16,15.4375,102.129166666667,6.61565452091768
"BT2","0","96h","num_changes","num_changes",16,22.625,159.45,7.0475138121547
"BT3","0","96h","num_changes","num_changes",0,NA,NA,NA
"BT1","0.5","96h","num_changes","num_changes",16,27.4375,174.529166666667,6.36097190584662
"BT2","0.5","96h","num_changes","num_changes",16,23.75,287.533333333333,12.1066666666667
"BT3","0.5","96h","num_changes","num_changes",0,NA,NA,NA
"BT1","1","96h","num_changes","num_changes",14,12.5714285714286,136.725274725275,10.8758741258741
"BT2","1","96h","num_changes","num_changes",15,10.0666666666667,120.066666666667,11.9271523178808
"BT3","1","96h","num_changes","num_changes",0,NA,NA,NA
