"variable","domain","source_test","data_type","pca_included","resolved_variable_BT1","available_BT1","n_nonmissing_BT1","notes","pca_status"
"attempts","endurance","RN","count","yes","attempts",TRUE,136,"number of resistance attempts","ready"
"blood_sugar","physiology","post-test physiology","continuous","yes_if_retention_acceptable","blood_sugar",TRUE,111,"supportive physiological endpoint; report PCA retained N","ready_if_complete_case_retention_acceptable"
"condition_factor_K","biometry/condition","biometry","continuous derived","yes_if_valid","Kc",TRUE,136,"condition factor (K); accept Kc/Kf/condition_factor if formula and range pass audit","ready_if_condition_factor_formula_range_audit_passes"
"dist_total","NTT locomotion","NTT","continuous","yes","dist_total",TRUE,136,"total distance traveled","ready"
"first_choice_binary","LDT first choice","LDT","binary","yes_if_coding_valid","first_choice_binary",TRUE,135,"bright/dark first choice; no-choice handling must be explicit","ready_if_binary_coding_and_no_choice_handling_documented"
"latency","LDT decision latency","LDT","continuous or censored","yes","latency",TRUE,136,"latency to first choice; check no-choice and zero behavior","ready"
"mov_total","NTT locomotion","NTT","continuous derived","yes","mov_total",TRUE,136,"total movement time; can overlap with distance and velocity","ready"
"mtpc","LDT transition behavior","LDT","continuous derived","yes","mtpc",TRUE,136,"mean time per choice or entry; derived from LDT variables","ready"
"num_changes","LDT transition behavior","LDT","count","yes","num_changes",TRUE,136,"compartment changes; inspect count assumptions if modeled","ready"
"resistance_index","endurance","RN","continuous derived","yes","resistance_index",TRUE,136,"validated manuscript endurance variable","ready"
"stratum_pref","NTT spatial position","NTT","bounded/proportion-like","yes","stratum_pref",TRUE,136,"upper/lower stratum preference or exploration","ready"
"time_bright","LDT phototaxis","LDT","bounded continuous","yes","time_bright",TRUE,136,"bright compartment time; raw time or proportion must be documented","ready"
"vel_mean","NTT locomotion","NTT","continuous derived","yes","vel_mean",TRUE,136,"mean locomotor intensity; no primary/secondary label used","ready"
