"battery","treatment","exposure","variable","resolved_variable","n_nonmissing","n_zero","prop_zero"
"BT1","0","1h","attempts","attempts",14,0,0
"BT2","0","1h","attempts","attempts",0,0,NA
"BT3","0","1h","attempts","attempts",16,0,0
"BT1","0.5","1h","attempts","attempts",16,0,0
"BT2","0.5","1h","attempts","attempts",0,0,NA
"BT3","0.5","1h","attempts","attempts",16,0,0
"BT1","1","1h","attempts","attempts",16,0,0
"BT2","1","1h","attempts","attempts",0,0,NA
"BT3","1","1h","attempts","attempts",15,0,0
"BT1","0","24h","attempts","attempts",15,0,0
"BT2","0","24h","attempts","attempts",0,0,NA
"BT3","0","24h","attempts","attempts",15,0,0
"BT1","0.5","24h","attempts","attempts",15,0,0
"BT2","0.5","24h","attempts","attempts",0,0,NA
"BT3","0.5","24h","attempts","attempts",14,0,0
"BT1","1","24h","attempts","attempts",14,0,0
"BT2","1","24h","attempts","attempts",0,0,NA
"BT3","1","24h","attempts","attempts",12,0,0
"BT1","0","96h","attempts","attempts",16,0,0
"BT2","0","96h","attempts","attempts",0,0,NA
"BT3","0","96h","attempts","attempts",16,0,0
"BT1","0.5","96h","attempts","attempts",16,0,0
"BT2","0.5","96h","attempts","attempts",0,0,NA
"BT3","0.5","96h","attempts","attempts",16,0,0
"BT1","1","96h","attempts","attempts",14,0,0
"BT2","1","96h","attempts","attempts",0,0,NA
"BT3","1","96h","attempts","attempts",15,0,0
"BT1","0","1h","dist_total","dist_total",14,0,0
"BT2","0","1h","dist_total","dist_total",16,0,0
"BT3","0","1h","dist_total","dist_total",0,0,NA
"BT1","0.5","1h","dist_total","dist_total",16,3,0.1875
"BT2","0.5","1h","dist_total","dist_total",16,0,0
"BT3","0.5","1h","dist_total","dist_total",0,0,NA
"BT1","1","1h","dist_total","dist_total",16,1,0.0625
"BT2","1","1h","dist_total","dist_total",16,0,0
"BT3","1","1h","dist_total","dist_total",0,0,NA
"BT1","0","24h","dist_total","dist_total",15,0,0
"BT2","0","24h","dist_total","dist_total",16,0,0
"BT3","0","24h","dist_total","dist_total",0,0,NA
"BT1","0.5","24h","dist_total","dist_total",15,0,0
"BT2","0.5","24h","dist_total","dist_total",15,1,0.0666666666666667
"BT3","0.5","24h","dist_total","dist_total",0,0,NA
"BT1","1","24h","dist_total","dist_total",14,0,0
"BT2","1","24h","dist_total","dist_total",12,0,0
"BT3","1","24h","dist_total","dist_total",0,0,NA
"BT1","0","96h","dist_total","dist_total",16,0,0
"BT2","0","96h","dist_total","dist_total",16,0,0
"BT3","0","96h","dist_total","dist_total",0,0,NA
"BT1","0.5","96h","dist_total","dist_total",16,0,0
"BT2","0.5","96h","dist_total","dist_total",16,0,0
"BT3","0.5","96h","dist_total","dist_total",0,0,NA
"BT1","1","96h","dist_total","dist_total",14,0,0
"BT2","1","96h","dist_total","dist_total",16,1,0.0625
"BT3","1","96h","dist_total","dist_total",0,0,NA
"BT1","0","1h","latency","latency",14,11,0.785714285714286
"BT2","0","1h","latency","latency",16,15,0.9375
"BT3","0","1h","latency","latency",0,0,NA
"BT1","0.5","1h","latency","latency",16,11,0.6875
"BT2","0.5","1h","latency","latency",16,13,0.8125
"BT3","0.5","1h","latency","latency",0,0,NA
"BT1","1","1h","latency","latency",16,10,0.625
"BT2","1","1h","latency","latency",16,13,0.8125
"BT3","1","1h","latency","latency",0,0,NA
"BT1","0","24h","latency","latency",15,12,0.8
"BT2","0","24h","latency","latency",16,16,1
"BT3","0","24h","latency","latency",0,0,NA
"BT1","0.5","24h","latency","latency",15,7,0.466666666666667
"BT2","0.5","24h","latency","latency",15,10,0.666666666666667
"BT3","0.5","24h","latency","latency",0,0,NA
"BT1","1","24h","latency","latency",14,10,0.714285714285714
"BT2","1","24h","latency","latency",12,10,0.833333333333333
"BT3","1","24h","latency","latency",0,0,NA
"BT1","0","96h","latency","latency",16,12,0.75
"BT2","0","96h","latency","latency",16,13,0.8125
"BT3","0","96h","latency","latency",0,0,NA
"BT1","0.5","96h","latency","latency",16,13,0.8125
"BT2","0.5","96h","latency","latency",16,10,0.625
"BT3","0.5","96h","latency","latency",0,0,NA
"BT1","1","96h","latency","latency",14,12,0.857142857142857
"BT2","1","96h","latency","latency",16,9,0.5625
"BT3","1","96h","latency","latency",0,0,NA
"BT1","0","1h","mov_total","mov_total",14,0,0
"BT2","0","1h","mov_total","mov_total",16,0,0
"BT3","0","1h","mov_total","mov_total",0,0,NA
"BT1","0.5","1h","mov_total","mov_total",16,3,0.1875
"BT2","0.5","1h","mov_total","mov_total",16,0,0
"BT3","0.5","1h","mov_total","mov_total",0,0,NA
"BT1","1","1h","mov_total","mov_total",16,1,0.0625
"BT2","1","1h","mov_total","mov_total",16,0,0
"BT3","1","1h","mov_total","mov_total",0,0,NA
"BT1","0","24h","mov_total","mov_total",15,0,0
"BT2","0","24h","mov_total","mov_total",16,0,0
"BT3","0","24h","mov_total","mov_total",0,0,NA
"BT1","0.5","24h","mov_total","mov_total",15,0,0
"BT2","0.5","24h","mov_total","mov_total",15,1,0.0666666666666667
"BT3","0.5","24h","mov_total","mov_total",0,0,NA
"BT1","1","24h","mov_total","mov_total",14,0,0
"BT2","1","24h","mov_total","mov_total",12,0,0
"BT3","1","24h","mov_total","mov_total",0,0,NA
"BT1","0","96h","mov_total","mov_total",16,0,0
"BT2","0","96h","mov_total","mov_total",16,0,0
"BT3","0","96h","mov_total","mov_total",0,0,NA
"BT1","0.5","96h","mov_total","mov_total",16,0,0
"BT2","0.5","96h","mov_total","mov_total",16,0,0
"BT3","0.5","96h","mov_total","mov_total",0,0,NA
"BT1","1","96h","mov_total","mov_total",14,0,0
"BT2","1","96h","mov_total","mov_total",16,1,0.0625
"BT3","1","96h","mov_total","mov_total",0,0,NA
"BT1","0","1h","mtpc","mtpc",14,1,0.0714285714285714
"BT2","0","1h","mtpc","mtpc",16,0,0
"BT3","0","1h","mtpc","mtpc",0,0,NA
"BT1","0.5","1h","mtpc","mtpc",16,3,0.1875
"BT2","0.5","1h","mtpc","mtpc",16,2,0.125
"BT3","0.5","1h","mtpc","mtpc",0,0,NA
"BT1","1","1h","mtpc","mtpc",16,2,0.125
"BT2","1","1h","mtpc","mtpc",16,1,0.0625
"BT3","1","1h","mtpc","mtpc",0,0,NA
"BT1","0","24h","mtpc","mtpc",15,0,0
