"endpoint","resolved_variable","domain","source_test","data_type","model_family","dataset","model_method","term","df","statistic","p_value","model_note","p_adj_bh","effect_flag_bh_0_05"
"latency","latency","LDT decision latency","LDT","continuous or censored","continuous_factorial_model_with_robust_or_rank_sensitivity_if_flagged","BT1","ART-ANOVA","treatment",2,2,0.161947366423309,"Aligned Rank Transform factorial model. Interpret endpoint effects from treatment, exposure, and treatment:exposure terms.",0.231353380604728,FALSE
"latency","latency","LDT decision latency","LDT","continuous or censored","continuous_factorial_model_with_robust_or_rank_sensitivity_if_flagged","BT1","ART-ANOVA","exposure",2,2,0.248127700454616,"Aligned Rank Transform factorial model. Interpret endpoint effects from treatment, exposure, and treatment:exposure terms.",0.310159625568269,FALSE
"latency","latency","LDT decision latency","LDT","continuous or censored","continuous_factorial_model_with_robust_or_rank_sensitivity_if_flagged","BT1","ART-ANOVA","treatment:exposure",4,4,0.0224512747600481,"Aligned Rank Transform factorial model. Interpret endpoint effects from treatment, exposure, and treatment:exposure terms.",0.0481098744858173,TRUE
"first_choice_binary","first_choice_binary","LDT first choice","LDT","binary","binary_model_if_feasible; otherwise exact/descriptive","BT1","Firth logistic regression","(Intercept)",NA,NA,0.0339696282708571,"Coefficient-level Firth logistic results. No-choice observations are not valid binary outcomes and are excluded from this model.",0.0588030852061672,FALSE
"first_choice_binary","first_choice_binary","LDT first choice","LDT","binary","binary_model_if_feasible; otherwise exact/descriptive","BT1","Firth logistic regression","treatment0.5",NA,NA,0.0392020568041115,"Coefficient-level Firth logistic results. No-choice observations are not valid binary outcomes and are excluded from this model.",0.0588030852061672,FALSE
"first_choice_binary","first_choice_binary","LDT first choice","LDT","binary","binary_model_if_feasible; otherwise exact/descriptive","BT1","Firth logistic regression","treatment1",NA,NA,0.0577661701805618,"Coefficient-level Firth logistic results. No-choice observations are not valid binary outcomes and are excluded from this model.",0.074270790232151,FALSE
"first_choice_binary","first_choice_binary","LDT first choice","LDT","binary","binary_model_if_feasible; otherwise exact/descriptive","BT1","Firth logistic regression","exposure24h",NA,NA,0.0851153235533583,"Coefficient-level Firth logistic results. No-choice observations are not valid binary outcomes and are excluded from this model.",0.0957547389975281,FALSE
"first_choice_binary","first_choice_binary","LDT first choice","LDT","binary","binary_model_if_feasible; otherwise exact/descriptive","BT1","Firth logistic regression","exposure96h",NA,NA,0.115679767810702,"Coefficient-level Firth logistic results. No-choice observations are not valid binary outcomes and are excluded from this model.",0.115679767810702,FALSE
"first_choice_binary","first_choice_binary","LDT first choice","LDT","binary","binary_model_if_feasible; otherwise exact/descriptive","BT1","Firth logistic regression","treatment0.5:exposure24h",NA,NA,0.0128644775521839,"Coefficient-level Firth logistic results. No-choice observations are not valid binary outcomes and are excluded from this model.",0.0289450744924138,TRUE
"first_choice_binary","first_choice_binary","LDT first choice","LDT","binary","binary_model_if_feasible; otherwise exact/descriptive","BT1","Firth logistic regression","treatment1:exposure24h",NA,NA,0.000183176638488103,"Coefficient-level Firth logistic results. No-choice observations are not valid binary outcomes and are excluded from this model.",0.00164858974639293,TRUE
"first_choice_binary","first_choice_binary","LDT first choice","LDT","binary","binary_model_if_feasible; otherwise exact/descriptive","BT1","Firth logistic regression","treatment0.5:exposure96h",NA,NA,0.000661485069602508,"Coefficient-level Firth logistic results. No-choice observations are not valid binary outcomes and are excluded from this model.",0.00297668281321128,TRUE
"first_choice_binary","first_choice_binary","LDT first choice","LDT","binary","binary_model_if_feasible; otherwise exact/descriptive","BT1","Firth logistic regression","treatment1:exposure96h",NA,NA,0.00552528218375536,"Coefficient-level Firth logistic results. No-choice observations are not valid binary outcomes and are excluded from this model.",0.0165758465512661,TRUE
"time_bright","time_bright","LDT phototaxis","LDT","bounded continuous","bounded_continuous_or_rank_based_factorial_model","BT1","ART-ANOVA","treatment",2,2,7.72546130871449e-07,"Aligned Rank Transform factorial model. Interpret endpoint effects from treatment, exposure, and treatment:exposure terms.",1.23497943935184e-05,TRUE
"time_bright","time_bright","LDT phototaxis","LDT","bounded continuous","bounded_continuous_or_rank_based_factorial_model","BT1","ART-ANOVA","exposure",2,2,2.04877687106092e-05,"Aligned Rank Transform factorial model. Interpret endpoint effects from treatment, exposure, and treatment:exposure terms.",0.000102438843553046,TRUE
"time_bright","time_bright","LDT phototaxis","LDT","bounded continuous","bounded_continuous_or_rank_based_factorial_model","BT1","ART-ANOVA","treatment:exposure",4,4,0.0511890474826546,"Aligned Rank Transform factorial model. Interpret endpoint effects from treatment, exposure, and treatment:exposure terms.",0.0903336132046845,FALSE
"mtpc","mtpc","LDT transition behavior","LDT","continuous derived","continuous_factorial_model_with_robust_or_rank_sensitivity_if_flagged","BT1","ART-ANOVA","treatment",2,2,1.25109576687389e-05,"Aligned Rank Transform factorial model. Interpret endpoint effects from treatment, exposure, and treatment:exposure terms.",7.50657460124337e-05,TRUE
"mtpc","mtpc","LDT transition behavior","LDT","continuous derived","continuous_factorial_model_with_robust_or_rank_sensitivity_if_flagged","BT1","ART-ANOVA","exposure",2,2,2.24831889815491e-06,"Aligned Rank Transform factorial model. Interpret endpoint effects from treatment, exposure, and treatment:exposure terms.",2.24831889815491e-05,TRUE
"mtpc","mtpc","LDT transition behavior","LDT","continuous derived","continuous_factorial_model_with_robust_or_rank_sensitivity_if_flagged","BT1","ART-ANOVA","treatment:exposure",4,4,7.09891375840777e-06,"Aligned Rank Transform factorial model. Interpret endpoint effects from treatment, exposure, and treatment:exposure terms.",5.32418531880582e-05,TRUE
