"variable","domain","source_test","data_type","pca_included","endpoint_model","battery_comparison","notes","resolved_variable_all","resolved_variable_BT1","resolved_variable_BT2","resolved_variable_BT3","available_all","available_BT1","available_BT2","available_BT3","n_nonmissing_all","n_nonmissing_BT1","n_nonmissing_BT2","n_nonmissing_BT3","pca_candidate","model_candidate","battery_candidate","available_any","recommended_model_family","n_cells_non_normal_flag","n_batteries_high_variance_ratio_flag","n_cells_high_zero_flag","model_readiness"
"latency","LDT decision latency","LDT","continuous or censored","yes","yes_if_justified","yes_if_comparable","latency to first choice; check no-choice and zero behavior","latency","latency","latency","latency",TRUE,TRUE,TRUE,FALSE,275,136,139,0,TRUE,TRUE,TRUE,TRUE,"continuous_factorial_model_with_robust_or_rank_sensitivity_if_flagged",16,2,18,"model_with_sensitivity_or_robust_method"
"first_choice_binary","LDT first choice","LDT","binary","yes_if_coding_valid","yes_if_feasible","yes_if_comparable","bright/dark first choice; no-choice handling must be explicit","first_choice_binary","first_choice_binary","first_choice_binary","first_choice_binary",TRUE,TRUE,TRUE,FALSE,273,135,138,0,TRUE,TRUE,TRUE,TRUE,"binary_model_if_feasible; otherwise exact/descriptive",0,0,0,"standard_model_candidate"
"time_bright","LDT phototaxis","LDT","bounded continuous","yes","yes","yes_if_comparable","bright compartment time; raw time or proportion must be documented","time_bright","time_bright","time_bright","time_bright",TRUE,TRUE,TRUE,FALSE,274,136,138,0,TRUE,TRUE,TRUE,TRUE,"bounded_continuous_or_rank_based_factorial_model",5,1,0,"model_with_sensitivity_or_robust_method"
"mtpc","LDT transition behavior","LDT","continuous derived","yes","yes_if_justified","yes_if_comparable","mean time per choice or entry; derived from LDT variables","mtpc","mtpc","mtpc","mtpc",TRUE,TRUE,TRUE,FALSE,274,136,138,0,TRUE,TRUE,TRUE,TRUE,"continuous_factorial_model_with_robust_or_rank_sensitivity_if_flagged",18,2,0,"model_with_sensitivity_or_robust_method"
"num_changes","LDT transition behavior","LDT","count","yes","yes_if_justified","yes_if_comparable","compartment changes; inspect count assumptions if modeled","num_changes","num_changes","num_changes","num_changes",TRUE,TRUE,TRUE,FALSE,274,136,138,0,TRUE,TRUE,TRUE,TRUE,"count_or_rank_based_model_after_overdispersion_check",4,2,2,"model_with_sensitivity_or_robust_method"
"dist_total","NTT locomotion","NTT","continuous","yes","yes","yes_if_comparable","total distance traveled","dist_total","dist_total","dist_total","dist_total",TRUE,TRUE,TRUE,FALSE,275,136,139,0,TRUE,TRUE,TRUE,TRUE,"continuous_factorial_model_with_robust_or_rank_sensitivity_if_flagged",4,2,0,"model_with_sensitivity_or_robust_method"
"mov_total","NTT locomotion","NTT","continuous derived","yes","yes_if_justified","yes_if_comparable","total movement time; can overlap with distance and velocity","mov_total","mov_total","mov_total","mov_total",TRUE,TRUE,TRUE,FALSE,275,136,139,0,TRUE,TRUE,TRUE,TRUE,"continuous_factorial_model_with_robust_or_rank_sensitivity_if_flagged",13,2,0,"model_with_sensitivity_or_robust_method"
"vel_mean","NTT locomotion","NTT","continuous derived","yes","yes_if_justified","yes_if_comparable","mean locomotor intensity; no primary/secondary label used","vel_mean","vel_mean","vel_mean","vel_mean",TRUE,TRUE,TRUE,FALSE,275,136,139,0,TRUE,TRUE,TRUE,TRUE,"continuous_factorial_model_with_robust_or_rank_sensitivity_if_flagged",4,2,0,"model_with_sensitivity_or_robust_method"
"stratum_pref","NTT spatial position","NTT","bounded/proportion-like","yes","yes","yes_if_comparable","upper/lower stratum preference or exploration","stratum_pref","stratum_pref","stratum_pref","stratum_pref",TRUE,TRUE,TRUE,FALSE,275,136,139,0,TRUE,TRUE,TRUE,TRUE,"bounded_continuous_or_rank_based_factorial_model",4,1,0,"model_with_sensitivity_or_robust_method"
"blood_sugar","physiology","post-test physiology","continuous","yes_if_retention_acceptable","optional_supportive","if_comparable","supportive physiological endpoint; report PCA retained N","blood_sugar","blood_sugar","blood_sugar","blood_sugar",TRUE,TRUE,TRUE,TRUE,221,111,37,73,TRUE,TRUE,TRUE,TRUE,"continuous_factorial_model_with_robust_or_rank_sensitivity_if_flagged",2,3,0,"model_with_sensitivity_or_robust_method"
"attempts","endurance","RN","count","yes","yes_if_justified","BT1_vs_BT3_if_comparable","number of resistance attempts","attempts","attempts","attempts","attempts",TRUE,TRUE,FALSE,TRUE,271,136,0,135,TRUE,TRUE,TRUE,TRUE,"count_or_rank_based_model_after_overdispersion_check",12,2,0,"model_with_sensitivity_or_robust_method"
"last_flux","endurance","RN","ordinal/step","no_by_default","yes_if_justified","BT1_vs_BT3_if_comparable","supportive endurance endpoint, not part of the fixed PCA set unless revised","last_flux","last_flux","last_flux","last_flux",TRUE,TRUE,FALSE,TRUE,271,136,0,135,FALSE,TRUE,TRUE,TRUE,"ordinal_or_rank_based_model",11,0,0,"standard_model_candidate"
"resistance_index","endurance","RN","continuous derived","yes","yes","BT1_vs_BT3_if_comparable","validated manuscript endurance variable","resistance_index","resistance_index","resistance_index","resistance_index",TRUE,TRUE,FALSE,TRUE,271,136,0,135,TRUE,TRUE,TRUE,TRUE,"continuous_factorial_model_with_robust_or_rank_sensitivity_if_flagged",8,2,0,"model_with_sensitivity_or_robust_method"
"time_in_last_flux","endurance","RN","bounded continuous","no_by_default","yes_if_justified","BT1_vs_BT3_if_comparable","supportive endurance endpoint, not part of the fixed PCA set unless revised","time_in_last_flux","time_in_last_flux","time_in_last_flux","time_in_last_flux",TRUE,TRUE,FALSE,TRUE,271,136,0,135,FALSE,TRUE,TRUE,TRUE,"bounded_continuous_or_rank_based_factorial_model",3,0,0,"standard_model_candidate"
