"endpoint","resolved_variable","source_test","domain","model_method","term","p_value","p_adj_bh","effect_flag_bh_0_05","model_note"
"latency","latency","LDT","LDT decision latency","ART-ANOVA","treatment",0.161947366423309,0.231353380604728,FALSE,"Aligned Rank Transform factorial model. Interpret endpoint effects from treatment, exposure, and treatment:exposure terms."
"latency","latency","LDT","LDT decision latency","ART-ANOVA","exposure",0.248127700454616,0.310159625568269,FALSE,"Aligned Rank Transform factorial model. Interpret endpoint effects from treatment, exposure, and treatment:exposure terms."
"latency","latency","LDT","LDT decision latency","ART-ANOVA","treatment:exposure",0.0224512747600481,0.0481098744858173,TRUE,"Aligned Rank Transform factorial model. Interpret endpoint effects from treatment, exposure, and treatment:exposure terms."
"first_choice_binary","first_choice_binary","LDT","LDT first choice","Firth logistic regression","(Intercept)",0.0339696282708571,0.0588030852061672,FALSE,"Coefficient-level Firth logistic results. No-choice observations are not valid binary outcomes and are excluded from this model."
"first_choice_binary","first_choice_binary","LDT","LDT first choice","Firth logistic regression","treatment0.5",0.0392020568041115,0.0588030852061672,FALSE,"Coefficient-level Firth logistic results. No-choice observations are not valid binary outcomes and are excluded from this model."
"first_choice_binary","first_choice_binary","LDT","LDT first choice","Firth logistic regression","treatment1",0.0577661701805618,0.074270790232151,FALSE,"Coefficient-level Firth logistic results. No-choice observations are not valid binary outcomes and are excluded from this model."
"first_choice_binary","first_choice_binary","LDT","LDT first choice","Firth logistic regression","exposure24h",0.0851153235533583,0.0957547389975281,FALSE,"Coefficient-level Firth logistic results. No-choice observations are not valid binary outcomes and are excluded from this model."
"first_choice_binary","first_choice_binary","LDT","LDT first choice","Firth logistic regression","exposure96h",0.115679767810702,0.115679767810702,FALSE,"Coefficient-level Firth logistic results. No-choice observations are not valid binary outcomes and are excluded from this model."
"first_choice_binary","first_choice_binary","LDT","LDT first choice","Firth logistic regression","treatment0.5:exposure24h",0.0128644775521839,0.0289450744924138,TRUE,"Coefficient-level Firth logistic results. No-choice observations are not valid binary outcomes and are excluded from this model."
"first_choice_binary","first_choice_binary","LDT","LDT first choice","Firth logistic regression","treatment1:exposure24h",0.000183176638488103,0.00164858974639293,TRUE,"Coefficient-level Firth logistic results. No-choice observations are not valid binary outcomes and are excluded from this model."
"first_choice_binary","first_choice_binary","LDT","LDT first choice","Firth logistic regression","treatment0.5:exposure96h",0.000661485069602508,0.00297668281321128,TRUE,"Coefficient-level Firth logistic results. No-choice observations are not valid binary outcomes and are excluded from this model."
"first_choice_binary","first_choice_binary","LDT","LDT first choice","Firth logistic regression","treatment1:exposure96h",0.00552528218375536,0.0165758465512661,TRUE,"Coefficient-level Firth logistic results. No-choice observations are not valid binary outcomes and are excluded from this model."
"time_bright","time_bright","LDT","LDT phototaxis","ART-ANOVA","treatment",7.72546130871449e-07,1.23497943935184e-05,TRUE,"Aligned Rank Transform factorial model. Interpret endpoint effects from treatment, exposure, and treatment:exposure terms."
"time_bright","time_bright","LDT","LDT phototaxis","ART-ANOVA","exposure",2.04877687106092e-05,0.000102438843553046,TRUE,"Aligned Rank Transform factorial model. Interpret endpoint effects from treatment, exposure, and treatment:exposure terms."
"time_bright","time_bright","LDT","LDT phototaxis","ART-ANOVA","treatment:exposure",0.0511890474826546,0.0903336132046845,FALSE,"Aligned Rank Transform factorial model. Interpret endpoint effects from treatment, exposure, and treatment:exposure terms."
"mtpc","mtpc","LDT","LDT transition behavior","ART-ANOVA","treatment",1.25109576687389e-05,7.50657460124337e-05,TRUE,"Aligned Rank Transform factorial model. Interpret endpoint effects from treatment, exposure, and treatment:exposure terms."
"mtpc","mtpc","LDT","LDT transition behavior","ART-ANOVA","exposure",2.24831889815491e-06,2.24831889815491e-05,TRUE,"Aligned Rank Transform factorial model. Interpret endpoint effects from treatment, exposure, and treatment:exposure terms."
"mtpc","mtpc","LDT","LDT transition behavior","ART-ANOVA","treatment:exposure",7.09891375840777e-06,5.32418531880582e-05,TRUE,"Aligned Rank Transform factorial model. Interpret endpoint effects from treatment, exposure, and treatment:exposure terms."
"num_changes","num_changes","LDT","LDT transition behavior","negative-binomial GLM","NULL",NA,NA,FALSE,"Count endpoint model. Variance-to-mean ratio = 12.409."
