"endpoint","domain","source_test","endpoint_type","sesoi_raw","sesoi_unit","sesoi_source","equivalence_test_allowed","equivalence_decision"
"attempts","endurance","RN","count_or_discrete",NA,"raw endpoint units","not defined; confirmatory TOST not run",FALSE,"TOST not run: SESOI absent or not allowed"
"dist_total","NTT locomotion","NTT","continuous_or_derived",NA,"raw endpoint units","not defined; confirmatory TOST not run",FALSE,"TOST not run: SESOI absent or not allowed"
"first_choice_binary","LDT first choice","LDT","binary",NA,"raw endpoint units","not defined; confirmatory TOST not run",FALSE,"not run here: binary endpoint requires endpoint-specific equivalence definition"
"last_flux","endurance","RN","count_or_discrete",NA,"raw endpoint units","not defined; confirmatory TOST not run",FALSE,"TOST not run: SESOI absent or not allowed"
"latency","LDT decision latency","LDT","continuous_or_derived",NA,"raw endpoint units","not defined; confirmatory TOST not run",FALSE,"TOST not run: SESOI absent or not allowed"
"mov_total","NTT locomotion","NTT","continuous_or_derived",NA,"raw endpoint units","not defined; confirmatory TOST not run",FALSE,"TOST not run: SESOI absent or not allowed"
"mtpc","LDT transition behavior","LDT","continuous_or_derived",NA,"raw endpoint units","not defined; confirmatory TOST not run",FALSE,"TOST not run: SESOI absent or not allowed"
"num_changes","LDT transition behavior","LDT","count_or_discrete",NA,"raw endpoint units","not defined; confirmatory TOST not run",FALSE,"TOST not run: SESOI absent or not allowed"
"resistance_index","endurance","RN","continuous_or_derived",NA,"raw endpoint units","not defined; confirmatory TOST not run",FALSE,"TOST not run: SESOI absent or not allowed"
"stratum_pref","NTT spatial position","NTT","bounded_continuous_or_proportion",NA,"raw endpoint units","not defined; confirmatory TOST not run",FALSE,"TOST not run: SESOI absent or not allowed"
"time_bright","LDT phototaxis","LDT","bounded_continuous_or_proportion",NA,"raw endpoint units","not defined; confirmatory TOST not run",FALSE,"TOST not run: SESOI absent or not allowed"
"time_in_last_flux","endurance","RN","bounded_continuous_or_proportion",NA,"raw endpoint units","not defined; confirmatory TOST not run",FALSE,"TOST not run: SESOI absent or not allowed"
"vel_mean","NTT locomotion","NTT","continuous_or_derived",NA,"raw endpoint units","not defined; confirmatory TOST not run",FALSE,"TOST not run: SESOI absent or not allowed"
