endpoint,domain,candidate_names,inclusion_rule,pca_role,pca_status,resolved_variable_BT1,available_BT1,n_nonmissing_BT1,resolved_source,present_in_bt1
dist_total,NTT locomotion,dist_total|distance_total|total_distance,include_if_available_and_variable,fixed_full_battery_endpoint,ready,dist_total,TRUE,136,dist_total,TRUE
mov_total,NTT locomotion,mov_total|movement_total|time_moving|movement_time,include_if_available_and_variable,fixed_full_battery_endpoint,ready,mov_total,TRUE,136,mov_total,TRUE
vel_mean,NTT locomotion,vel_mean|mean_vel|velocity_mean|mean_velocity,include_if_available_and_variable,fixed_full_battery_endpoint,ready,vel_mean,TRUE,136,vel_mean,TRUE
stratum_pref,NTT spatial position,stratum_pref|upper_stratum|top_time|time_top|upper_time|top_prop|upper_prop,include_if_available_and_variable,fixed_full_battery_endpoint,ready,stratum_pref,TRUE,136,stratum_pref,TRUE
time_bright,LDT phototaxis,time_bright|time_light|light_time|claro_time,include_if_available_and_variable,fixed_full_battery_endpoint,ready,time_bright,TRUE,136,time_bright,TRUE
first_choice_binary,LDT first choice,first_choice_binary|first_choice|choice_first|primeira_escolha,include_if_available_and_variable,fixed_full_battery_endpoint,ready_if_binary_coding_and_no_choice_handling_documented,first_choice_binary,TRUE,135,first_choice_binary,TRUE
latency,LDT decision latency,latency|latency_first_choice|first_latency,include_if_available_and_variable,fixed_full_battery_endpoint,ready,latency,TRUE,136,latency,TRUE
mtpc,LDT transition behavior,mtpc|mean_time_per_choice|mean_time_per_entry,include_if_available_and_variable,fixed_full_battery_endpoint,ready,mtpc,TRUE,136,mtpc,TRUE
num_changes,LDT transition behavior,num_changes|changes|transitions|crossings,include_if_available_and_variable,fixed_full_battery_endpoint,ready,num_changes,TRUE,136,num_changes,TRUE
resistance_index,Endurance,resistance_index|irn|IRN|irn_computed,include_if_available_and_variable,fixed_full_battery_endpoint,ready,resistance_index,TRUE,136,resistance_index,TRUE
attempts,Endurance,attempts|num_attempts|resistance_attempts,include_if_available_and_variable,fixed_full_battery_endpoint,ready,attempts,TRUE,136,attempts,TRUE
blood_sugar,Physiology,blood_sugar|glycemia|glicemia|glucose,include_if_retention_acceptable,conditional_supportive_physiology,ready_if_complete_case_retention_acceptable,blood_sugar,TRUE,111,blood_sugar,TRUE
condition_factor,Biometry / condition,Kc|Kf|kf|fulton|fulton_k|condition_factor|condition_factor_k,include_if_formula_or_range_audit_passes,conditional_condition_factor,NA,NA,NA,NA,Kc,TRUE
