"battery","treatment","exposure","variable","n_valid","levels_observed","n_levels","separation_flag","standard_logistic_feasible_cell"
"BT1","0","1h","first_choice_binary",14,"0;1",2,FALSE,TRUE
"BT2","0","1h","first_choice_binary",16,"0;1",2,FALSE,TRUE
"BT1","0.5","1h","first_choice_binary",15,"0;1",2,FALSE,TRUE
"BT2","0.5","1h","first_choice_binary",16,"0;1",2,FALSE,TRUE
"BT1","1","1h","first_choice_binary",16,"0;1",2,FALSE,TRUE
"BT2","1","1h","first_choice_binary",16,"0;1",2,FALSE,TRUE
"BT1","0","24h","first_choice_binary",15,"0;1",2,FALSE,TRUE
"BT2","0","24h","first_choice_binary",16,"0;1",2,FALSE,TRUE
"BT1","0.5","24h","first_choice_binary",15,"0;1",2,FALSE,TRUE
"BT2","0.5","24h","first_choice_binary",15,"0;1",2,FALSE,TRUE
"BT1","1","24h","first_choice_binary",14,"1",1,TRUE,FALSE
"BT2","1","24h","first_choice_binary",12,"0;1",2,FALSE,TRUE
"BT1","0","96h","first_choice_binary",16,"0;1",2,FALSE,TRUE
"BT2","0","96h","first_choice_binary",16,"0;1",2,FALSE,TRUE
"BT1","0.5","96h","first_choice_binary",16,"0;1",2,FALSE,TRUE
"BT2","0.5","96h","first_choice_binary",16,"1",1,TRUE,FALSE
"BT1","1","96h","first_choice_binary",14,"0;1",2,FALSE,TRUE
"BT2","1","96h","first_choice_binary",15,"0;1",2,FALSE,TRUE
