"variable","resolved_variable_all","domain","source_test","data_type","pca_included","endpoint_model","battery_comparison","available_BT1","available_BT2","available_BT3","n_nonmissing_all","analysis_role"
"attempts","attempts","endurance","RN","count","yes","yes_if_justified","BT1_vs_BT3_if_comparable",TRUE,FALSE,TRUE,271,"PCA_and_endpoint_model_candidate"
"battery","battery","metadata/design","metadata","design","no","no","no",TRUE,TRUE,TRUE,410,"covariate_QC_or_design"
"blood_sugar","blood_sugar","physiology","post-test physiology","continuous","yes_if_retention_acceptable","optional_supportive","if_comparable",TRUE,TRUE,TRUE,221,"PCA_and_endpoint_model_candidate"
"condition_factor_K","Kc","biometry/condition","biometry","continuous derived","yes_if_valid","usually_no","usually_no",TRUE,TRUE,TRUE,408,"PCA_candidate"
"datetime","datetime","metadata/design","metadata","datetime","no","no","no",TRUE,TRUE,FALSE,275,"covariate_QC_or_design"
"dist_total","dist_total","NTT locomotion","NTT","continuous","yes","yes","yes_if_comparable",TRUE,TRUE,FALSE,275,"PCA_and_endpoint_model_candidate"
"exposure","exposure","metadata/design","metadata","design","no","no","no",TRUE,TRUE,TRUE,410,"covariate_QC_or_design"
"first_choice_binary","first_choice_binary","LDT first choice","LDT","binary","yes_if_coding_valid","yes_if_feasible","yes_if_comparable",TRUE,TRUE,FALSE,273,"PCA_and_endpoint_model_candidate"
"fish_id","fish_id","metadata/design","metadata","identifier","no","no","no",TRUE,TRUE,TRUE,410,"covariate_QC_or_design"
"last_flux","last_flux","endurance","RN","ordinal/step","no_by_default","yes_if_justified","BT1_vs_BT3_if_comparable",TRUE,FALSE,TRUE,271,"endpoint_model_candidate"
"latency","latency","LDT decision latency","LDT","continuous or censored","yes","yes_if_justified","yes_if_comparable",TRUE,TRUE,FALSE,275,"PCA_and_endpoint_model_candidate"
"length","lt","biometry/QC","biometry","continuous","no_by_default","covariate_or_QC","no",TRUE,TRUE,TRUE,408,"covariate_QC_or_design"
"mov_total","mov_total","NTT locomotion","NTT","continuous derived","yes","yes_if_justified","yes_if_comparable",TRUE,TRUE,FALSE,275,"PCA_and_endpoint_model_candidate"
"mtpc","mtpc","LDT transition behavior","LDT","continuous derived","yes","yes_if_justified","yes_if_comparable",TRUE,TRUE,FALSE,274,"PCA_and_endpoint_model_candidate"
"num_changes","num_changes","LDT transition behavior","LDT","count","yes","yes_if_justified","yes_if_comparable",TRUE,TRUE,FALSE,274,"PCA_and_endpoint_model_candidate"
"resistance_index","resistance_index","endurance","RN","continuous derived","yes","yes","BT1_vs_BT3_if_comparable",TRUE,FALSE,TRUE,271,"PCA_and_endpoint_model_candidate"
"sex","sex","biometry/QC","biometry","categorical","no_by_default","covariate_or_QC","no",TRUE,TRUE,TRUE,391,"covariate_QC_or_design"
"stratum_pref","stratum_pref","NTT spatial position","NTT","bounded/proportion-like","yes","yes","yes_if_comparable",TRUE,TRUE,FALSE,275,"PCA_and_endpoint_model_candidate"
"time_bright","time_bright","LDT phototaxis","LDT","bounded continuous","yes","yes","yes_if_comparable",TRUE,TRUE,FALSE,274,"PCA_and_endpoint_model_candidate"
"time_in_last_flux","time_in_last_flux","endurance","RN","bounded continuous","no_by_default","yes_if_justified","BT1_vs_BT3_if_comparable",TRUE,FALSE,TRUE,271,"endpoint_model_candidate"
"treatment","treatment","metadata/design","metadata","design","no","no","no",TRUE,TRUE,TRUE,410,"covariate_QC_or_design"
"vel_mean","vel_mean","NTT locomotion","NTT","continuous derived","yes","yes_if_justified","yes_if_comparable",TRUE,TRUE,FALSE,275,"PCA_and_endpoint_model_candidate"
"weight","wt","biometry/QC","biometry","continuous","no_by_default","covariate_or_QC","no",TRUE,TRUE,TRUE,408,"covariate_QC_or_design"
