"battery","treatment","exposure","variable","resolved_variable","n","shapiro_w","shapiro_p","note"
"BT1","0","1h","attempts","attempts",14,0.626851816891359,7.11107943594173e-05,"Shapiro-Wilk run."
"BT2","0","1h","attempts","attempts",0,NA,NA,"n < 3; Shapiro-Wilk not run."
"BT3","0","1h","attempts","attempts",16,0.506940613058511,2.42091321745549e-06,"Shapiro-Wilk run."
"BT1","0.5","1h","attempts","attempts",16,NA,NA,"Fewer than 3 unique values; Shapiro-Wilk not meaningful."
"BT2","0.5","1h","attempts","attempts",0,NA,NA,"n < 3; Shapiro-Wilk not run."
"BT3","0.5","1h","attempts","attempts",16,0.648326676709184,4.80307666000629e-05,"Shapiro-Wilk run."
"BT1","1","1h","attempts","attempts",16,0.358278763010927,1.74422064741084e-07,"Shapiro-Wilk run."
"BT2","1","1h","attempts","attempts",0,NA,NA,"n < 3; Shapiro-Wilk not run."
"BT3","1","1h","attempts","attempts",15,0.852128809759805,0.0186164094598786,"Shapiro-Wilk run."
"BT1","0","24h","attempts","attempts",15,NA,NA,"Fewer than 3 unique values; Shapiro-Wilk not meaningful."
"BT2","0","24h","attempts","attempts",0,NA,NA,"n < 3; Shapiro-Wilk not run."
"BT3","0","24h","attempts","attempts",15,0.446680348545556,1.34579074168764e-06,"Shapiro-Wilk run."
"BT1","0.5","24h","attempts","attempts",15,NA,NA,"Fewer than 3 unique values; Shapiro-Wilk not meaningful."
"BT2","0.5","24h","attempts","attempts",0,NA,NA,"n < 3; Shapiro-Wilk not run."
"BT3","0.5","24h","attempts","attempts",14,0.4959223625778,5.50372172421127e-06,"Shapiro-Wilk run."
"BT1","1","24h","attempts","attempts",14,0.638060894606927,9.04749081731761e-05,"Shapiro-Wilk run."
"BT2","1","24h","attempts","attempts",0,NA,NA,"n < 3; Shapiro-Wilk not run."
"BT3","1","24h","attempts","attempts",12,0.88448782412159,0.100074855847514,"Shapiro-Wilk run."
"BT1","0","96h","attempts","attempts",16,NA,NA,"Fewer than 3 unique values; Shapiro-Wilk not meaningful."
"BT2","0","96h","attempts","attempts",0,NA,NA,"n < 3; Shapiro-Wilk not run."
"BT3","0","96h","attempts","attempts",16,NA,NA,"Fewer than 3 unique values; Shapiro-Wilk not meaningful."
"BT1","0.5","96h","attempts","attempts",16,0.430276969928089,5.91162675915936e-07,"Shapiro-Wilk run."
"BT2","0.5","96h","attempts","attempts",0,NA,NA,"n < 3; Shapiro-Wilk not run."
"BT3","0.5","96h","attempts","attempts",16,0.826422015318789,0.00624640249498247,"Shapiro-Wilk run."
"BT1","1","96h","attempts","attempts",14,0.767088008671492,0.00201128563488207,"Shapiro-Wilk run."
"BT2","1","96h","attempts","attempts",0,NA,NA,"n < 3; Shapiro-Wilk not run."
"BT3","1","96h","attempts","attempts",15,0.710380962503308,0.000321606011092048,"Shapiro-Wilk run."
"BT1","0","1h","blood_sugar","blood_sugar",11,0.942986109763965,0.556213441595446,"Shapiro-Wilk run."
"BT2","0","1h","blood_sugar","blood_sugar",4,0.978070685830972,0.890614831746775,"Shapiro-Wilk run."
"BT3","0","1h","blood_sugar","blood_sugar",8,0.83926979069968,0.0740317310172448,"Shapiro-Wilk run."
"BT1","0.5","1h","blood_sugar","blood_sugar",14,0.896022518628958,0.0987612428264872,"Shapiro-Wilk run."
"BT2","0.5","1h","blood_sugar","blood_sugar",1,NA,NA,"n < 3; Shapiro-Wilk not run."
"BT3","0.5","1h","blood_sugar","blood_sugar",7,0.911427528940694,0.405847097746307,"Shapiro-Wilk run."
"BT1","1","1h","blood_sugar","blood_sugar",16,0.968072791407412,0.80650613332959,"Shapiro-Wilk run."
"BT2","1","1h","blood_sugar","blood_sugar",4,0.978997179359763,0.896112057645368,"Shapiro-Wilk run."
"BT3","1","1h","blood_sugar","blood_sugar",12,0.939889574066915,0.496642734121357,"Shapiro-Wilk run."
"BT1","0","24h","blood_sugar","blood_sugar",12,0.927715639826786,0.356527442411335,"Shapiro-Wilk run."
"BT2","0","24h","blood_sugar","blood_sugar",2,NA,NA,"n < 3; Shapiro-Wilk not run."
"BT3","0","24h","blood_sugar","blood_sugar",7,0.798800950820488,0.0398597298275385,"Shapiro-Wilk run."
"BT1","0.5","24h","blood_sugar","blood_sugar",15,0.96615701484321,0.797643443680452,"Shapiro-Wilk run."
"BT2","0.5","24h","blood_sugar","blood_sugar",4,0.94171624322399,0.664819088441791,"Shapiro-Wilk run."
"BT3","0.5","24h","blood_sugar","blood_sugar",10,0.737715725253431,0.00252911209968339,"Shapiro-Wilk run."
"BT1","1","24h","blood_sugar","blood_sugar",12,0.8898386754932,0.117276843612301,"Shapiro-Wilk run."
"BT2","1","24h","blood_sugar","blood_sugar",9,0.859759169228772,0.0953074323687194,"Shapiro-Wilk run."
"BT3","1","24h","blood_sugar","blood_sugar",10,0.921662386411741,0.371028827666114,"Shapiro-Wilk run."
"BT1","0","96h","blood_sugar","blood_sugar",8,0.836438483102486,0.0692231660868664,"Shapiro-Wilk run."
"BT2","0","96h","blood_sugar","blood_sugar",4,0.972175217000001,0.854904003397182,"Shapiro-Wilk run."
"BT3","0","96h","blood_sugar","blood_sugar",7,0.828289109177222,0.077081852506943,"Shapiro-Wilk run."
"BT1","0.5","96h","blood_sugar","blood_sugar",11,0.907132120188982,0.225456651439808,"Shapiro-Wilk run."
"BT2","0.5","96h","blood_sugar","blood_sugar",6,0.926403562871845,0.552628484350376,"Shapiro-Wilk run."
"BT3","0.5","96h","blood_sugar","blood_sugar",5,0.876194643928392,0.292421269859884,"Shapiro-Wilk run."
"BT1","1","96h","blood_sugar","blood_sugar",12,0.963374143129391,0.830691159700539,"Shapiro-Wilk run."
"BT2","1","96h","blood_sugar","blood_sugar",3,0.799400679997695,0.113068325445056,"Shapiro-Wilk run."
"BT3","1","96h","blood_sugar","blood_sugar",7,0.959999420248621,0.818729565070479,"Shapiro-Wilk run."
"BT1","0","1h","condition_factor_K","Kc",14,0.937719734355626,0.389886140259081,"Shapiro-Wilk run."
"BT2","0","1h","condition_factor_K","Kc",15,0.942008403059677,0.408297871689918,"Shapiro-Wilk run."
"BT3","0","1h","condition_factor_K","Kc",16,0.955326292289203,0.578426394074354,"Shapiro-Wilk run."
"BT1","0.5","1h","condition_factor_K","Kc",16,0.976546467199729,0.930258258621764,"Shapiro-Wilk run."
"BT2","0.5","1h","condition_factor_K","Kc",16,0.953939070950627,0.554536381657011,"Shapiro-Wilk run."
"BT3","0.5","1h","condition_factor_K","Kc",16,0.867332225027502,0.0247618036750326,"Shapiro-Wilk run."
"BT1","1","1h","condition_factor_K","Kc",16,0.968104949944491,0.807054921924599,"Shapiro-Wilk run."
"BT2","1","1h","condition_factor_K","Kc",16,0.931737447872846,0.259709915384758,"Shapiro-Wilk run."
"BT3","1","1h","condition_factor_K","Kc",15,0.911338023799572,0.141960373323951,"Shapiro-Wilk run."
"BT1","0","24h","condition_factor_K","Kc",15,0.952152153405392,0.558964215258822,"Shapiro-Wilk run."
"BT2","0","24h","condition_factor_K","Kc",16,0.965966285200507,0.769799719273539,"Shapiro-Wilk run."
"BT3","0","24h","condition_factor_K","Kc",15,0.93217144619162,0.293973860963748,"Shapiro-Wilk run."
"BT1","0.5","24h","condition_factor_K","Kc",15,0.873445976296547,0.0379226654693022,"Shapiro-Wilk run."
"BT2","0.5","24h","condition_factor_K","Kc",15,0.518226531927876,4.95317861861784e-06,"Shapiro-Wilk run."
"BT3","0.5","24h","condition_factor_K","Kc",14,0.91989998721672,0.219167749873345,"Shapiro-Wilk run."
"BT1","1","24h","condition_factor_K","Kc",14,0.881014518656961,0.0600828064504727,"Shapiro-Wilk run."
"BT2","1","24h","condition_factor_K","Kc",12,0.954252725896598,0.699724878370422,"Shapiro-Wilk run."
"BT3","1","24h","condition_factor_K","Kc",12,0.949872918593178,0.635127466788761,"Shapiro-Wilk run."
"BT1","0","96h","condition_factor_K","Kc",16,0.932332939514578,0.265383015415935,"Shapiro-Wilk run."
"BT2","0","96h","condition_factor_K","Kc",16,0.94620174858769,0.432001460798287,"Shapiro-Wilk run."
"BT3","0","96h","condition_factor_K","Kc",16,0.875677164157746,0.0332514743075996,"Shapiro-Wilk run."
"BT1","0.5","96h","condition_factor_K","Kc",16,0.979971678423892,0.96337654087185,"Shapiro-Wilk run."
"BT2","0.5","96h","condition_factor_K","Kc",16,0.854560382407559,0.015911968597718,"Shapiro-Wilk run."
"BT3","0.5","96h","condition_factor_K","Kc",16,0.942334788128196,0.378603527484119,"Shapiro-Wilk run."
"BT1","1","96h","condition_factor_K","Kc",14,0.975961814926118,0.944599767525911,"Shapiro-Wilk run."
"BT2","1","96h","condition_factor_K","Kc",15,0.962120789020314,0.729200558675438,"Shapiro-Wilk run."
"BT3","1","96h","condition_factor_K","Kc",15,0.968063335197172,0.828409429281578,"Shapiro-Wilk run."
"BT1","0","1h","dist_total","dist_total",14,0.952482003642448,0.599863364061817,"Shapiro-Wilk run."
"BT2","0","1h","dist_total","dist_total",16,0.948687551572747,0.469185418107266,"Shapiro-Wilk run."
"BT3","0","1h","dist_total","dist_total",0,NA,NA,"n < 3; Shapiro-Wilk not run."
"BT1","0.5","1h","dist_total","dist_total",16,0.768305196666369,0.00106486780674982,"Shapiro-Wilk run."
"BT2","0.5","1h","dist_total","dist_total",16,0.885019413963086,0.0464924466751837,"Shapiro-Wilk run."
"BT3","0.5","1h","dist_total","dist_total",0,NA,NA,"n < 3; Shapiro-Wilk not run."
"BT1","1","1h","dist_total","dist_total",16,0.942919416480457,0.386324820851592,"Shapiro-Wilk run."
"BT2","1","1h","dist_total","dist_total",16,0.919033636019288,0.162746429464819,"Shapiro-Wilk run."
"BT3","1","1h","dist_total","dist_total",0,NA,NA,"n < 3; Shapiro-Wilk not run."
"BT1","0","24h","dist_total","dist_total",15,0.928985450009276,0.263499078132077,"Shapiro-Wilk run."
"BT2","0","24h","dist_total","dist_total",16,0.902087345744592,0.0868046094095367,"Shapiro-Wilk run."
"BT3","0","24h","dist_total","dist_total",0,NA,NA,"n < 3; Shapiro-Wilk not run."
"BT1","0.5","24h","dist_total","dist_total",15,0.966145531080663,0.797454214539633,"Shapiro-Wilk run."
"BT2","0.5","24h","dist_total","dist_total",15,0.929296841041834,0.266345437541563,"Shapiro-Wilk run."
"BT3","0.5","24h","dist_total","dist_total",0,NA,NA,"n < 3; Shapiro-Wilk not run."
"BT1","1","24h","dist_total","dist_total",14,0.952616325386631,0.602015101451753,"Shapiro-Wilk run."
"BT2","1","24h","dist_total","dist_total",12,0.871953950307362,0.0691911368422704,"Shapiro-Wilk run."
"BT3","1","24h","dist_total","dist_total",0,NA,NA,"n < 3; Shapiro-Wilk not run."
"BT1","0","96h","dist_total","dist_total",16,0.874928862871887,0.03237808158401,"Shapiro-Wilk run."
"BT2","0","96h","dist_total","dist_total",16,0.916467552975612,0.147963999862754,"Shapiro-Wilk run."
"BT3","0","96h","dist_total","dist_total",0,NA,NA,"n < 3; Shapiro-Wilk not run."
"BT1","0.5","96h","dist_total","dist_total",16,0.985247076087102,0.991768545195956,"Shapiro-Wilk run."
"BT2","0.5","96h","dist_total","dist_total",16,0.973727468347778,0.894765304329529,"Shapiro-Wilk run."
"BT3","0.5","96h","dist_total","dist_total",0,NA,NA,"n < 3; Shapiro-Wilk not run."
"BT1","1","96h","dist_total","dist_total",14,0.922576369838734,0.239440905948213,"Shapiro-Wilk run."
"BT2","1","96h","dist_total","dist_total",16,0.886446262552534,0.0489565555887703,"Shapiro-Wilk run."
"BT3","1","96h","dist_total","dist_total",0,NA,NA,"n < 3; Shapiro-Wilk not run."
"BT1","0","1h","last_flux","last_flux",14,0.936051268055937,0.370071882832438,"Shapiro-Wilk run."
"BT2","0","1h","last_flux","last_flux",0,NA,NA,"n < 3; Shapiro-Wilk not run."
"BT3","0","1h","last_flux","last_flux",16,0.943228743996415,0.390460914505049,"Shapiro-Wilk run."
"BT1","0.5","1h","last_flux","last_flux",16,0.836136633414563,0.00857408670425316,"Shapiro-Wilk run."
"BT2","0.5","1h","last_flux","last_flux",0,NA,NA,"n < 3; Shapiro-Wilk not run."
"BT3","0.5","1h","last_flux","last_flux",16,0.927144840622149,0.219593539275164,"Shapiro-Wilk run."
"BT1","1","1h","last_flux","last_flux",16,0.759571860974472,0.000830410761805056,"Shapiro-Wilk run."
"BT2","1","1h","last_flux","last_flux",0,NA,NA,"n < 3; Shapiro-Wilk not run."
"BT3","1","1h","last_flux","last_flux",15,0.854978873154155,0.0204417089027819,"Shapiro-Wilk run."
"BT1","0","24h","last_flux","last_flux",15,0.795730040709115,0.0032422440516234,"Shapiro-Wilk run."
"BT2","0","24h","last_flux","last_flux",0,NA,NA,"n < 3; Shapiro-Wilk not run."
"BT3","0","24h","last_flux","last_flux",15,0.979119802691144,0.963140841854321,"Shapiro-Wilk run."
"BT1","0.5","24h","last_flux","last_flux",15,0.638049775187565,5.81896000777689e-05,"Shapiro-Wilk run."
"BT2","0.5","24h","last_flux","last_flux",0,NA,NA,"n < 3; Shapiro-Wilk not run."
