fish_id,treatment,exposure,included_in_pca,exclusion_reason
1BT01hCTR01,0.0,1,True,
1BT01hCTR02,0.0,1,True,
1BT01hCTR03,0.0,1,True,
1BT01hCTR04,0.0,1,True,
1BT01hCTR05,0.0,1,True,
1BT01hCTR06,0.0,1,True,
1BT01hCTR07,0.0,1,True,
1BT01hCTR08,0.0,1,True,
1BT01hCTR09,0.0,1,True,
1BT01hCTR10,0.0,1,True,
1BT01hCTR11,0.0,1,True,
1BT01hCTR12,0.0,1,True,
1BT01hCTR13,0.0,1,True,
1BT01hCTR14,0.0,1,True,
1BT01h00501,0.5,1,True,
1BT01h00502,0.5,1,True,
1BT01h00503,0.5,1,True,
1BT01h00504,0.5,1,True,
1BT01h00505,0.5,1,True,
1BT01h00506,0.5,1,True,
1BT01h00507,0.5,1,True,
1BT01h00508,0.5,1,True,
1BT01h00509,0.5,1,True,
1BT01h00510,0.5,1,True,
1BT01h00511,0.5,1,True,
1BT01h00512,0.5,1,True,
1BT01h00513,0.5,1,True,
1BT01h00514,0.5,1,True,
1BT01h00515,0.5,1,True,
1BT01h00516,0.5,1,False,missing: first_choice_binary
1BT01h01001,1.0,1,True,
1BT01h01002,1.0,1,True,
1BT01h01003,1.0,1,True,
1BT01h01004,1.0,1,True,
1BT01h01005,1.0,1,True,
1BT01h01006,1.0,1,True,
1BT01h01007,1.0,1,True,
1BT01h01008,1.0,1,True,
1BT01h01009,1.0,1,True,
1BT01h01010,1.0,1,True,
1BT01h01011,1.0,1,True,
1BT01h01012,1.0,1,True,
1BT01h01013,1.0,1,True,
1BT01h01014,1.0,1,True,
1BT01h01015,1.0,1,True,
1BT01h01016,1.0,1,True,
1BT24hCTR01,0.0,24,True,
1BT24hCTR02,0.0,24,True,
1BT24hCTR03,0.0,24,True,
1BT24hCTR04,0.0,24,True,
1BT24hCTR05,0.0,24,True,
1BT24hCTR06,0.0,24,True,
1BT24hCTR07,0.0,24,True,
1BT24hCTR08,0.0,24,True,
1BT24hCTR09,0.0,24,True,
1BT24hCTR10,0.0,24,True,
1BT24hCTR11,0.0,24,True,
1BT24hCTR12,0.0,24,True,
1BT24hCTR13,0.0,24,True,
1BT24hCTR14,0.0,24,True,
1BT24hCTR15,0.0,24,True,
1BT24h00501,0.5,24,True,
1BT24h00502,0.5,24,True,
1BT24h00503,0.5,24,True,
1BT24h00504,0.5,24,True,
1BT24h00505,0.5,24,True,
1BT24h00506,0.5,24,True,
1BT24h00507,0.5,24,True,
1BT24h00508,0.5,24,True,
1BT24h00509,0.5,24,True,
1BT24h00510,0.5,24,True,
1BT24h00511,0.5,24,True,
1BT24h00512,0.5,24,True,
1BT24h00514,0.5,24,True,
1BT24h00515,0.5,24,True,
1BT24h00516,0.5,24,True,
1BT24h01001,1.0,24,True,
1BT24h01002,1.0,24,True,
1BT24h01003,1.0,24,True,
1BT24h01004,1.0,24,True,
1BT24h01005,1.0,24,True,
1BT24h01006,1.0,24,True,
1BT24h01007,1.0,24,True,
1BT24h01008,1.0,24,True,
1BT24h01009,1.0,24,True,
1BT24h01010,1.0,24,True,
1BT24h01011,1.0,24,True,
1BT24h01012,1.0,24,True,
1BT24h01013,1.0,24,True,
1BT24h01014,1.0,24,True,
1BT96hCTR01,0.0,96,True,
1BT96hCTR02,0.0,96,True,
1BT96hCTR03,0.0,96,True,
1BT96hCTR04,0.0,96,True,
1BT96hCTR05,0.0,96,True,
1BT96hCTR06,0.0,96,True,
1BT96hCTR07,0.0,96,True,
1BT96hCTR08,0.0,96,True,
1BT96hCTR09,0.0,96,True,
1BT96hCTR10,0.0,96,True,
1BT96hCTR11,0.0,96,True,
1BT96hCTR12,0.0,96,True,
1BT96hCTR13,0.0,96,True,
1BT96hCTR14,0.0,96,True,
1BT96hCTR15,0.0,96,True,
1BT96hCTR16,0.0,96,True,
1BT96h00501,0.5,96,True,
1BT96h00502,0.5,96,True,
1BT96h00503,0.5,96,True,
1BT96h00504,0.5,96,True,
1BT96h00505,0.5,96,True,
1BT96h00506,0.5,96,True,
1BT96h00507,0.5,96,True,
1BT96h00508,0.5,96,True,
1BT96h00509,0.5,96,True,
1BT96h00510,0.5,96,True,
1BT96h00511,0.5,96,True,
1BT96h00512,0.5,96,True,
1BT96h00513,0.5,96,True,
1BT96h00514,0.5,96,True,
1BT96h00515,0.5,96,True,
1BT96h00516,0.5,96,True,
1BT96h01001,1.0,96,True,
1BT96h01002,1.0,96,True,
1BT96h01003,1.0,96,True,
1BT96h01004,1.0,96,True,
1BT96h01005,1.0,96,True,
1BT96h01006,1.0,96,True,
1BT96h01007,1.0,96,True,
1BT96h01008,1.0,96,True,
1BT96h01009,1.0,96,True,
1BT96h01010,1.0,96,True,
1BT96h01011,1.0,96,True,
1BT96h01012,1.0,96,True,
1BT96h01013,1.0,96,True,
1BT96h01014,1.0,96,True,
