endpoint,mean,sd,nonmissing_full_bt1,domain,short_label
time_bright,203.94074074074075,134.56218464620974,136,LDT,Time bright
mtpc,33.70940964639118,91.66147969074991,136,LDT,MTPC
first_choice_binary,0.674074074074074,0.4704654670282548,135,LDT,First choice
latency,23.785185185185185,71.5116507765959,136,LDT,Latency
num_changes,22.31851851851852,16.531133834330152,136,LDT,Zone transitions
dist_total,4864.062444444444,1984.5885083091248,136,NTT,Distance
vel_mean,12.233069603356395,4.232609098727393,136,NTT,Velocity
mov_total,383.2814814814815,105.75645436369298,136,NTT,Movement time
stratum_pref,35.87341880039762,22.709639327236975,136,NTT,Upper stratum
resistance_index,27.978395061728392,17.12709866261593,136,RN,Resistance index
last_flux,7.0,2.698811236369124,136,RN,Last flux
attempts,1.2962962962962963,0.8018083486540002,136,RN,Attempts
time_in_last_flux,28.748148148148147,16.874301983802912,136,RN,Time in last flux
condition_factor,1.5990900827817596,0.25926819890209846,136,Phys.,Condition K
