label,source_notebook,required,status,path,size_bytes,modified_time,md5,candidates_checked,audit_status
BT1 audited dataset,01_data_audit_and_qc.Rmd,TRUE,present,C:/Users/caiqu/OneDrive/Documents/Masters/zebrafish_testbattery_repo_ClaudeCopy/data_processed/bt1_audited.csv,72465,2026-06-27 12:42:25.119198,8b10ebab3b98cace748c787ff9a61db1,C:/Users/caiqu/OneDrive/Documents/Masters/zebrafish_testbattery_repo_ClaudeCopy/data_processed/bt1_audited.csv | C:/Users/caiqu/OneDrive/Documents/Masters/zebrafish_testbattery_repo_ClaudeCopy/data_processed/BT1_audited.csv | C:/Users/caiqu/OneDrive/Documents/Masters/zebrafish_testbattery_repo_ClaudeCopy/data_processed/battery_suite_1_audited.csv,pass
BT2 audited dataset,01_data_audit_and_qc.Rmd,TRUE,present,C:/Users/caiqu/OneDrive/Documents/Masters/zebrafish_testbattery_repo_ClaudeCopy/data_processed/bt2_audited.csv,72455,2026-06-27 12:42:25.137196,8aa578595a91b764eea5a0f930bb4715,C:/Users/caiqu/OneDrive/Documents/Masters/zebrafish_testbattery_repo_ClaudeCopy/data_processed/bt2_audited.csv | C:/Users/caiqu/OneDrive/Documents/Masters/zebrafish_testbattery_repo_ClaudeCopy/data_processed/BT2_audited.csv | C:/Users/caiqu/OneDrive/Documents/Masters/zebrafish_testbattery_repo_ClaudeCopy/data_processed/battery_suite_2_audited.csv,pass
BT3 audited dataset,01_data_audit_and_qc.Rmd,TRUE,present,C:/Users/caiqu/OneDrive/Documents/Masters/zebrafish_testbattery_repo_ClaudeCopy/data_processed/bt3_audited.csv,50196,2026-06-27 12:42:25.15019,f072b26d95cef7be7a9c87d96114208d,C:/Users/caiqu/OneDrive/Documents/Masters/zebrafish_testbattery_repo_ClaudeCopy/data_processed/bt3_audited.csv | C:/Users/caiqu/OneDrive/Documents/Masters/zebrafish_testbattery_repo_ClaudeCopy/data_processed/BT3_audited.csv | C:/Users/caiqu/OneDrive/Documents/Masters/zebrafish_testbattery_repo_ClaudeCopy/data_processed/battery_suite_3_audited.csv,pass
Endpoint registry,02_endpoint_hierarchy_and_assumptions.Rmd,TRUE,present,C:/Users/caiqu/OneDrive/Documents/Masters/zebrafish_testbattery_repo_ClaudeCopy/outputs/logs/02_endpoint_registry.csv,6164,2026-06-27 12:43:21.758425,5ed6a255f73f26d8bda671d75a31e7cf,C:/Users/caiqu/OneDrive/Documents/Masters/zebrafish_testbattery_repo_ClaudeCopy/outputs/tables/02_endpoint_registry.csv | C:/Users/caiqu/OneDrive/Documents/Masters/zebrafish_testbattery_repo_ClaudeCopy/outputs/tables/00_endpoint_registry.csv | C:/Users/caiqu/OneDrive/Documents/Masters/zebrafish_testbattery_repo_ClaudeCopy/outputs/logs/02_endpoint_registry.csv | C:/Users/caiqu/OneDrive/Documents/Masters/zebrafish_testbattery_repo_ClaudeCopy/outputs/logs/00_endpoint_registry.csv,pass
Model readiness,02_endpoint_hierarchy_and_assumptions.Rmd,TRUE,missing_required,NA,NA,NA,NA,C:/Users/caiqu/OneDrive/Documents/Masters/zebrafish_testbattery_repo_ClaudeCopy/outputs/tables/02_model_readiness.csv | C:/Users/caiqu/OneDrive/Documents/Masters/zebrafish_testbattery_repo_ClaudeCopy/outputs/tables/02_model_decision_matrix.csv | C:/Users/caiqu/OneDrive/Documents/Masters/zebrafish_testbattery_repo_ClaudeCopy/outputs/logs/02_model_readiness.csv,fail
Endpoint-level ethanol model results,03_ethanol_factorial_models.Rmd,TRUE,present,C:/Users/caiqu/OneDrive/Documents/Masters/zebrafish_testbattery_repo_ClaudeCopy/outputs/tables/03_ethanol_factorial_results.csv,17310,2026-06-27 12:45:05.825268,5de6791d19561ccb357d0870994b1d9f,C:/Users/caiqu/OneDrive/Documents/Masters/zebrafish_testbattery_repo_ClaudeCopy/outputs/tables/03_ethanol_factorial_results.csv | C:/Users/caiqu/OneDrive/Documents/Masters/zebrafish_testbattery_repo_ClaudeCopy/outputs/tables/03_factorial_results.csv | C:/Users/caiqu/OneDrive/Documents/Masters/zebrafish_testbattery_repo_ClaudeCopy/outputs/tables/03_model_results.csv | C:/Users/caiqu/OneDrive/Documents/Masters/zebrafish_testbattery_repo_ClaudeCopy/outputs/tables/03_endpoint_model_results.csv,pass
Battery-context summary,04_battery_effect_analysis.Rmd,TRUE,present,C:/Users/caiqu/OneDrive/Documents/Masters/zebrafish_testbattery_repo_ClaudeCopy/outputs/tables/04_battery_method_summary.csv,65936,2026-06-27 12:49:50.153547,dc9142124c42c2b488c7b2dd54891042,C:/Users/caiqu/OneDrive/Documents/Masters/zebrafish_testbattery_repo_ClaudeCopy/outputs/tables/04_battery_context_summary.csv | C:/Users/caiqu/OneDrive/Documents/Masters/zebrafish_testbattery_repo_ClaudeCopy/outputs/tables/04_battery_method_summary.csv | C:/Users/caiqu/OneDrive/Documents/Masters/zebrafish_testbattery_repo_ClaudeCopy/outputs/tables/04_battery_comparison_summary.csv | C:/Users/caiqu/OneDrive/Documents/Masters/zebrafish_testbattery_repo_ClaudeCopy/outputs/tables/04_battery_results.csv,pass
PCA variance explained,05_multivariate_pca_structure.Rmd,TRUE,present,C:/Users/caiqu/OneDrive/Documents/Masters/zebrafish_testbattery_repo_ClaudeCopy/outputs/tables/06_pca_variance_explained.csv,861,2026-06-27 12:51:07.267313,0913de2e7c314a7903bed6b4dc4f4a50,C:/Users/caiqu/OneDrive/Documents/Masters/zebrafish_testbattery_repo_ClaudeCopy/outputs/tables/05_pca_variance_explained.csv | C:/Users/caiqu/OneDrive/Documents/Masters/zebrafish_testbattery_repo_ClaudeCopy/outputs/tables/05_pca_eigenvalues.csv | C:/Users/caiqu/OneDrive/Documents/Masters/zebrafish_testbattery_repo_ClaudeCopy/outputs/tables/06_pca_variance_explained.csv,pass
PCA loadings,05_multivariate_pca_structure.Rmd,TRUE,present,C:/Users/caiqu/OneDrive/Documents/Masters/zebrafish_testbattery_repo_ClaudeCopy/outputs/tables/06_pca_loadings_reconstructed.csv,14255,2026-06-27 12:51:07.312473,b28ecb817490b75323d3be38f903a02e,C:/Users/caiqu/OneDrive/Documents/Masters/zebrafish_testbattery_repo_ClaudeCopy/outputs/tables/05_pca_loadings.csv | C:/Users/caiqu/OneDrive/Documents/Masters/zebrafish_testbattery_repo_ClaudeCopy/outputs/tables/05_pca_variable_loadings.csv | C:/Users/caiqu/OneDrive/Documents/Masters/zebrafish_testbattery_repo_ClaudeCopy/outputs/tables/06_pca_loadings_reconstructed.csv,pass
PCA scores,05_multivariate_pca_structure.Rmd,TRUE,present,C:/Users/caiqu/OneDrive/Documents/Masters/zebrafish_testbattery_repo_ClaudeCopy/outputs/tables/06_pca_scores_reconstructed.csv,30706,2026-06-27 12:51:07.349871,040bf2b1dbe4c8e32da2bb76e2dc4ca8,C:/Users/caiqu/OneDrive/Documents/Masters/zebrafish_testbattery_repo_ClaudeCopy/outputs/tables/05_pca_scores.csv | C:/Users/caiqu/OneDrive/Documents/Masters/zebrafish_testbattery_repo_ClaudeCopy/outputs/tables/05_pca_individual_scores.csv | C:/Users/caiqu/OneDrive/Documents/Masters/zebrafish_testbattery_repo_ClaudeCopy/outputs/tables/06_pca_scores_reconstructed.csv,pass
