full_path,relative_path,folder,filename,extension,size_bytes,modified_time,md5,file_class
C:/Users/caiqu/OneDrive/Documents/Masters/zebrafish_testbattery_repo_ClaudeCopy/R/00_project_setup.Rmd,R/00_project_setup.Rmd,R,00_project_setup.Rmd,rmd,21215,2026-05-05 14:48:52.486483,b4935c71390205c120084672d39bbb60,code_or_notebook
C:/Users/caiqu/OneDrive/Documents/Masters/zebrafish_testbattery_repo_ClaudeCopy/R/00_project_setup.html,R/00_project_setup.html,R,00_project_setup.html,html,716880,2026-06-27 12:42:09.293318,3143f1f32559ebc712e1e89c99e60c96,other
C:/Users/caiqu/OneDrive/Documents/Masters/zebrafish_testbattery_repo_ClaudeCopy/R/01_data_audit_and_qc.Rmd,R/01_data_audit_and_qc.Rmd,R,01_data_audit_and_qc.Rmd,rmd,37106,2026-05-05 14:55:23.234058,b2991d0cfa9d74f33b91f1fb110a6fac,code_or_notebook
C:/Users/caiqu/OneDrive/Documents/Masters/zebrafish_testbattery_repo_ClaudeCopy/R/01_data_audit_and_qc.html,R/01_data_audit_and_qc.html,R,01_data_audit_and_qc.html,html,882475,2026-06-27 12:42:25.832207,627beed5ca658cb68b000df7b245c24c,other
C:/Users/caiqu/OneDrive/Documents/Masters/zebrafish_testbattery_repo_ClaudeCopy/R/02_endpoint_hierarchy_and_assumptions.Rmd,R/02_endpoint_hierarchy_and_assumptions.Rmd,R,02_endpoint_hierarchy_and_assumptions.Rmd,rmd,42012,2026-05-05 15:00:45.606756,0c2512f7db9a21b27207063397c69659,code_or_notebook
C:/Users/caiqu/OneDrive/Documents/Masters/zebrafish_testbattery_repo_ClaudeCopy/R/02_endpoint_hierarchy_and_assumptions.html,R/02_endpoint_hierarchy_and_assumptions.html,R,02_endpoint_hierarchy_and_assumptions.html,html,1433053,2026-06-27 12:43:27.071308,6bcc9c91e0dba11c4951a3476830828b,other
C:/Users/caiqu/OneDrive/Documents/Masters/zebrafish_testbattery_repo_ClaudeCopy/R/03_ethanol_factorial_models.Rmd,R/03_ethanol_factorial_models.Rmd,R,03_ethanol_factorial_models.Rmd,rmd,32105,2026-05-05 18:23:48.466661,5eb42efa408dc98cb1d3c6b6d38d9d33,code_or_notebook
C:/Users/caiqu/OneDrive/Documents/Masters/zebrafish_testbattery_repo_ClaudeCopy/R/03_ethanol_factorial_models.html,R/03_ethanol_factorial_models.html,R,03_ethanol_factorial_models.html,html,779317,2026-06-27 12:43:54.709526,35c952911eb9a7d2ee7e8fc4e6ca44a0,other
C:/Users/caiqu/OneDrive/Documents/Masters/zebrafish_testbattery_repo_ClaudeCopy/R/03_patch_lastflux_polr.R,R/03_patch_lastflux_polr.R,R,03_patch_lastflux_polr.R,r,9705,2026-06-27 10:59:11.220743,972036d898f36fd097a3e225ce16eef3,code_or_notebook
C:/Users/caiqu/OneDrive/Documents/Masters/zebrafish_testbattery_repo_ClaudeCopy/R/03_patch_posthoc_contrasts.R,R/03_patch_posthoc_contrasts.R,R,03_patch_posthoc_contrasts.R,r,11887,2026-06-27 11:12:32.332541,27d0aa3152b5aa34cd83fb7a0f7ee0a9,code_or_notebook
