"battery","treatment","exposure","variable","resolved_variable","n_total","n_nonmissing","n_missing","mean","sd","median","iqr","min","max"
"BT1","0","1h","attempts","attempts",14,14,0,1.35714285714286,0.633323693776651,1,0.75,1,3
"BT2","0","1h","attempts","attempts",16,0,16,NA,NA,NA,NA,NA,NA
"BT3","0","1h","attempts","attempts",16,16,0,1.25,0.577350269189626,1,0,1,3
"BT1","0.5","1h","attempts","attempts",16,16,0,1.0625,0.25,1,0,1,2
"BT2","0.5","1h","attempts","attempts",16,0,16,NA,NA,NA,NA,NA,NA
"BT3","0.5","1h","attempts","attempts",16,16,0,1.375,0.61913918736689,1,1,1,3
"BT1","1","1h","attempts","attempts",16,16,0,1.3125,1.01447851956888,1,0,1,5
"BT2","1","1h","attempts","attempts",16,0,16,NA,NA,NA,NA,NA,NA
"BT3","1","1h","attempts","attempts",15,15,0,3.2,1.61245154965971,3,3,1,5
"BT1","0","24h","attempts","attempts",15,15,0,1.26666666666667,1.03279555898864,1,0,1,5
"BT2","0","24h","attempts","attempts",16,0,16,NA,NA,NA,NA,NA,NA
"BT3","0","24h","attempts","attempts",15,15,0,1.4,1.0555973258235,1,0,1,5
"BT1","0.5","24h","attempts","attempts",15,15,0,1,0,1,0,1,1
"BT2","0.5","24h","attempts","attempts",15,0,15,NA,NA,NA,NA,NA,NA
"BT3","0.5","24h","attempts","attempts",14,14,0,1.64285714285714,1.44686094473747,1,0,1,5
"BT1","1","24h","attempts","attempts",14,14,0,1.64285714285714,1.15072838853303,1,1,1,5
"BT2","1","24h","attempts","attempts",12,0,12,NA,NA,NA,NA,NA,NA
"BT3","1","24h","attempts","attempts",12,12,0,2.58333333333333,1.37895436890245,2,2.25,1,5
"BT1","0","96h","attempts","attempts",16,16,0,1,0,1,0,1,1
"BT2","0","96h","attempts","attempts",16,0,16,NA,NA,NA,NA,NA,NA
"BT3","0","96h","attempts","attempts",16,16,0,1.0625,0.25,1,0,1,2
"BT1","0.5","96h","attempts","attempts",16,16,0,1.375,1.02469507659596,1,0,1,5
"BT2","0.5","96h","attempts","attempts",16,0,16,NA,NA,NA,NA,NA,NA
"BT3","0.5","96h","attempts","attempts",16,16,0,2.5,1.4142135623731,2,1.25,1,5
"BT1","1","96h","attempts","attempts",14,14,0,1.71428571428571,0.825420305855557,1.5,1,1,3
"BT2","1","96h","attempts","attempts",16,0,16,NA,NA,NA,NA,NA,NA
"BT3","1","96h","attempts","attempts",15,15,0,2,1.4638501094228,1,2,1,5
"BT1","0","1h","blood_sugar","blood_sugar",14,11,3,164.363636363636,42.9005191746504,165,69,95,223
"BT2","0","1h","blood_sugar","blood_sugar",16,4,12,186.25,62.8297965406011,191.5,52.25,105,257
"BT3","0","1h","blood_sugar","blood_sugar",16,8,8,188,114.809158420149,147,64.75,43,396
"BT1","0.5","1h","blood_sugar","blood_sugar",16,14,2,168.642857142857,82.0061978359958,143.5,83.5,73,372
"BT2","0.5","1h","blood_sugar","blood_sugar",16,1,15,158,NA,158,0,158,158
"BT3","0.5","1h","blood_sugar","blood_sugar",16,7,9,290.142857142857,117.913002635317,322,120.5,102,432
"BT1","1","1h","blood_sugar","blood_sugar",16,16,0,194.3125,64.6051791009565,186,94.75,93,317
"BT2","1","1h","blood_sugar","blood_sugar",16,4,12,307.25,79.7093679145264,315.5,91.75,207,391
"BT3","1","1h","blood_sugar","blood_sugar",15,12,3,133.416666666667,69.1631251375173,123,66.75,38,287
"BT1","0","24h","blood_sugar","blood_sugar",15,12,3,135.833333333333,53.4208562154135,118,64.5,72,240
"BT2","0","24h","blood_sugar","blood_sugar",16,2,14,79,7.07106781186548,79,5,74,84
"BT3","0","24h","blood_sugar","blood_sugar",15,7,8,229,110.700797949548,159,165,136,392
"BT1","0.5","24h","blood_sugar","blood_sugar",15,15,0,118.733333333333,36.3091225582825,113,54,61,180
"BT2","0.5","24h","blood_sugar","blood_sugar",15,4,11,93.5,29.1376045686669,90,38.5,65,129
"BT3","0.5","24h","blood_sugar","blood_sugar",14,10,4,166.8,90.5683290241253,118,90,104,358
"BT1","1","24h","blood_sugar","blood_sugar",14,12,2,211.083333333333,80.0357401225833,198,67.75,115,405
"BT2","1","24h","blood_sugar","blood_sugar",12,9,3,133.777777777778,73.2474876323034,103,120,60,266
"BT3","1","24h","blood_sugar","blood_sugar",12,10,2,98.6,39.1640424652796,86,36,42,183
"BT1","0","96h","blood_sugar","blood_sugar",16,8,8,230.375,128.635628812549,182,240.5,90,399
"BT2","0","96h","blood_sugar","blood_sugar",16,4,12,161.75,58.6650094462903,170,55.75,84,223
"BT3","0","96h","blood_sugar","blood_sugar",16,7,9,126.571428571429,38.091368851124,116,53.5,89,180
"BT1","0.5","96h","blood_sugar","blood_sugar",16,11,5,278.454545454545,117.153201950577,317,188,96,431
"BT2","0.5","96h","blood_sugar","blood_sugar",16,6,10,165.666666666667,89.7299652661622,165.5,125.5,36,264
"BT3","0.5","96h","blood_sugar","blood_sugar",16,5,11,89.4,32.3310995791977,74,47,53,127
"BT1","1","96h","blood_sugar","blood_sugar",14,12,2,158.166666666667,58.7859496715659,155.5,84.5,74,256
"BT2","1","96h","blood_sugar","blood_sugar",16,3,13,185.666666666667,152.109609602199,107,136,89,361
"BT3","1","96h","blood_sugar","blood_sugar",15,7,8,79.7142857142857,30.6850359063083,71,40,37,122
"BT1","0","1h","condition_factor_K","Kc",14,14,0,1.64614953135735,0.183425082814123,1.65832195417994,0.11160986993777,1.24669244860574,2.048
"BT2","0","1h","condition_factor_K","Kc",16,15,1,1.78301844504459,0.298520613606481,1.78437265214125,0.272572612644725,1.30208333333333,2.25394440270473
"BT3","0","1h","condition_factor_K","Kc",16,16,0,1.49409892720869,0.136850542548176,1.4896775816106,0.14859604735051,1.27555301936827,1.728
"BT1","0.5","1h","condition_factor_K","Kc",16,16,0,1.73906485043374,0.213887272948021,1.74311717309602,0.27637884153759,1.35306900651933,2.18518518518519
"BT2","0.5","1h","condition_factor_K","Kc",16,16,0,2.01266854889134,0.206421101603277,1.99135184342285,0.240642955902003,1.69045830202855,2.37555339596156
"BT3","0.5","1h","condition_factor_K","Kc",16,16,0,1.91429470169031,0.569719427781374,1.7775449587929,0.427150894346645,1.152,3.29995448338644
"BT1","1","1h","condition_factor_K","Kc",16,16,0,1.76273351821202,0.327391038290077,1.77000346567582,0.425479615073888,1.27106482430604,2.34970293041523
"BT2","1","1h","condition_factor_K","Kc",16,16,0,2.06674649223129,0.296457085570293,1.98846093756927,0.433658737415237,1.57496316618402,2.48353309577799
"BT3","1","1h","condition_factor_K","Kc",15,15,0,1.60503693018594,0.260579639767063,1.4792899408284,0.323708714905435,1.28,2.14814814814815
"BT1","0","24h","condition_factor_K","Kc",15,15,0,1.5373859429623,0.316673818683637,1.50327988338192,0.43985363490327,0.816326530612245,1.98140527358634
"BT2","0","24h","condition_factor_K","Kc",16,16,0,1.77048072984681,0.291476791312884,1.73608481959399,0.35547713996335,1.30208333333333,2.37555339596156
"BT3","0","24h","condition_factor_K","Kc",15,15,0,1.67452182668841,0.348646514177191,1.64997724169322,0.51222975730946,1.24669244860574,2.44651797906236
"BT1","0.5","24h","condition_factor_K","Kc",15,15,0,1.61115661550633,0.200363939046457,1.57496316618402,0.120200111633185,1.27551020408163,2.11111111111111
"BT2","0.5","24h","condition_factor_K","Kc",15,15,0,2.22687605527004,1.02896639775835,1.953125,0.3983740721229,1.59654395191585,5.83090379008746
"BT3","0.5","24h","condition_factor_K","Kc",14,14,0,1.47994811849642,0.375537499369072,1.38192003485987,0.319399597936585,1.01273148148148,2.38962221210742
"BT1","1","24h","condition_factor_K","Kc",14,14,0,1.48286272794005,0.20141126117158,1.56160105202597,0.345180898772942,1.15740740740741,1.73611111111111
"BT2","1","24h","condition_factor_K","Kc",12,12,0,1.55788326925167,0.296852480755901,1.58424788010587,0.296893681882665,0.964506172839506,1.95881924198251
"BT3","1","24h","condition_factor_K","Kc",12,12,0,1.53830137007259,0.444046976102155,1.59719387755102,0.289186404511512,0.578703703703704,2.34970293041523
"BT1","0","96h","condition_factor_K","Kc",16,16,0,1.62898175180451,0.308529207655831,1.60860180739725,0.28086481565772,0.851851851851852,2.13692775540396
"BT2","0","96h","condition_factor_K","Kc",16,16,0,1.81134223105484,0.343441621598345,1.70906674954575,0.46692999940658,1.30208333333333,2.59151279559443
"BT3","0","96h","condition_factor_K","Kc",16,16,0,1.44732146821723,0.307601513142173,1.4100860058309,0.231055555555555,1.024,2.13382106386222
"BT1","0.5","96h","condition_factor_K","Kc",16,16,0,1.47529956781819,0.235200046522673,1.4756449704142,0.19839700115123,1.02412380518889,1.97220135236664
"BT2","0.5","96h","condition_factor_K","Kc",16,16,0,1.69147681564173,0.239616818260042,1.61997084548105,0.21263683729361,1.408,2.15959399632869
"BT3","0.5","96h","condition_factor_K","Kc",16,16,0,1.2013770890086,0.311363104296395,1.27551020408163,0.31622900948788,0.625853436504324,1.92
"BT1","1","96h","condition_factor_K","Kc",14,14,0,1.50487025556601,0.131451582904157,1.51880787037037,0.125925024127522,1.216,1.728
"BT2","1","96h","condition_factor_K","Kc",16,15,1,1.94034598797719,0.276247260055877,1.89532001749526,0.433230248618595,1.50262960180316,2.37555339596156
"BT3","1","96h","condition_factor_K","Kc",15,15,0,1.41561108495596,0.27549946087189,1.41217201166181,0.366835259508255,0.910332271279017,1.93060001016105
"BT1","0","1h","dist_total","dist_total",14,14,0,3773.70714285714,2328.10197782997,4258.3,3413.4,253.7,8176
"BT2","0","1h","dist_total","dist_total",16,16,0,6118.125,1681.52642262915,6544.25,2410.725,2356.4,8561.3
"BT3","0","1h","dist_total","dist_total",16,0,16,NA,NA,NA,NA,NA,NA
"BT1","0.5","1h","dist_total","dist_total",16,16,0,4061.38125,2152.80636014753,4972.75,1777.8,0,6117.9
"BT2","0.5","1h","dist_total","dist_total",16,16,0,4511.991875,2068.62685576437,4959.3,1929.275,405,6926.6
"BT3","0.5","1h","dist_total","dist_total",16,0,16,NA,NA,NA,NA,NA,NA
"BT1","1","1h","dist_total","dist_total",16,16,0,6357.4275,2904.97840393005,6668.3,2993.875,0,11405.4
"BT2","1","1h","dist_total","dist_total",16,16,0,4642.928125,3446.93957149666,4372.5,5536.6925,225.27,12738.3
"BT3","1","1h","dist_total","dist_total",15,0,15,NA,NA,NA,NA,NA,NA
"BT1","0","24h","dist_total","dist_total",15,15,0,5188.11533333333,2167.14685351457,5016.52,2312.675,1207.55,10820.03
"BT2","0","24h","dist_total","dist_total",16,16,0,5525.43875,1736.21087858157,5413.68,2207.4325,896.96,7919.3
"BT3","0","24h","dist_total","dist_total",15,0,15,NA,NA,NA,NA,NA,NA
"BT1","0.5","24h","dist_total","dist_total",15,15,0,5159.77133333333,1238.34378625454,5086.58,1622.145,3307.47,7710.11
"BT2","0.5","24h","dist_total","dist_total",15,15,0,3944.4,1525.48979488088,4085,1838,0,6376
"BT3","0.5","24h","dist_total","dist_total",14,0,14,NA,NA,NA,NA,NA,NA
"BT1","1","24h","dist_total","dist_total",14,14,0,4625.03214285714,1165.21315036004,4422.98,1839.1375,2761.66,6566.12
