"endpoint","domain","source_test","dataset","treatment","exposure","art_component","emmean","SE","df","lower.CL","upper.CL",".group","patch_date"
"time_bright","LDT phototaxis","LDT","BT1","0","1h","treatment",46.0714285714285,9.71130094932399,127,26.8545165455279,65.2883405973291,"a","2026-06-30"
"time_bright","LDT phototaxis","LDT","BT1","0.5","1h","treatment",66.4375,9.08409023305572,127,48.4617247918261,84.413275208174,"ab","2026-06-30"
"time_bright","LDT phototaxis","LDT","BT1","1","1h","treatment",88.875,9.08409023305572,127,70.8992247918261,106.850775208174,"b","2026-06-30"
"time_bright","LDT phototaxis","LDT","BT1","0","24h","treatment",46.8,9.38200805015207,127,28.2346991956198,65.3653008043802,"a","2026-06-30"
"time_bright","LDT phototaxis","LDT","BT1","0.5","24h","treatment",69.1333333333333,9.38200805015208,127,50.5680325289531,87.6986341377136,"ab","2026-06-30"
"time_bright","LDT phototaxis","LDT","BT1","1","24h","treatment",91,9.71130094932399,127,71.7830879740994,110.216912025901,"b","2026-06-30"
"time_bright","LDT phototaxis","LDT","BT1","0","96h","treatment",47.1875,9.08409023305572,127,29.211724791826,65.1632752081739,"a","2026-06-30"
"time_bright","LDT phototaxis","LDT","BT1","0.5","96h","treatment",72.3125,9.08409023305573,127,54.3367247918261,90.288275208174,"ab","2026-06-30"
"time_bright","LDT phototaxis","LDT","BT1","1","96h","treatment",90.0714285714286,9.71130094932399,127,70.854516545528,109.288340597329,"b","2026-06-30"
"mtpc","LDT transition behavior","LDT","BT1","0","1h","treatment:exposure",115.928571428571,7.46617844941384,127,101.154351663294,130.702791193849,"a","2026-06-30"
"mtpc","LDT transition behavior","LDT","BT1","0.5","1h","treatment:exposure",88.625,6.98397043655542,127,74.804982870357,102.445017129643,"b","2026-06-30"
"mtpc","LDT transition behavior","LDT","BT1","1","1h","treatment:exposure",57.4375,6.98397043655542,127,43.617482870357,71.257517129643,"c","2026-06-30"
"mtpc","LDT transition behavior","LDT","BT1","0","24h","treatment:exposure",100.666666666667,7.21301365098242,127,86.3934143500244,114.939918983309,"a","2026-06-30"
"mtpc","LDT transition behavior","LDT","BT1","0.5","24h","treatment:exposure",87.8666666666667,7.21301365098243,127,73.5934143500244,102.139918983309,"a","2026-06-30"
"mtpc","LDT transition behavior","LDT","BT1","1","24h","treatment:exposure",41.5714285714286,7.46617844941384,127,26.7972088061511,56.345648336706,"b","2026-06-30"
"mtpc","LDT transition behavior","LDT","BT1","0","96h","treatment:exposure",52.6875,6.98397043655542,127,38.867482870357,66.507517129643,"a","2026-06-30"
"mtpc","LDT transition behavior","LDT","BT1","0.5","96h","treatment:exposure",24.625,6.98397043655543,127,10.804982870357,38.445017129643,"b","2026-06-30"
"mtpc","LDT transition behavior","LDT","BT1","1","96h","treatment:exposure",50.6428571428571,7.46617844941384,127,35.8686373775796,65.4170769081346,"a","2026-06-30"
"dist_total","NTT locomotion","NTT","BT1","0","1h","treatment:exposure",54.2142857142858,9.93537987162692,127,34.553961939617,73.8746094889545,"a","2026-06-30"
"dist_total","NTT locomotion","NTT","BT1","0.5","1h","treatment:exposure",63.6875,9.2936968717695,127,45.2969510805358,82.0780489194642,"a","2026-06-30"
"dist_total","NTT locomotion","NTT","BT1","1","1h","treatment:exposure",94.625,9.2936968717695,127,76.2344510805359,113.015548919464,"b","2026-06-30"
"dist_total","NTT locomotion","NTT","BT1","0","24h","treatment:exposure",71.4666666666667,9.59848885575019,127,52.4729894152807,90.4603439180526,"a","2026-06-30"
"dist_total","NTT locomotion","NTT","BT1","0.5","24h","treatment:exposure",73.0666666666667,9.5984888557502,127,54.0729894152807,92.0603439180527,"a","2026-06-30"
"dist_total","NTT locomotion","NTT","BT1","1","24h","treatment:exposure",51.6428571428572,9.93537987162692,127,31.9825333681884,71.3031809175259,"a","2026-06-30"
"dist_total","NTT locomotion","NTT","BT1","0","96h","treatment:exposure",84,9.2936968717695,127,65.6094510805358,102.390548919464,"a","2026-06-30"
"dist_total","NTT locomotion","NTT","BT1","0.5","96h","treatment:exposure",76.125,9.2936968717695,127,57.7344510805359,94.5155489194642,"a","2026-06-30"
"dist_total","NTT locomotion","NTT","BT1","1","96h","treatment:exposure",40.7857142857143,9.93537987162692,127,21.1253905110455,60.446038060383,"b","2026-06-30"
"mov_total","NTT locomotion","NTT","BT1","0","1h","treatment:exposure",89.8571428571428,9.36379142306502,127,71.3278894702989,108.386396243987,"a","2026-06-30"
"mov_total","NTT locomotion","NTT","BT1","0.5","1h","treatment:exposure",76.3124999999999,8.75902483658042,127,58.9799705484272,93.6450294515726,"a","2026-06-30"
"mov_total","NTT locomotion","NTT","BT1","1","1h","treatment:exposure",104.9375,8.75902483658042,127,87.6049705484272,122.270029451573,"a","2026-06-30"
"mov_total","NTT locomotion","NTT","BT1","0","24h","treatment:exposure",70.5333333333332,9.04628195229149,127,52.6323738897091,88.4342927769574,"a","2026-06-30"
"mov_total","NTT locomotion","NTT","BT1","0.5","24h","treatment:exposure",61.2,9.0462819522915,127,43.2990405563758,79.1009594436242,"a","2026-06-30"
