"endpoint","resolved_variable","domain","source_test","data_type","model_family","dataset","term","effect_scale","estimate","ci_low_approx","ci_high_approx","p_value","p_adj_bh"
"first_choice_binary","first_choice_binary","LDT first choice","LDT","binary","binary_model_if_feasible; otherwise exact/descriptive","BT1","(Intercept)","odds_ratio",3.28571428571429,1.08899198236668,12.8978825338077,0.0339696282708571,0.152863327218857
"first_choice_binary","first_choice_binary","LDT first choice","LDT","binary","binary_model_if_feasible; otherwise exact/descriptive","BT1","treatment0.5","odds_ratio",0.208237986270023,0.0389813697302109,0.927273405634436,0.0392020568041115,0.156808227216446
"first_choice_binary","first_choice_binary","LDT first choice","LDT","binary","binary_model_if_feasible; otherwise exact/descriptive","BT1","treatment1","odds_ratio",0.240274599542334,0.0462305165876575,1.04675827482993,0.0577661701805618,0.207958212650023
"first_choice_binary","first_choice_binary","LDT first choice","LDT","binary","binary_model_if_feasible; otherwise exact/descriptive","BT1","exposure24h","odds_ratio",0.268542199488491,0.0510832103298706,1.19431459577392,0.0851153235533583,0.278559240720082
"first_choice_binary","first_choice_binary","LDT first choice","LDT","binary","binary_model_if_feasible; otherwise exact/descriptive","BT1","exposure96h","odds_ratio",0.304347826086956,0.0590944904680036,1.33065662892238,0.115679767810702,0.347039303432107
"first_choice_binary","first_choice_binary","LDT first choice","LDT","binary","binary_model_if_feasible; otherwise exact/descriptive","BT1","treatment0.5:exposure24h","odds_ratio",13.9085877085877,1.7302333427167,129.246927405644,0.0128644775521839,0.0771868653131034
"first_choice_binary","first_choice_binary","LDT first choice","LDT","binary","binary_model_if_feasible; otherwise exact/descriptive","BT1","treatment1:exposure24h","odds_ratio",136.787936507937,8.29049602696646,21725.9121830038,0.000183176638488103,0.00219811966185723
"first_choice_binary","first_choice_binary","LDT first choice","LDT","binary","binary_model_if_feasible; otherwise exact/descriptive","BT1","treatment0.5:exposure96h","odds_ratio",49.6227106227106,4.88394396795148,801.898818057313,0.000661485069602508,0.00595336562642257
"first_choice_binary","first_choice_binary","LDT first choice","LDT","binary","binary_model_if_feasible; otherwise exact/descriptive","BT1","treatment1:exposure96h","odds_ratio",20.8095238095238,2.37897718249531,230.188357247375,0.00552528218375536,0.0397820317230386
"num_changes","num_changes","LDT transition behavior","LDT","count","count_or_rank_based_model_after_overdispersion_check","BT1","(Intercept)","exponentiated_coefficient",25.5714285714287,16.000393419883,40.8676175656474,7.87538964742041e-42,1.41757013653567e-40
"num_changes","num_changes","LDT transition behavior","LDT","count","count_or_rank_based_model_after_overdispersion_check","BT1","treatment0.5","exponentiated_coefficient",0.916550279329605,0.481995743910908,1.74288761913727,0.790433519953334,0.917922797365162
"num_changes","num_changes","LDT transition behavior","LDT","count","count_or_rank_based_model_after_overdispersion_check","BT1","treatment1","exponentiated_coefficient",1.06075418994413,0.558434971679401,2.01491580675933,0.857013571300407,0.93492389596408
"num_changes","num_changes","LDT transition behavior","LDT","count","count_or_rank_based_model_after_overdispersion_check","BT1","exposure24h","exponentiated_coefficient",0.74040968342644,0.384748339095864,1.42484435566348,0.368178467800449,0.57627934090505
"num_changes","num_changes","LDT transition behavior","LDT","count","count_or_rank_based_model_after_overdispersion_check","BT1","exposure96h","exponentiated_coefficient",0.603701117318434,0.316170179232814,1.1527179442915,0.126183996787418,0.349432606488235
"num_changes","num_changes","LDT transition behavior","LDT","count","count_or_rank_based_model_after_overdispersion_check","BT1","treatment0.5:exposure24h","exponentiated_coefficient",1.22550771294434,0.493071338121746,3.04594698245313,0.661548539298416,0.800780297995395
"num_changes","num_changes","LDT transition behavior","LDT","count","count_or_rank_based_model_after_overdispersion_check","BT1","treatment1:exposure24h","exponentiated_coefficient",1.35504932160442,0.542040343781022,3.38749446429099,0.515721874806081,0.71407644203919
"num_changes","num_changes","LDT transition behavior","LDT","count","count_or_rank_based_model_after_overdispersion_check","BT1","treatment0.5:exposure96h","exponentiated_coefficient",1.93914941199153,0.791358487069078,4.75170293043037,0.147544165614104,0.35410599747385
"num_changes","num_changes","LDT transition behavior","LDT","count","count_or_rank_based_model_after_overdispersion_check","BT1","treatment1:exposure96h","exponentiated_coefficient",0.767702412967653,0.306829269732369,1.92083041943955,0.572100067384251,0.735557229494037
"attempts","attempts","endurance","RN","count","count_or_rank_based_model_after_overdispersion_check","BT1","(Intercept)","exponentiated_coefficient",1.35714285714286,0.865651229504514,2.12768915692307,0.183146979600205,0.412080704100461
"attempts","attempts","endurance","RN","count","count_or_rank_based_model_after_overdispersion_check","BT1","treatment0.5","exponentiated_coefficient",0.782894736842106,0.406935358122689,1.50619541099271,0.463474830648967,0.695212245973451
"attempts","attempts","endurance","RN","count","count_or_rank_based_model_after_overdispersion_check","BT1","treatment1","exponentiated_coefficient",0.967105263157896,0.519945870085305,1.79882684686822,0.915868496728538,0.942036168063639
"attempts","attempts","endurance","RN","count","count_or_rank_based_model_after_overdispersion_check","BT1","exposure24h","exponentiated_coefficient",0.933333333333334,0.494157571646727,1.76282052748525,0.831599725714146,0.93492389596408
"attempts","attempts","endurance","RN","count","count_or_rank_based_model_after_overdispersion_check","BT1","exposure96h","exponentiated_coefficient",0.736842105263159,0.378920020362261,1.43285194477076,0.36811672510906,0.57627934090505
"attempts","attempts","endurance","RN","count","count_or_rank_based_model_after_overdispersion_check","BT1","treatment0.5:exposure24h","exponentiated_coefficient",1.00840336134454,0.393311679214033,2.58542370570592,0.986101154927565,0.986101154927565
"attempts","attempts","endurance","RN","count","count_or_rank_based_model_after_overdispersion_check","BT1","treatment1:exposure24h","exponentiated_coefficient",1.34110787172012,0.562687702928628,3.19639173599959,0.507758976975736,0.71407644203919
"attempts","attempts","endurance","RN","count","count_or_rank_based_model_after_overdispersion_check","BT1","treatment0.5:exposure96h","exponentiated_coefficient",1.7563025210084,0.701260077527533,4.39865129093901,0.229214905503661,0.458429811007322
"attempts","attempts","endurance","RN","count","count_or_rank_based_model_after_overdispersion_check","BT1","treatment1:exposure96h","exponentiated_coefficient",1.77259475218659,0.730722749621551,4.29997855836123,0.205470486437372,0.43511397127914
"last_flux","last_flux","endurance","RN","ordinal/step","ordinal_or_rank_based_model","BT1","(Intercept)","exponentiated_coefficient",7.50000000000438,6.19428262781424,9.08095470934533,1.04686292463548e-94,3.76870652868772e-93
