"endpoint","resolved_variable","domain","source_test","data_type","model_family","dataset","model_method","term","df","statistic","p_value","model_note","p_adj_bh","effect_flag_bh_0_05"
"dist_total","dist_total","NTT locomotion","NTT","continuous","continuous_factorial_model_with_robust_or_rank_sensitivity_if_flagged","BT1","ART-ANOVA","treatment",2,2,0.678460251381646,"Aligned Rank Transform factorial model. Interpret endpoint effects from treatment, exposure, and treatment:exposure terms.",0.726921697908906,FALSE
"dist_total","dist_total","NTT locomotion","NTT","continuous","continuous_factorial_model_with_robust_or_rank_sensitivity_if_flagged","BT1","ART-ANOVA","exposure",2,2,0.775556367506729,"Aligned Rank Transform factorial model. Interpret endpoint effects from treatment, exposure, and treatment:exposure terms.",0.802299690524203,FALSE
"dist_total","dist_total","NTT locomotion","NTT","continuous","continuous_factorial_model_with_robust_or_rank_sensitivity_if_flagged","BT1","ART-ANOVA","treatment:exposure",4,4,0.000272778795983042,"Aligned Rank Transform factorial model. Interpret endpoint effects from treatment, exposure, and treatment:exposure terms.",0.00116905198278447,TRUE
"mov_total","mov_total","NTT locomotion","NTT","continuous derived","continuous_factorial_model_with_robust_or_rank_sensitivity_if_flagged","BT1","ART-ANOVA","treatment",2,2,0.116949074993387,"Aligned Rank Transform factorial model. Interpret endpoint effects from treatment, exposure, and treatment:exposure terms.",0.194915124988979,FALSE
"mov_total","mov_total","NTT locomotion","NTT","continuous derived","continuous_factorial_model_with_robust_or_rank_sensitivity_if_flagged","BT1","ART-ANOVA","exposure",2,2,0.199848016498909,"Aligned Rank Transform factorial model. Interpret endpoint effects from treatment, exposure, and treatment:exposure terms.",0.272520022498512,FALSE
"mov_total","mov_total","NTT locomotion","NTT","continuous derived","continuous_factorial_model_with_robust_or_rank_sensitivity_if_flagged","BT1","ART-ANOVA","treatment:exposure",4,4,0.0108170424866448,"Aligned Rank Transform factorial model. Interpret endpoint effects from treatment, exposure, and treatment:exposure terms.",0.0289612085181832,TRUE
"vel_mean","vel_mean","NTT locomotion","NTT","continuous derived","continuous_factorial_model_with_robust_or_rank_sensitivity_if_flagged","BT1","ART-ANOVA","treatment",2,2,0.0356335064753198,"Aligned Rank Transform factorial model. Interpret endpoint effects from treatment, exposure, and treatment:exposure terms.",0.0668128246412246,FALSE
"vel_mean","vel_mean","NTT locomotion","NTT","continuous derived","continuous_factorial_model_with_robust_or_rank_sensitivity_if_flagged","BT1","ART-ANOVA","exposure",2,2,0.941252013115864,"Aligned Rank Transform factorial model. Interpret endpoint effects from treatment, exposure, and treatment:exposure terms.",0.941252013115864,FALSE
"vel_mean","vel_mean","NTT locomotion","NTT","continuous derived","continuous_factorial_model_with_robust_or_rank_sensitivity_if_flagged","BT1","ART-ANOVA","treatment:exposure",4,4,0.00193245192194773,"Aligned Rank Transform factorial model. Interpret endpoint effects from treatment, exposure, and treatment:exposure terms.",0.00644150640649244,TRUE
"stratum_pref","stratum_pref","NTT spatial position","NTT","bounded/proportion-like","bounded_continuous_or_rank_based_factorial_model","BT1","ART-ANOVA","treatment",2,2,0.0138884503503355,"Aligned Rank Transform factorial model. Interpret endpoint effects from treatment, exposure, and treatment:exposure terms.",0.0320502700392358,TRUE
"stratum_pref","stratum_pref","NTT spatial position","NTT","bounded/proportion-like","bounded_continuous_or_rank_based_factorial_model","BT1","ART-ANOVA","exposure",2,2,0.133568650674774,"Aligned Rank Transform factorial model. Interpret endpoint effects from treatment, exposure, and treatment:exposure terms.",0.200352976012161,FALSE
"stratum_pref","stratum_pref","NTT spatial position","NTT","bounded/proportion-like","bounded_continuous_or_rank_based_factorial_model","BT1","ART-ANOVA","treatment:exposure",4,4,0.130608669800957,"Aligned Rank Transform factorial model. Interpret endpoint effects from treatment, exposure, and treatment:exposure terms.",0.200352976012161,FALSE
