"endpoint","resolved_variable","domain","source_test","data_type","model_family","dataset","model_method","term","df","statistic","p_value","model_note","p_adj_bh","effect_flag_bh_0_05"
"attempts","attempts","endurance","RN","count","count_or_rank_based_model_after_overdispersion_check","BT1","Poisson GLM","NULL",NA,NA,NA,"Count endpoint model. Variance-to-mean ratio = 0.494.",NA,FALSE
"attempts","attempts","endurance","RN","count","count_or_rank_based_model_after_overdispersion_check","BT1","Poisson GLM","treatment",2,2,0.208829385574659,"Count endpoint model. Variance-to-mean ratio = 0.494.",0.313244078361989,FALSE
"attempts","attempts","endurance","RN","count","count_or_rank_based_model_after_overdispersion_check","BT1","Poisson GLM","exposure",2,2,0.872339792432777,"Count endpoint model. Variance-to-mean ratio = 0.494.",0.872339792432777,FALSE
"attempts","attempts","endurance","RN","count","count_or_rank_based_model_after_overdispersion_check","BT1","Poisson GLM","treatment:exposure",4,4,0.621845008492965,"Count endpoint model. Variance-to-mean ratio = 0.494.",0.746214010191558,FALSE
"last_flux","last_flux","endurance","RN","ordinal/step","ordinal_or_rank_based_model","BT1","Poisson GLM","NULL",NA,NA,NA,"Count endpoint model. Variance-to-mean ratio = 1.039.",NA,FALSE
"last_flux","last_flux","endurance","RN","ordinal/step","ordinal_or_rank_based_model","BT1","Poisson GLM","treatment",2,2,1.54250566977137e-05,"Count endpoint model. Variance-to-mean ratio = 1.039.",9.2550340186282e-05,TRUE
"last_flux","last_flux","endurance","RN","ordinal/step","ordinal_or_rank_based_model","BT1","Poisson GLM","exposure",2,2,0.130844532799456,"Count endpoint model. Variance-to-mean ratio = 1.039.",0.30858813291077,FALSE
"last_flux","last_flux","endurance","RN","ordinal/step","ordinal_or_rank_based_model","BT1","Poisson GLM","treatment:exposure",4,4,0.154294066455385,"Count endpoint model. Variance-to-mean ratio = 1.039.",0.30858813291077,FALSE
"resistance_index","resistance_index","endurance","RN","continuous derived","continuous_factorial_model_with_robust_or_rank_sensitivity_if_flagged","BT1","ART-ANOVA","treatment",2,2,8.23319626234562e-07,"Aligned Rank Transform factorial model. Interpret endpoint effects from treatment, exposure, and treatment:exposure terms.",1.23497943935184e-05,TRUE
"resistance_index","resistance_index","endurance","RN","continuous derived","continuous_factorial_model_with_robust_or_rank_sensitivity_if_flagged","BT1","ART-ANOVA","exposure",2,2,0.0115844834072733,"Aligned Rank Transform factorial model. Interpret endpoint effects from treatment, exposure, and treatment:exposure terms.",0.0289612085181832,TRUE
"resistance_index","resistance_index","endurance","RN","continuous derived","continuous_factorial_model_with_robust_or_rank_sensitivity_if_flagged","BT1","ART-ANOVA","treatment:exposure",4,4,0.0270772770179259,"Aligned Rank Transform factorial model. Interpret endpoint effects from treatment, exposure, and treatment:exposure terms.",0.0541545540358517,FALSE
"time_in_last_flux","time_in_last_flux","endurance","RN","bounded continuous","bounded_continuous_or_rank_based_factorial_model","BT1","ART-ANOVA","treatment",2,2,0.2601033734335,"Aligned Rank Transform factorial model. Interpret endpoint effects from treatment, exposure, and treatment:exposure terms.",0.312124048120201,FALSE
"time_in_last_flux","time_in_last_flux","endurance","RN","bounded continuous","bounded_continuous_or_rank_based_factorial_model","BT1","ART-ANOVA","exposure",2,2,0.23263436062909,"Aligned Rank Transform factorial model. Interpret endpoint effects from treatment, exposure, and treatment:exposure terms.",0.303436122559682,FALSE
"time_in_last_flux","time_in_last_flux","endurance","RN","bounded continuous","bounded_continuous_or_rank_based_factorial_model","BT1","ART-ANOVA","treatment:exposure",4,4,0.298662539720136,"Aligned Rank Transform factorial model. Interpret endpoint effects from treatment, exposure, and treatment:exposure terms.",0.344610622754003,FALSE
