"exposure","treatment","contrast","estimate","SE","df","t.ratio","p.value","contrast_family","art_component","endpoint","domain","source_test","dataset","patch_date"
"1h",".","treatment0 - treatment0.5",-20.3660714285715,13.2977464816652,127,-1.53154306683858,0.128122438574837,"treatment_within_exposure","treatment","time_bright","LDT phototaxis","LDT","BT1","2026-06-30"
"1h",".","treatment0 - treatment1",-42.8035714285715,13.2977464816652,127,-3.2188590365735,0.00490158159127541,"treatment_within_exposure","treatment","time_bright","LDT phototaxis","LDT","BT1","2026-06-30"
"1h",".","treatment0.5 - treatment1",-22.4375,12.8468436094084,127,-1.74653795766362,0.124702900115619,"treatment_within_exposure","treatment","time_bright","LDT phototaxis","LDT","BT1","2026-06-30"
"24h",".","treatment0 - treatment0.5",-22.3333333333333,13.2681630268186,127,-1.68322723260119,0.107843749826633,"treatment_within_exposure","treatment","time_bright","LDT phototaxis","LDT","BT1","2026-06-30"
"24h",".","treatment0 - treatment1",-44.2,13.503016003155,127,-3.2733427842841,0.00410821539707202,"treatment_within_exposure","treatment","time_bright","LDT phototaxis","LDT","BT1","2026-06-30"
"24h",".","treatment0.5 - treatment1",-21.8666666666667,13.503016003155,127,-1.61939130202893,0.107843749826633,"treatment_within_exposure","treatment","time_bright","LDT phototaxis","LDT","BT1","2026-06-30"
"96h",".","treatment0 - treatment0.5",-25.125,12.8468436094084,127,-1.95573331192416,0.0790382223390921,"treatment_within_exposure","treatment","time_bright","LDT phototaxis","LDT","BT1","2026-06-30"
"96h",".","treatment0 - treatment1",-42.8839285714286,13.2977464816652,127,-3.22490195090999,0.00480702589885845,"treatment_within_exposure","treatment","time_bright","LDT phototaxis","LDT","BT1","2026-06-30"
"96h",".","treatment0.5 - treatment1",-17.7589285714286,13.2977464816652,127,-1.3354840683656,0.184106558698745,"treatment_within_exposure","treatment","time_bright","LDT phototaxis","LDT","BT1","2026-06-30"
".","0","1h - 24h",-13.3761904761905,13.8446580381701,127,-0.966162576158399,0.335799064783395,"exposure_within_treatment","exposure","time_bright","LDT phototaxis","LDT","BT1","2026-06-30"
".","0","1h - 96h",-33.2053571428572,13.634194958661,127,-2.43544684842311,0.0487847203241562,"exposure_within_treatment","exposure","time_bright","LDT phototaxis","LDT","BT1","2026-06-30"
".","0","24h - 96h",-19.8291666666667,13.3896155551911,127,-1.48093622142713,0.211650422543418,"exposure_within_treatment","exposure","time_bright","LDT phototaxis","LDT","BT1","2026-06-30"
".","0.5","1h - 24h",-9.28333333333334,13.3896155551912,127,-0.693323366534911,0.489372688906933,"exposure_within_treatment","exposure","time_bright","LDT phototaxis","LDT","BT1","2026-06-30"
".","0.5","1h - 96h",-40.25,13.1718837184636,127,-3.05575123955732,0.0082105104784373,"exposure_within_treatment","exposure","time_bright","LDT phototaxis","LDT","BT1","2026-06-30"
".","0.5","24h - 96h",-30.9666666666667,13.3896155551912,127,-2.31273754941089,0.0335184293500544,"exposure_within_treatment","exposure","time_bright","LDT phototaxis","LDT","BT1","2026-06-30"
".","1","1h - 24h",-6.62500000000002,13.634194958661,127,-0.485910610790521,0.627867867920817,"exposure_within_treatment","exposure","time_bright","LDT phototaxis","LDT","BT1","2026-06-30"
".","1","1h - 96h",-36.0535714285715,13.634194958661,127,-2.64434911909989,0.0276517775171375,"exposure_within_treatment","exposure","time_bright","LDT phototaxis","LDT","BT1","2026-06-30"
".","1","24h - 96h",-29.4285714285714,14.0813360036905,127,-2.08989909912374,0.0579326653982458,"exposure_within_treatment","exposure","time_bright","LDT phototaxis","LDT","BT1","2026-06-30"
"1h",".","treatment0 - treatment0.5",27.3035714285714,10.2234858877573,127,2.67067140585265,0.00856069422084325,"treatment_within_exposure","treatment:exposure","mtpc","LDT transition behavior","LDT","BT1","2026-06-30"
"1h",".","treatment0 - treatment1",58.4910714285714,10.2234858877573,127,5.72124538251822,2.15940399265006e-07,"treatment_within_exposure","treatment:exposure","mtpc","LDT transition behavior","LDT","BT1","2026-06-30"
"1h",".","treatment0.5 - treatment1",31.1875,9.87682571058942,127,3.15764405628444,0.00298101218390491,"treatment_within_exposure","treatment:exposure","mtpc","LDT transition behavior","LDT","BT1","2026-06-30"
"24h",".","treatment0 - treatment0.5",12.8,10.2007417308016,127,1.25481071257297,0.211851739158384,"treatment_within_exposure","treatment:exposure","mtpc","LDT transition behavior","LDT","BT1","2026-06-30"
"24h",".","treatment0 - treatment1",59.0952380952381,10.3812998496214,127,5.69247001351117,2.47014733724464e-07,"treatment_within_exposure","treatment:exposure","mtpc","LDT transition behavior","LDT","BT1","2026-06-30"
"24h",".","treatment0.5 - treatment1",46.2952380952381,10.3812998496215,127,4.4594837607861,2.68052120230442e-05,"treatment_within_exposure","treatment:exposure","mtpc","LDT transition behavior","LDT","BT1","2026-06-30"
"96h",".","treatment0 - treatment0.5",28.0625,9.87682571058943,127,2.84124685625594,0.0157094662547023,"treatment_within_exposure","treatment:exposure","mtpc","LDT transition behavior","LDT","BT1","2026-06-30"
"96h",".","treatment0 - treatment1",2.0446428571429,10.2234858877573,127,0.199994686703816,0.841804624329261,"treatment_within_exposure","treatment:exposure","mtpc","LDT transition behavior","LDT","BT1","2026-06-30"
"96h",".","treatment0.5 - treatment1",-26.0178571428571,10.2234858877573,127,-2.54491055482493,0.0181913957495646,"treatment_within_exposure","treatment:exposure","mtpc","LDT transition behavior","LDT","BT1","2026-06-30"
".","0","1h - 24h",15.2619047619048,10.3812998496214,127,1.47013427826779,0.143998501319838,"exposure_within_treatment","treatment:exposure","mtpc","LDT transition behavior","LDT","BT1","2026-06-30"
".","0","1h - 96h",63.2410714285714,10.2234858877573,127,6.18586185992621,2.34704341736792e-08,"exposure_within_treatment","treatment:exposure","mtpc","LDT transition behavior","LDT","BT1","2026-06-30"
".","0","24h - 96h",47.9791666666667,10.0400900886366,127,4.77875858115751,7.18652289783222e-06,"exposure_within_treatment","treatment:exposure","mtpc","LDT transition behavior","LDT","BT1","2026-06-30"
".","0.5","1h - 24h",0.758333333333326,10.0400900886366,127,0.0755305307660146,0.939911456310026,"exposure_within_treatment","treatment:exposure","mtpc","LDT transition behavior","LDT","BT1","2026-06-30"
".","0.5","1h - 96h",64,9.87682571058943,127,6.47981465658369,5.51702897005901e-09,"exposure_within_treatment","treatment:exposure","mtpc","LDT transition behavior","LDT","BT1","2026-06-30"
".","0.5","24h - 96h",63.2416666666667,10.0400900886366,127,6.29891426355265,6.74997719166938e-09,"exposure_within_treatment","treatment:exposure","mtpc","LDT transition behavior","LDT","BT1","2026-06-30"
".","1","1h - 24h",15.8660714285714,10.2234858877573,127,1.55192383525185,0.369506761978121,"exposure_within_treatment","treatment:exposure","mtpc","LDT transition behavior","LDT","BT1","2026-06-30"
".","1","1h - 96h",6.79464285714289,10.2234858877573,127,0.664611164111798,0.507504202185447,"exposure_within_treatment","treatment:exposure","mtpc","LDT transition behavior","LDT","BT1","2026-06-30"
".","1","24h - 96h",-9.07142857142855,10.5587708222588,127,-0.859136799551063,0.507504202185447,"exposure_within_treatment","treatment:exposure","mtpc","LDT transition behavior","LDT","BT1","2026-06-30"
"1h",".","treatment0 - treatment0.5",-9.47321428571422,13.6045791826821,127,-0.696325417971994,0.487497506539624,"treatment_within_exposure","treatment:exposure","dist_total","NTT locomotion","NTT","BT1","2026-06-30"
"1h",".","treatment0 - treatment1",-40.4107142857142,13.6045791826821,127,-2.97037591116048,0.010673081047981,"treatment_within_exposure","treatment:exposure","dist_total","NTT locomotion","NTT","BT1","2026-06-30"
"1h",".","treatment0.5 - treatment1",-30.9375,13.1432721606408,127,-2.3538658883323,0.0301706607552015,"treatment_within_exposure","treatment:exposure","dist_total","NTT locomotion","NTT","BT1","2026-06-30"
"24h",".","treatment0 - treatment0.5",-1.60000000000004,13.5743131180889,127,-0.117869684166038,0.906357130685079,"treatment_within_exposure","treatment:exposure","dist_total","NTT locomotion","NTT","BT1","2026-06-30"
"24h",".","treatment0 - treatment1",19.8238095238095,13.8145851008088,127,1.43499130659008,0.230621502410237,"treatment_within_exposure","treatment:exposure","dist_total","NTT locomotion","NTT","BT1","2026-06-30"
"24h",".","treatment0.5 - treatment1",21.4238095238095,13.8145851008089,127,1.5508109268193,0.230621502410237,"treatment_within_exposure","treatment:exposure","dist_total","NTT locomotion","NTT","BT1","2026-06-30"
"96h",".","treatment0 - treatment0.5",7.87499999999998,13.1432721606408,127,0.599165862484584,0.550129619883475,"treatment_within_exposure","treatment:exposure","dist_total","NTT locomotion","NTT","BT1","2026-06-30"
"96h",".","treatment0 - treatment1",43.2142857142857,13.6045791826821,127,3.17645148254899,0.00561546002014577,"treatment_within_exposure","treatment:exposure","dist_total","NTT locomotion","NTT","BT1","2026-06-30"
"96h",".","treatment0.5 - treatment1",35.3392857142857,13.6045791826821,127,2.59760226610101,0.0157443518586023,"treatment_within_exposure","treatment:exposure","dist_total","NTT locomotion","NTT","BT1","2026-06-30"
".","0","1h - 24h",-17.2523809523809,13.8145851008088,127,-1.24885263122167,0.321024104728776,"exposure_within_treatment","treatment:exposure","dist_total","NTT locomotion","NTT","BT1","2026-06-30"
".","0","1h - 96h",-29.7857142857142,13.6045791826821,127,-2.18938887309575,0.0911884489251872,"exposure_within_treatment","treatment:exposure","dist_total","NTT locomotion","NTT","BT1","2026-06-30"
".","0","24h - 96h",-12.5333333333333,13.3605310470168,127,-0.938086464469681,0.349980586581382,"exposure_within_treatment","treatment:exposure","dist_total","NTT locomotion","NTT","BT1","2026-06-30"
".","0.5","1h - 24h",-9.3791666666667,13.3605310470168,127,-0.702005529096161,0.725940422711324,"exposure_within_treatment","treatment:exposure","dist_total","NTT locomotion","NTT","BT1","2026-06-30"
".","0.5","1h - 96h",-12.4375,13.1432721606408,127,-0.946301639955814,0.725940422711324,"exposure_within_treatment","treatment:exposure","dist_total","NTT locomotion","NTT","BT1","2026-06-30"
".","0.5","24h - 96h",-3.05833333333332,13.3605310470168,127,-0.228908066795459,0.819308576842434,"exposure_within_treatment","treatment:exposure","dist_total","NTT locomotion","NTT","BT1","2026-06-30"
".","1","1h - 24h",42.9821428571429,13.6045791826821,127,3.15938790020472,0.00296453698684643,"exposure_within_treatment","treatment:exposure","dist_total","NTT locomotion","NTT","BT1","2026-06-30"
".","1","1h - 96h",53.8392857142857,13.6045791826821,127,3.95743852061372,0.000375959211519845,"exposure_within_treatment","treatment:exposure","dist_total","NTT locomotion","NTT","BT1","2026-06-30"
".","1","24h - 96h",10.8571428571429,14.0507489617834,127,0.772709190568642,0.441130201623077,"exposure_within_treatment","treatment:exposure","dist_total","NTT locomotion","NTT","BT1","2026-06-30"
"1h",".","treatment0 - treatment0.5",13.5446428571429,12.8218994654653,127,1.05636788789557,0.29280550226926,"treatment_within_exposure","treatment:exposure","mov_total","NTT locomotion","NTT","BT1","2026-06-30"
"1h",".","treatment0 - treatment1",-15.0803571428571,12.8218994654653,127,-1.17614064776243,0.29280550226926,"treatment_within_exposure","treatment:exposure","mov_total","NTT locomotion","NTT","BT1","2026-06-30"
"1h",".","treatment0.5 - treatment1",-28.625,12.3871317170548,127,-2.31086587709313,0.0673565365092409,"treatment_within_exposure","treatment:exposure","mov_total","NTT locomotion","NTT","BT1","2026-06-30"
