"endpoint","domain","source_test","data_type","endpoint_type","comparison","dataset_a","dataset_b","treatment","exposure","statistic","estimate","ci_low","ci_high","bootstrap_R_requested","bootstrap_R_valid"
"attempts","endurance","RN","count","count_or_discrete","BT1_vs_BT3","BT1","BT3","0","1h","mean_difference_b_minus_a",-0.107142857142857,-0.526785714285714,0.303571428571429,2000,2000
"attempts","endurance","RN","count","count_or_discrete","BT1_vs_BT3","BT1","BT3","0","1h","median_difference_b_minus_a",0,-0.5,0,2000,2000
"attempts","endurance","RN","count","count_or_discrete","BT1_vs_BT3","BT1","BT3","0","1h","hedges_g",-0.172599293964381,-0.947022350384992,0.491914676660466,2000,2000
"attempts","endurance","RN","count","count_or_discrete","BT1_vs_BT3","BT1","BT3","0","1h","cliffs_delta",-0.09375,-0.401785714285714,0.205468749999999,2000,2000
"attempts","endurance","RN","count","count_or_discrete","BT1_vs_BT3","BT1","BT3","0","24h","mean_difference_b_minus_a",0.133333333333333,-0.6,0.866666666666667,2000,2000
"attempts","endurance","RN","count","count_or_discrete","BT1_vs_BT3","BT1","BT3","0","24h","median_difference_b_minus_a",0,0,0,2000,2000
"attempts","endurance","RN","count","count_or_discrete","BT1_vs_BT3","BT1","BT3","0","24h","hedges_g",0.124231411460554,-0.521407752952541,0.858081506291219,2000,1975
"attempts","endurance","RN","count","count_or_discrete","BT1_vs_BT3","BT1","BT3","0","24h","cliffs_delta",0.124444444444444,-0.0935555555555555,0.386666666666667,2000,2000
"attempts","endurance","RN","count","count_or_discrete","BT1_vs_BT3","BT1","BT3","0","96h","mean_difference_b_minus_a",0.0625,0,0.1875,2000,2000
"attempts","endurance","RN","count","count_or_discrete","BT1_vs_BT3","BT1","BT3","0","96h","median_difference_b_minus_a",0,0,0,2000,2000
"attempts","endurance","RN","count","count_or_discrete","BT1_vs_BT3","BT1","BT3","0","96h","hedges_g",0.344640279906048,0.344640279906048,0.641210484703458,2000,1263
"attempts","endurance","RN","count","count_or_discrete","BT1_vs_BT3","BT1","BT3","0","96h","cliffs_delta",0.0625,0,0.1875,2000,2000
"attempts","endurance","RN","count","count_or_discrete","BT1_vs_BT3","BT1","BT3","0.5","1h","mean_difference_b_minus_a",0.3125,0,0.625,2000,2000
"attempts","endurance","RN","count","count_or_discrete","BT1_vs_BT3","BT1","BT3","0.5","1h","median_difference_b_minus_a",0,0,1,2000,2000
"attempts","endurance","RN","count","count_or_discrete","BT1_vs_BT3","BT1","BT3","0.5","1h","hedges_g",0.645193196814959,0,1.19523848641183,2000,1997
"attempts","endurance","RN","count","count_or_discrete","BT1_vs_BT3","BT1","BT3","0.5","1h","cliffs_delta",0.25390625,0,0.5,2000,2000
"attempts","endurance","RN","count","count_or_discrete","BT1_vs_BT3","BT1","BT3","0.5","24h","mean_difference_b_minus_a",0.642857142857143,0,1.5,2000,2000
"attempts","endurance","RN","count","count_or_discrete","BT1_vs_BT3","BT1","BT3","0.5","24h","median_difference_b_minus_a",0,0,0,2000,2000
"attempts","endurance","RN","count","count_or_discrete","BT1_vs_BT3","BT1","BT3","0.5","24h","hedges_g",0.622368276311732,0.37436544017777,1.00607689025614,2000,1913
"attempts","endurance","RN","count","count_or_discrete","BT1_vs_BT3","BT1","BT3","0.5","24h","cliffs_delta",0.214285714285714,0,0.428571428571429,2000,2000
"attempts","endurance","RN","count","count_or_discrete","BT1_vs_BT3","BT1","BT3","0.5","96h","mean_difference_b_minus_a",1.125,0.3125,1.9375,2000,2000
"attempts","endurance","RN","count","count_or_discrete","BT1_vs_BT3","BT1","BT3","0.5","96h","median_difference_b_minus_a",1,1,2,2000,2000
"attempts","endurance","RN","count","count_or_discrete","BT1_vs_BT3","BT1","BT3","0.5","96h","hedges_g",0.888032025952509,0.211910661137614,1.78125671103789,2000,2000
"attempts","endurance","RN","count","count_or_discrete","BT1_vs_BT3","BT1","BT3","0.5","96h","cliffs_delta",0.57421875,0.26552734375,0.84375,2000,2000
"attempts","endurance","RN","count","count_or_discrete","BT1_vs_BT3","BT1","BT3","1","1h","mean_difference_b_minus_a",1.8875,0.9540625,2.8,2000,2000
"attempts","endurance","RN","count","count_or_discrete","BT1_vs_BT3","BT1","BT3","1","1h","median_difference_b_minus_a",2,1,4,2000,2000
"attempts","endurance","RN","count","count_or_discrete","BT1_vs_BT3","BT1","BT3","1","1h","hedges_g",1.37494117348026,0.563886717755229,2.65558505434277,2000,2000
"attempts","endurance","RN","count","count_or_discrete","BT1_vs_BT3","BT1","BT3","1","1h","cliffs_delta",0.683333333333333,0.4040625,0.925104166666666,2000,2000
"attempts","endurance","RN","count","count_or_discrete","BT1_vs_BT3","BT1","BT3","1","24h","mean_difference_b_minus_a",0.940476190476191,-0.0119047619047619,1.89285714285714,2000,2000
"attempts","endurance","RN","count","count_or_discrete","BT1_vs_BT3","BT1","BT3","1","24h","median_difference_b_minus_a",1,0,3,2000,2000
"attempts","endurance","RN","count","count_or_discrete","BT1_vs_BT3","BT1","BT3","1","24h","hedges_g",0.722568162318082,-0.0175955962665763,1.91098499445343,2000,2000
"attempts","endurance","RN","count","count_or_discrete","BT1_vs_BT3","BT1","BT3","1","24h","cliffs_delta",0.43452380952381,0.0416666666666667,0.785714285714286,2000,2000
"attempts","endurance","RN","count","count_or_discrete","BT1_vs_BT3","BT1","BT3","1","96h","mean_difference_b_minus_a",0.285714285714286,-0.519047619047619,1.14773809523809,2000,2000
"attempts","endurance","RN","count","count_or_discrete","BT1_vs_BT3","BT1","BT3","1","96h","median_difference_b_minus_a",-0.5,-1,2,2000,2000
"attempts","endurance","RN","count","count_or_discrete","BT1_vs_BT3","BT1","BT3","1","96h","hedges_g",0.23148772527447,-0.567369350699674,0.853730288081457,2000,2000
"attempts","endurance","RN","count","count_or_discrete","BT1_vs_BT3","BT1","BT3","1","96h","cliffs_delta",0.00952380952380952,-0.39047619047619,0.381071428571428,2000,2000
"dist_total","NTT locomotion","NTT","continuous","continuous_or_derived","BT1_vs_BT2","BT1","BT2","0","1h","mean_difference_b_minus_a",2344.41785714286,970.420825892856,3717.15683035714,2000,2000
"dist_total","NTT locomotion","NTT","continuous","continuous_or_derived","BT1_vs_BT2","BT1","BT2","0","1h","median_difference_b_minus_a",2285.95,265.67375,4948.35,2000,2000
"dist_total","NTT locomotion","NTT","continuous","continuous_or_derived","BT1_vs_BT2","BT1","BT2","0","1h","hedges_g",1.13610474087772,0.437924174255192,2.11777076555784,2000,2000
"dist_total","NTT locomotion","NTT","continuous","continuous_or_derived","BT1_vs_BT2","BT1","BT2","0","1h","cliffs_delta",0.580357142857143,0.2140625,0.875,2000,2000
"dist_total","NTT locomotion","NTT","continuous","continuous_or_derived","BT1_vs_BT2","BT1","BT2","0","24h","mean_difference_b_minus_a",337.323416666667,-1130.300546875,1640.767046875,2000,2000
"dist_total","NTT locomotion","NTT","continuous","continuous_or_derived","BT1_vs_BT2","BT1","BT2","0","24h","median_difference_b_minus_a",397.16,-970.85,2050.25,2000,2000
"dist_total","NTT locomotion","NTT","continuous","continuous_or_derived","BT1_vs_BT2","BT1","BT2","0","24h","hedges_g",0.167945055773565,-0.487653924183081,1.09095719601565,2000,2000
"dist_total","NTT locomotion","NTT","continuous","continuous_or_derived","BT1_vs_BT2","BT1","BT2","0","24h","cliffs_delta",0.158333333333333,-0.283333333333333,0.541666666666667,2000,2000
"dist_total","NTT locomotion","NTT","continuous","continuous_or_derived","BT1_vs_BT2","BT1","BT2","0","96h","mean_difference_b_minus_a",644.57125,-702.10959375,2132.25853125,2000,2000
"dist_total","NTT locomotion","NTT","continuous","continuous_or_derived","BT1_vs_BT2","BT1","BT2","0","96h","median_difference_b_minus_a",57.0299999999997,-911.530625,1201.2335,2000,2000
"dist_total","NTT locomotion","NTT","continuous","continuous_or_derived","BT1_vs_BT2","BT1","BT2","0","96h","hedges_g",0.303837557904555,-0.414832356367799,0.907431559180858,2000,2000
"dist_total","NTT locomotion","NTT","continuous","continuous_or_derived","BT1_vs_BT2","BT1","BT2","0","96h","cliffs_delta",0.0390625,-0.3515625,0.4765625,2000,2000
"dist_total","NTT locomotion","NTT","continuous","continuous_or_derived","BT1_vs_BT2","BT1","BT2","0.5","1h","mean_difference_b_minus_a",450.610625,-899.22446875,1945.709125,2000,2000
"dist_total","NTT locomotion","NTT","continuous","continuous_or_derived","BT1_vs_BT2","BT1","BT2","0.5","1h","median_difference_b_minus_a",-13.4500000000007,-1087.715,1358.6,2000,2000
