"endpoint","domain","source_test","data_type","endpoint_type","comparison","dataset_a","dataset_b","treatment","exposure","n_a","n_b","mean_difference_b_minus_a","median_difference_b_minus_a","hedges_g","rank_biserial","cliffs_delta","risk_difference_b_minus_a","odds_ratio_b_vs_a","feasibility_note"
"attempts","endurance","RN","count","count_or_discrete","BT1_vs_BT3","BT1","BT3","0","1h",14,16,-0.107142857142857,0,-0.172599293964381,-0.09375,-0.09375,NA,NA,"tested"
"attempts","endurance","RN","count","count_or_discrete","BT1_vs_BT3","BT1","BT3","0","24h",15,15,0.133333333333333,0,0.124231411460554,0.124444444444444,0.124444444444444,NA,NA,"tested"
"attempts","endurance","RN","count","count_or_discrete","BT1_vs_BT3","BT1","BT3","0","96h",16,16,0.0625,0,0.344640279906048,0.0625,0.0625,NA,NA,"tested"
"attempts","endurance","RN","count","count_or_discrete","BT1_vs_BT3","BT1","BT3","0.5","1h",16,16,0.3125,0,0.645193196814959,0.25390625,0.25390625,NA,NA,"tested"
"attempts","endurance","RN","count","count_or_discrete","BT1_vs_BT3","BT1","BT3","0.5","24h",15,14,0.642857142857143,0,0.622368276311732,0.214285714285714,0.214285714285714,NA,NA,"tested"
"attempts","endurance","RN","count","count_or_discrete","BT1_vs_BT3","BT1","BT3","0.5","96h",16,16,1.125,1,0.888032025952509,0.57421875,0.57421875,NA,NA,"tested"
"attempts","endurance","RN","count","count_or_discrete","BT1_vs_BT3","BT1","BT3","1","1h",16,15,1.8875,2,1.37494117348026,0.683333333333333,0.683333333333333,NA,NA,"tested"
"attempts","endurance","RN","count","count_or_discrete","BT1_vs_BT3","BT1","BT3","1","24h",14,12,0.940476190476191,1,0.722568162318082,0.43452380952381,0.43452380952381,NA,NA,"tested"
"attempts","endurance","RN","count","count_or_discrete","BT1_vs_BT3","BT1","BT3","1","96h",14,15,0.285714285714286,-0.5,0.23148772527447,0.00952380952380952,0.00952380952380952,NA,NA,"tested"
"dist_total","NTT locomotion","NTT","continuous","continuous_or_derived","BT1_vs_BT2","BT1","BT2","0","1h",14,16,2344.41785714286,2285.95,1.13610474087772,0.580357142857143,0.580357142857143,NA,NA,"tested"
"dist_total","NTT locomotion","NTT","continuous","continuous_or_derived","BT1_vs_BT2","BT1","BT2","0","24h",15,16,337.323416666667,397.16,0.167945055773565,0.158333333333333,0.158333333333333,NA,NA,"tested"
"dist_total","NTT locomotion","NTT","continuous","continuous_or_derived","BT1_vs_BT2","BT1","BT2","0","96h",16,16,644.57125,57.0299999999997,0.303837557904555,0.0390625,0.0390625,NA,NA,"tested"
"dist_total","NTT locomotion","NTT","continuous","continuous_or_derived","BT1_vs_BT2","BT1","BT2","0.5","1h",16,16,450.610625,-13.4500000000007,0.208063643062829,0.1328125,0.1328125,NA,NA,"tested"
"dist_total","NTT locomotion","NTT","continuous","continuous_or_derived","BT1_vs_BT2","BT1","BT2","0.5","24h",15,15,-1215.37133333333,-1001.58,-0.851131271534905,-0.475555555555556,-0.475555555555556,NA,NA,"tested"
"dist_total","NTT locomotion","NTT","continuous","continuous_or_derived","BT1_vs_BT2","BT1","BT2","0.5","96h",16,16,885.60875,885.9,0.928532952878694,0.5234375,0.5234375,NA,NA,"tested"
"dist_total","NTT locomotion","NTT","continuous","continuous_or_derived","BT1_vs_BT2","BT1","BT2","1","1h",16,16,-1714.499375,-2295.8,-0.524322367782262,-0.328125,-0.328125,NA,NA,"tested"
"dist_total","NTT locomotion","NTT","continuous","continuous_or_derived","BT1_vs_BT2","BT1","BT2","1","24h",14,12,-800.615476190476,10.0200000000004,-0.458956614744318,-0.130952380952381,-0.130952380952381,NA,NA,"tested"
"dist_total","NTT locomotion","NTT","continuous","continuous_or_derived","BT1_vs_BT2","BT1","BT2","1","96h",14,16,-27.8764285714287,161.295,-0.0211496252462778,0.107142857142857,0.107142857142857,NA,NA,"tested"
"first_choice_binary","LDT first choice","LDT","binary","binary","BT1_vs_BT2","BT1","BT2","0","1h",14,16,-0.0982142857142857,0,NA,NA,NA,-0.0982142857142857,0.636363636363636,"tested"
"first_choice_binary","LDT first choice","LDT","binary","binary","BT1_vs_BT2","BT1","BT2","0","24h",15,16,0.0333333333333333,0.5,NA,NA,NA,0.0333333333333333,1.13333333333333,"tested"
