"variable","domain","source_test","data_type","pca_included","endpoint_model","battery_comparison","notes","resolved_variable_all","resolved_variable_BT1","resolved_variable_BT2","resolved_variable_BT3","available_all","available_BT1","available_BT2","available_BT3","n_nonmissing_all","n_nonmissing_BT1","n_nonmissing_BT2","n_nonmissing_BT3","pca_candidate","model_candidate","battery_candidate","available_any","source_test_clean","dataset_a","dataset_b","comparison","comparison_rationale","endpoint_type","resolved_column_a","resolved_column_b","n_nonmissing_a","n_nonmissing_b","present_in_dataset_a","present_in_dataset_b","comparable","comparability_decision"
"attempts","endurance","RN","count","yes","yes_if_justified","BT1_vs_BT3_if_comparable","number of resistance attempts","attempts","attempts","attempts","attempts",TRUE,TRUE,FALSE,TRUE,271,136,0,135,TRUE,TRUE,TRUE,TRUE,"RN","BT1","BT3","BT1_vs_BT3","Endurance endpoints are available in BT1 and the isolated endurance context.","count_or_discrete","attempts","attempts",136,135,TRUE,TRUE,TRUE,"retained: endpoint present in both compared batteries"
"blood_sugar","physiology","post-test physiology","continuous","yes_if_retention_acceptable","optional_supportive","if_comparable","supportive physiological endpoint; report PCA retained N","blood_sugar","blood_sugar","blood_sugar","blood_sugar",TRUE,TRUE,TRUE,TRUE,221,111,37,73,TRUE,TRUE,TRUE,TRUE,"post-test physiology",NA,NA,NA,NA,"continuous_or_derived",NA,NA,0,0,FALSE,FALSE,FALSE,"excluded: no valid battery pair for source_test"
"dist_total","NTT locomotion","NTT","continuous","yes","yes","yes_if_comparable","total distance traveled","dist_total","dist_total","dist_total","dist_total",TRUE,TRUE,TRUE,FALSE,275,136,139,0,TRUE,TRUE,TRUE,TRUE,"NTT","BT1","BT2","BT1_vs_BT2","NTT endpoints are available in BT1 and the alternative LDT+NTT context.","continuous_or_derived","dist_total","dist_total",136,139,TRUE,TRUE,TRUE,"retained: endpoint present in both compared batteries"
"first_choice_binary","LDT first choice","LDT","binary","yes_if_coding_valid","yes_if_feasible","yes_if_comparable","bright/dark first choice; no-choice handling must be explicit","first_choice_binary","first_choice_binary","first_choice_binary","first_choice_binary",TRUE,TRUE,TRUE,FALSE,273,135,138,0,TRUE,TRUE,TRUE,TRUE,"LDT","BT1","BT2","BT1_vs_BT2","LDT endpoints are available in BT1 and the alternative LDT+NTT context.","binary","first_choice_binary","first_choice_binary",135,138,TRUE,TRUE,TRUE,"retained: endpoint present in both compared batteries"
"last_flux","endurance","RN","ordinal/step","no_by_default","yes_if_justified","BT1_vs_BT3_if_comparable","supportive endurance endpoint, not part of the fixed PCA set unless revised","last_flux","last_flux","last_flux","last_flux",TRUE,TRUE,FALSE,TRUE,271,136,0,135,FALSE,TRUE,TRUE,TRUE,"RN","BT1","BT3","BT1_vs_BT3","Endurance endpoints are available in BT1 and the isolated endurance context.","count_or_discrete","last_flux","last_flux",136,135,TRUE,TRUE,TRUE,"retained: endpoint present in both compared batteries"
"latency","LDT decision latency","LDT","continuous or censored","yes","yes_if_justified","yes_if_comparable","latency to first choice; check no-choice and zero behavior","latency","latency","latency","latency",TRUE,TRUE,TRUE,FALSE,275,136,139,0,TRUE,TRUE,TRUE,TRUE,"LDT","BT1","BT2","BT1_vs_BT2","LDT endpoints are available in BT1 and the alternative LDT+NTT context.","continuous_or_derived","latency","latency",136,139,TRUE,TRUE,TRUE,"retained: endpoint present in both compared batteries"
"mov_total","NTT locomotion","NTT","continuous derived","yes","yes_if_justified","yes_if_comparable","total movement time; can overlap with distance and velocity","mov_total","mov_total","mov_total","mov_total",TRUE,TRUE,TRUE,FALSE,275,136,139,0,TRUE,TRUE,TRUE,TRUE,"NTT","BT1","BT2","BT1_vs_BT2","NTT endpoints are available in BT1 and the alternative LDT+NTT context.","continuous_or_derived","mov_total","mov_total",136,139,TRUE,TRUE,TRUE,"retained: endpoint present in both compared batteries"
"mtpc","LDT transition behavior","LDT","continuous derived","yes","yes_if_justified","yes_if_comparable","mean time per choice or entry; derived from LDT variables","mtpc","mtpc","mtpc","mtpc",TRUE,TRUE,TRUE,FALSE,274,136,138,0,TRUE,TRUE,TRUE,TRUE,"LDT","BT1","BT2","BT1_vs_BT2","LDT endpoints are available in BT1 and the alternative LDT+NTT context.","continuous_or_derived","mtpc","mtpc",136,138,TRUE,TRUE,TRUE,"retained: endpoint present in both compared batteries"
"num_changes","LDT transition behavior","LDT","count","yes","yes_if_justified","yes_if_comparable","compartment changes; inspect count assumptions if modeled","num_changes","num_changes","num_changes","num_changes",TRUE,TRUE,TRUE,FALSE,274,136,138,0,TRUE,TRUE,TRUE,TRUE,"LDT","BT1","BT2","BT1_vs_BT2","LDT endpoints are available in BT1 and the alternative LDT+NTT context.","count_or_discrete","num_changes","num_changes",136,138,TRUE,TRUE,TRUE,"retained: endpoint present in both compared batteries"
"resistance_index","endurance","RN","continuous derived","yes","yes","BT1_vs_BT3_if_comparable","validated manuscript endurance variable","resistance_index","resistance_index","resistance_index","resistance_index",TRUE,TRUE,FALSE,TRUE,271,136,0,135,TRUE,TRUE,TRUE,TRUE,"RN","BT1","BT3","BT1_vs_BT3","Endurance endpoints are available in BT1 and the isolated endurance context.","continuous_or_derived","resistance_index","resistance_index",136,135,TRUE,TRUE,TRUE,"retained: endpoint present in both compared batteries"
