"variable","domain","source_test","data_type","endpoint_type","comparison","dataset_a","dataset_b","resolved_column_a","resolved_column_b","n_nonmissing_a","n_nonmissing_b","notes"
"attempts","endurance","RN","count","count_or_discrete","BT1_vs_BT3","BT1","BT3","attempts","attempts",136,135,"number of resistance attempts"
"dist_total","NTT locomotion","NTT","continuous","continuous_or_derived","BT1_vs_BT2","BT1","BT2","dist_total","dist_total",136,139,"total distance traveled"
"first_choice_binary","LDT first choice","LDT","binary","binary","BT1_vs_BT2","BT1","BT2","first_choice_binary","first_choice_binary",135,138,"bright/dark first choice; no-choice handling must be explicit"
"last_flux","endurance","RN","ordinal/step","count_or_discrete","BT1_vs_BT3","BT1","BT3","last_flux","last_flux",136,135,"supportive endurance endpoint, not part of the fixed PCA set unless revised"
"latency","LDT decision latency","LDT","continuous or censored","continuous_or_derived","BT1_vs_BT2","BT1","BT2","latency","latency",136,139,"latency to first choice; check no-choice and zero behavior"
"mov_total","NTT locomotion","NTT","continuous derived","continuous_or_derived","BT1_vs_BT2","BT1","BT2","mov_total","mov_total",136,139,"total movement time; can overlap with distance and velocity"
"mtpc","LDT transition behavior","LDT","continuous derived","continuous_or_derived","BT1_vs_BT2","BT1","BT2","mtpc","mtpc",136,138,"mean time per choice or entry; derived from LDT variables"
"num_changes","LDT transition behavior","LDT","count","count_or_discrete","BT1_vs_BT2","BT1","BT2","num_changes","num_changes",136,138,"compartment changes; inspect count assumptions if modeled"
"resistance_index","endurance","RN","continuous derived","continuous_or_derived","BT1_vs_BT3","BT1","BT3","resistance_index","resistance_index",136,135,"validated manuscript endurance variable"
"stratum_pref","NTT spatial position","NTT","bounded/proportion-like","bounded_continuous_or_proportion","BT1_vs_BT2","BT1","BT2","stratum_pref","stratum_pref",136,139,"upper/lower stratum preference or exploration"
"time_bright","LDT phototaxis","LDT","bounded continuous","bounded_continuous_or_proportion","BT1_vs_BT2","BT1","BT2","time_bright","time_bright",136,138,"bright compartment time; raw time or proportion must be documented"
"time_in_last_flux","endurance","RN","bounded continuous","bounded_continuous_or_proportion","BT1_vs_BT3","BT1","BT3","time_in_last_flux","time_in_last_flux",136,135,"supportive endurance endpoint, not part of the fixed PCA set unless revised"
"vel_mean","NTT locomotion","NTT","continuous derived","continuous_or_derived","BT1_vs_BT2","BT1","BT2","vel_mean","vel_mean",136,139,"mean locomotor intensity; no primary/secondary label used"
