var1,var2,correlation,abs_correlation
dist_total,vel_mean,0.8880770765477243,0.8880770765477243
dist_total,mov_total,0.6785730605910251,0.6785730605910251
mtpc,time_bright,0.4787257184526054,0.4787257184526054
first_choice_binary,time_bright,0.41385967104174654,0.41385967104174654
mov_total,stratum_pref,0.41090618036007365,0.41090618036007365
mov_total,vel_mean,0.3942084681406801,0.3942084681406801
dist_total,stratum_pref,0.3916018430085907,0.3916018430085907
mtpc,num_changes,-0.3611096991857396,0.3611096991857396
attempts,resistance_index,-0.35088635246226574,0.35088635246226574
mov_total,num_changes,0.34549019494835975,0.34549019494835975
dist_total,num_changes,0.3301870532181435,0.3301870532181435
stratum_pref,vel_mean,0.31684036081584954,0.31684036081584954
latency,num_changes,-0.248757170251919,0.248757170251919
condition_factor,stratum_pref,-0.2442960743246591,0.2442960743246591
num_changes,vel_mean,0.22188373880724926,0.22188373880724926
resistance_index,time_bright,-0.21779195075426036,0.21779195075426036
attempts,time_bright,0.2163086797509402,0.2163086797509402
latency,time_bright,-0.2148167362412619,0.2148167362412619
first_choice_binary,mtpc,0.1868822663704487,0.1868822663704487
condition_factor,mov_total,-0.18437949372781245,0.18437949372781245
attempts,mtpc,0.18208750791465766,0.18208750791465766
blood_sugar,num_changes,0.1748570817582942,0.1748570817582942
attempts,first_choice_binary,0.16329545125018888,0.16329545125018888
blood_sugar,time_bright,0.16278823751411736,0.16278823751411736
attempts,num_changes,-0.1599354082324884,0.1599354082324884
dist_total,resistance_index,0.15925615538098592,0.15925615538098592
condition_factor,first_choice_binary,-0.15674031532143406,0.15674031532143406
num_changes,stratum_pref,0.13413312474393285,0.13413312474393285
mov_total,mtpc,-0.13283190220060237,0.13283190220060237
resistance_index,stratum_pref,0.12691757603620826,0.12691757603620826
stratum_pref,time_bright,0.12427841736871427,0.12427841736871427
latency,mov_total,-0.12374556953971202,0.12374556953971202
blood_sugar,dist_total,0.11780284677033474,0.11780284677033474
mov_total,resistance_index,0.11577871549953682,0.11577871549953682
blood_sugar,condition_factor,0.1130110774048297,0.1130110774048297
first_choice_binary,mov_total,0.1030854062495154,0.1030854062495154
resistance_index,vel_mean,0.10169525726737182,0.10169525726737182
condition_factor,resistance_index,0.09896368156245937,0.09896368156245937
attempts,mov_total,-0.09287370321443657,0.09287370321443657
blood_sugar,mov_total,0.0837071802946393,0.0837071802946393
time_bright,vel_mean,0.08346571867434999,0.08346571867434999
blood_sugar,vel_mean,0.08212203536883857,0.08212203536883857
condition_factor,time_bright,-0.0807120790660358,0.0807120790660358
num_changes,time_bright,0.07083516574826783,0.07083516574826783
blood_sugar,mtpc,-0.07039017131192844,0.07039017131192844
dist_total,first_choice_binary,0.0700003909523129,0.0700003909523129
blood_sugar,stratum_pref,0.06986037753541431,0.06986037753541431
first_choice_binary,resistance_index,-0.06579889445636335,0.06579889445636335
first_choice_binary,vel_mean,0.06462092324030373,0.06462092324030373
mtpc,resistance_index,-0.05874939881583357,0.05874939881583357
attempts,dist_total,-0.058091652533942766,0.058091652533942766
latency,mtpc,0.056471896683555664,0.056471896683555664
dist_total,mtpc,-0.05309908214770125,0.05309908214770125
attempts,condition_factor,-0.05306851408353871,0.05306851408353871
mov_total,time_bright,-0.04537339384067059,0.04537339384067059
dist_total,latency,-0.04235671484674493,0.04235671484674493
attempts,latency,-0.041485477552422274,0.041485477552422274
attempts,stratum_pref,-0.0397257345898251,0.0397257345898251
first_choice_binary,stratum_pref,0.03686060372673748,0.03686060372673748
mtpc,vel_mean,0.03334958379984053,0.03334958379984053
first_choice_binary,latency,-0.02842552110146184,0.02842552110146184
condition_factor,latency,-0.02398748998613288,0.02398748998613288
condition_factor,dist_total,0.019515683410961375,0.019515683410961375
first_choice_binary,num_changes,-0.017234167033988935,0.017234167033988935
condition_factor,mtpc,-0.01606054846974813,0.01606054846974813
condition_factor,vel_mean,0.015455051427448236,0.015455051427448236
attempts,vel_mean,0.013168711247566502,0.013168711247566502
blood_sugar,resistance_index,0.0131030641337669,0.0131030641337669
latency,resistance_index,0.012611959577968065,0.012611959577968065
attempts,blood_sugar,-0.011184321739564398,0.011184321739564398
condition_factor,num_changes,0.010759086616102366,0.010759086616102366
num_changes,resistance_index,0.008838559584698246,0.008838559584698246
latency,vel_mean,0.008048757021638167,0.008048757021638167
latency,stratum_pref,0.0039370924736208636,0.0039370924736208636
mtpc,stratum_pref,-0.003548319494125459,0.003548319494125459
dist_total,time_bright,-0.001046960194143585,0.001046960194143585
blood_sugar,latency,6.962721557136124e-4,6.962721557136124e-4
blood_sugar,first_choice_binary,9.33450396690288e-5,9.33450396690288e-5
