component,component_number,eigenvalue,variance_explained,cumulative_variance,kaiser_gt_1,elbow_component,interpreted_in_notebook
PC1,1,2.8766196109086737,0.22127843160835953,0.22127843160835953,TRUE,FALSE,TRUE
PC2,2,2.0467897201606298,0.1574453630892792,0.3787237946976387,TRUE,FALSE,TRUE
PC3,3,1.3639707021866136,0.10492082324512413,0.48364461794276287,TRUE,TRUE,TRUE
PC4,4,1.2217646543383776,0.09398189648756751,0.5776265144303303,TRUE,FALSE,FALSE
PC5,5,1.0922135733582896,0.08401642871986843,0.6616429431501988,TRUE,FALSE,FALSE
PC6,6,0.9797547122084459,0.07536574709295737,0.7370086902431562,FALSE,FALSE,FALSE
PC7,7,0.8245358758799709,0.06342583660615161,0.8004345268493078,FALSE,FALSE,FALSE
PC8,8,0.6961714327878449,0.053551648675988064,0.8539861755252959,FALSE,FALSE,FALSE
PC9,9,0.5849114298289745,0.044993186909921115,0.8989793624352169,FALSE,FALSE,FALSE
PC10,10,0.5300588802992517,0.04077376002301936,0.9397531224582363,FALSE,FALSE,FALSE
PC11,11,0.4762437917410013,0.036634137826230866,0.9763872602844672,FALSE,FALSE,FALSE
PC12,12,0.2642677435216336,0.020328287963202588,0.9967155482476697,FALSE,FALSE,FALSE
PC13,13,0.04269787278029278,0.0032844517523302136,1,FALSE,FALSE,FALSE
