endpoint,component,loading,abs_loading,domain,pca_role
dist_total,PC1,0.539595179393793,0.539595179393793,NTT locomotion,fixed_full_battery_endpoint
mov_total,PC1,0.4642135558398419,0.4642135558398419,NTT locomotion,fixed_full_battery_endpoint
vel_mean,PC1,0.4592574303796094,0.4592574303796094,NTT locomotion,fixed_full_battery_endpoint
stratum_pref,PC1,0.3408855650556667,0.3408855650556667,NTT spatial position,fixed_full_battery_endpoint
num_changes,PC1,0.31136244372497757,0.31136244372497757,LDT transition behavior,fixed_full_battery_endpoint
resistance_index,PC1,0.13765520062143427,0.13765520062143427,Endurance,fixed_full_battery_endpoint
blood_sugar,PC1,0.12005131624917051,0.12005131624917051,Physiology,conditional_supportive_physiology
mtpc,PC1,-0.10961534701257164,0.10961534701257164,LDT transition behavior,fixed_full_battery_endpoint
attempts,PC1,-0.096385995334526825,0.096385995334526825,Endurance,fixed_full_battery_endpoint
latency,PC1,-0.08414187755580378,0.08414187755580378,LDT decision latency,fixed_full_battery_endpoint
condition_factor,PC1,-0.06496854815892926,0.06496854815892926,Biometry / condition,conditional_condition_factor
first_choice_binary,PC1,0.05285650618925001,0.05285650618925001,LDT first choice,fixed_full_battery_endpoint
time_bright,PC1,0.022677180629201515,0.022677180629201515,LDT phototaxis,fixed_full_battery_endpoint
mov_total,PC10,0.6153695386567958,0.6153695386567958,NTT locomotion,fixed_full_battery_endpoint
resistance_index,PC10,-0.37762090279796734,0.37762090279796734,Endurance,fixed_full_battery_endpoint
condition_factor,PC10,0.3656342983191327,0.3656342983191327,Biometry / condition,conditional_condition_factor
vel_mean,PC10,-0.3621739456220077,0.3621739456220077,NTT locomotion,fixed_full_battery_endpoint
num_changes,PC10,-0.3011080201309711,0.3011080201309711,LDT transition behavior,fixed_full_battery_endpoint
attempts,PC10,-0.23634847768945233,0.23634847768945233,Endurance,fixed_full_battery_endpoint
time_bright,PC10,-0.14456171743545793,0.14456171743545793,LDT phototaxis,fixed_full_battery_endpoint
mtpc,PC10,0.14008508457179156,0.14008508457179156,LDT transition behavior,fixed_full_battery_endpoint
first_choice_binary,PC10,0.11608633788118872,0.11608633788118872,LDT first choice,fixed_full_battery_endpoint
stratum_pref,PC10,0.08983630000006851,0.08983630000006851,NTT spatial position,fixed_full_battery_endpoint
latency,PC10,-0.0600339130479489,0.0600339130479489,LDT decision latency,fixed_full_battery_endpoint
blood_sugar,PC10,0.04078576907307568,0.04078576907307568,Physiology,conditional_supportive_physiology
dist_total,PC10,-0.0012905784921796062,0.0012905784921796062,NTT locomotion,fixed_full_battery_endpoint
num_changes,PC11,-0.48951886616740636,0.48951886616740636,LDT transition behavior,fixed_full_battery_endpoint
mov_total,PC11,-0.3841882330020301,0.3841882330020301,NTT locomotion,fixed_full_battery_endpoint
mtpc,PC11,-0.35900637149197073,0.35900637149197073,LDT transition behavior,fixed_full_battery_endpoint
attempts,PC11,-0.34315047243956054,0.34315047243956054,Endurance,fixed_full_battery_endpoint
vel_mean,PC11,0.30858039724134684,0.30858039724134684,NTT locomotion,fixed_full_battery_endpoint
latency,PC11,-0.30627794435067224,0.30627794435067224,LDT decision latency,fixed_full_battery_endpoint
resistance_index,PC11,-0.28653962334001637,0.28653962334001637,Endurance,fixed_full_battery_endpoint
stratum_pref,PC11,0.20205521767593787,0.20205521767593787,NTT spatial position,fixed_full_battery_endpoint
first_choice_binary,PC11,0.19667881319550015,0.19667881319550015,LDT first choice,fixed_full_battery_endpoint
blood_sugar,PC11,0.09656724093715643,0.09656724093715643,Physiology,conditional_supportive_physiology
dist_total,PC11,0.07243617757843422,0.07243617757843422,NTT locomotion,fixed_full_battery_endpoint
time_bright,PC11,-0.026620947301184722,0.026620947301184722,LDT phototaxis,fixed_full_battery_endpoint
condition_factor,PC11,-0.014494483461921764,0.014494483461921764,Biometry / condition,conditional_condition_factor
time_bright,PC12,0.6563779679299409,0.6563779679299409,LDT phototaxis,fixed_full_battery_endpoint
mtpc,PC12,-0.4793773514961284,0.4793773514961284,LDT transition behavior,fixed_full_battery_endpoint
num_changes,PC12,-0.3094438435003146,0.3094438435003146,LDT transition behavior,fixed_full_battery_endpoint
mov_total,PC12,0.2706219243896567,0.2706219243896567,NTT locomotion,fixed_full_battery_endpoint
first_choice_binary,PC12,-0.2626278783627851,0.2626278783627851,LDT first choice,fixed_full_battery_endpoint
stratum_pref,PC12,-0.19636924526557875,0.19636924526557875,NTT spatial position,fixed_full_battery_endpoint
latency,PC12,0.16102094850589427,0.16102094850589427,LDT decision latency,fixed_full_battery_endpoint
blood_sugar,PC12,-0.13563942127593603,0.13563942127593603,Physiology,conditional_supportive_physiology
resistance_index,PC12,0.12953187148988687,0.12953187148988687,Endurance,fixed_full_battery_endpoint
vel_mean,PC12,-0.02604870623349738,0.02604870623349738,NTT locomotion,fixed_full_battery_endpoint
condition_factor,PC12,0.022328574553947142,0.022328574553947142,Biometry / condition,conditional_condition_factor
dist_total,PC12,0.01992273112336794,0.01992273112336794,NTT locomotion,fixed_full_battery_endpoint
attempts,PC12,0.01268846411727108,0.01268846411727108,Endurance,fixed_full_battery_endpoint
dist_total,PC13,0.7591805545022956,0.7591805545022956,NTT locomotion,fixed_full_battery_endpoint
vel_mean,PC13,-0.5737164516352184,0.5737164516352184,NTT locomotion,fixed_full_battery_endpoint
mov_total,PC13,-0.2953620979173892,0.2953620979173892,NTT locomotion,fixed_full_battery_endpoint
condition_factor,PC13,-0.060398034713642704,0.060398034713642704,Biometry / condition,conditional_condition_factor
time_bright,PC13,0.04668908809954185,0.04668908809954185,LDT phototaxis,fixed_full_battery_endpoint
num_changes,PC13,-0.023724804609915495,0.023724804609915495,LDT transition behavior,fixed_full_battery_endpoint
blood_sugar,PC13,-0.014930796296116884,0.014930796296116884,Physiology,conditional_supportive_physiology
first_choice_binary,PC13,-0.014617830190403958,0.014617830190403958,LDT first choice,fixed_full_battery_endpoint
mtpc,PC13,-0.012908704756526692,0.012908704756526692,LDT transition behavior,fixed_full_battery_endpoint
resistance_index,PC13,-0.009952404474411612,0.009952404474411612,Endurance,fixed_full_battery_endpoint
stratum_pref,PC13,-0.008787654549026691,0.008787654549026691,NTT spatial position,fixed_full_battery_endpoint
attempts,PC13,0.008375626673052979,0.008375626673052979,Endurance,fixed_full_battery_endpoint
latency,PC13,0.0039014559384391648,0.0039014559384391648,LDT decision latency,fixed_full_battery_endpoint
time_bright,PC2,-0.561190704523242,0.561190704523242,LDT phototaxis,fixed_full_battery_endpoint
mtpc,PC2,-0.449895713334435,0.449895713334435,LDT transition behavior,fixed_full_battery_endpoint
first_choice_binary,PC2,-0.42335514957080134,0.42335514957080134,LDT first choice,fixed_full_battery_endpoint
attempts,PC2,-0.38091038137313493,0.38091038137313493,Endurance,fixed_full_battery_endpoint
resistance_index,PC2,0.28662079258955203,0.28662079258955203,Endurance,fixed_full_battery_endpoint
condition_factor,PC2,0.17879943996764183,0.17879943996764183,Biometry / condition,conditional_condition_factor
num_changes,PC2,0.11291975113919749,0.11291975113919749,LDT transition behavior,fixed_full_battery_endpoint
stratum_pref,PC2,-0.10483442634236385,0.10483442634236385,NTT spatial position,fixed_full_battery_endpoint
vel_mean,PC2,-0.10035528170928515,0.10035528170928515,NTT locomotion,fixed_full_battery_endpoint
latency,PC2,0.09071099238407869,0.09071099238407869,LDT decision latency,fixed_full_battery_endpoint
dist_total,PC2,-0.03521774032313619,0.03521774032313619,NTT locomotion,fixed_full_battery_endpoint
