flag_column,n_flagged,pct_flagged
datetime_parse_failed_flag,0,0
no_choice_flag,1,0.007352941176470588
first_choice_nonbinary_flag,1,0.007352941176470588
ldt_present_flag,136,1
ntt_present_flag,136,1
endurance_present_flag,136,1
blood_sugar_missing_flag,25,0.18382352941176472
sex_missing_flag,9,0.0661764705882353
ldt_time_bright_gt_480_flag,1,0.007352941176470588
ldt_time_bright_gt_600_flag,0,0
ntt_mov_total_gt_480_flag,0,0
zero_motion_flag,4,0.029411764705882353
low_motion_flag,4,0.029411764705882353
impossible_value_flag,0,0
tracking_failure_flag,0,0
missing_critical_field_flag,0,0
distance_outlier_flag,3,0.022058823529411766
manual_review_flag,8,0.058823529411764705
global_exclusion_flag,0,0
