component,variable,times_top_loading,pct_top_loading,median_abs_loading_when_top
PC1,dist_total,492,0.984,0.512728692475094
PC1,mov_total,8,0.016,0.47107161880842763
PC2,time_bright,376,0.752,0.5298119374042081
PC2,mtpc,81,0.162,0.49912695439141325
PC2,first_choice_binary,13,0.026,0.4608487264039676
PC2,attempts,10,0.02,0.4605855738240038
PC2,Kc,5,0.01,0.4912202264305952
PC2,num_changes,5,0.01,0.4992086605428654
PC2,resistance_index,4,0.008,0.4486166318491252
PC2,vel_mean,4,0.008,0.46375636100731193
PC2,latency,2,0.004,0.5760735065389583
PC3,latency,158,0.316,0.545504641758636
PC3,Kc,110,0.22,0.5450852647416513
PC3,num_changes,87,0.174,0.5325804724630415
PC3,mtpc,37,0.074,0.5184953923968417
PC3,resistance_index,33,0.066,0.4970867397692517
PC3,blood_sugar,30,0.06,0.5270940658452454
PC3,time_bright,16,0.032,0.5233062769272829
PC3,stratum_pref,10,0.02,0.493748433515814
PC3,vel_mean,10,0.02,0.48526506323759133
PC3,attempts,7,0.014,0.5294555734374087
PC3,first_choice_binary,2,0.004,0.49829889225372004
PC4,Kc,131,0.262,0.5885962770766897
PC4,blood_sugar,106,0.212,0.6096823852251863
PC4,resistance_index,84,0.168,0.5716784924355751
PC4,latency,72,0.144,0.572209610028823
PC4,attempts,31,0.062,0.5170309715413608
PC4,num_changes,28,0.056,0.514308453921063
PC4,mtpc,26,0.052,0.534145975676068
PC4,time_bright,7,0.014,0.49298632521440855
PC4,vel_mean,7,0.014,0.43742963324382744
PC4,first_choice_binary,4,0.008,0.5187614739741133
PC4,stratum_pref,3,0.006,0.578291419578626
PC4,mov_total,1,0.002,0.47439150867710694
PC5,blood_sugar,157,0.314,0.6585823462062063
PC5,latency,84,0.168,0.5963155171995663
PC5,resistance_index,73,0.146,0.5688761931761412
PC5,Kc,60,0.12,0.5625121903920249
PC5,attempts,50,0.1,0.5438767139627517
PC5,first_choice_binary,31,0.062,0.5862008918486704
PC5,stratum_pref,17,0.034,0.5341003060951504
PC5,mtpc,15,0.03,0.5146834797086607
PC5,vel_mean,8,0.016,0.445920763056911
PC5,num_changes,3,0.006,0.5032067330723502
PC5,mov_total,1,0.002,0.5282108651611204
PC5,time_bright,1,0.002,0.46248838421363697
