variable,component,loading,planned_variable,domain,abs_loading
dist_total,PC1,0.539595179393793,dist_total,NTT locomotion,0.539595179393793
mov_total,PC1,0.4642135558398419,mov_total,NTT locomotion,0.4642135558398419
vel_mean,PC1,0.4592574303796094,vel_mean,NTT locomotion,0.4592574303796094
stratum_pref,PC1,0.3408855650556667,stratum_pref,NTT spatial position,0.3408855650556667
num_changes,PC1,0.31136244372497757,num_changes,LDT transition behavior,0.31136244372497757
resistance_index,PC1,0.13765520062143427,resistance_index,Endurance,0.13765520062143427
blood_sugar,PC1,0.12005131624917051,blood_sugar,Physiology,0.12005131624917051
mtpc,PC1,-0.10961534701257164,mtpc,LDT transition behavior,0.10961534701257164
attempts,PC1,-0.096385995334526825,attempts,Endurance,0.096385995334526825
latency,PC1,-0.08414187755580378,latency,LDT decision latency,0.08414187755580378
Kc,PC1,-0.06496854815892926,condition_factor,Biometry/condition,0.06496854815892926
first_choice_binary,PC1,0.05285650618925001,first_choice_binary,LDT first choice,0.05285650618925001
time_bright,PC1,0.022677180629201515,time_bright,LDT phototaxis,0.022677180629201515
mov_total,PC10,0.6153695386567958,mov_total,NTT locomotion,0.6153695386567958
resistance_index,PC10,-0.37762090279796734,resistance_index,Endurance,0.37762090279796734
Kc,PC10,0.3656342983191327,condition_factor,Biometry/condition,0.3656342983191327
vel_mean,PC10,-0.3621739456220077,vel_mean,NTT locomotion,0.3621739456220077
num_changes,PC10,-0.3011080201309711,num_changes,LDT transition behavior,0.3011080201309711
attempts,PC10,-0.23634847768945233,attempts,Endurance,0.23634847768945233
time_bright,PC10,-0.14456171743545793,time_bright,LDT phototaxis,0.14456171743545793
mtpc,PC10,0.14008508457179156,mtpc,LDT transition behavior,0.14008508457179156
first_choice_binary,PC10,0.11608633788118872,first_choice_binary,LDT first choice,0.11608633788118872
stratum_pref,PC10,0.08983630000006851,stratum_pref,NTT spatial position,0.08983630000006851
latency,PC10,-0.0600339130479489,latency,LDT decision latency,0.0600339130479489
blood_sugar,PC10,0.04078576907307568,blood_sugar,Physiology,0.04078576907307568
dist_total,PC10,-0.0012905784921796062,dist_total,NTT locomotion,0.0012905784921796062
num_changes,PC11,-0.48951886616740636,num_changes,LDT transition behavior,0.48951886616740636
mov_total,PC11,-0.3841882330020301,mov_total,NTT locomotion,0.3841882330020301
mtpc,PC11,-0.35900637149197073,mtpc,LDT transition behavior,0.35900637149197073
attempts,PC11,-0.34315047243956054,attempts,Endurance,0.34315047243956054
vel_mean,PC11,0.30858039724134684,vel_mean,NTT locomotion,0.30858039724134684
latency,PC11,-0.30627794435067224,latency,LDT decision latency,0.30627794435067224
resistance_index,PC11,-0.28653962334001637,resistance_index,Endurance,0.28653962334001637
stratum_pref,PC11,0.20205521767593787,stratum_pref,NTT spatial position,0.20205521767593787
first_choice_binary,PC11,0.19667881319550015,first_choice_binary,LDT first choice,0.19667881319550015
blood_sugar,PC11,0.09656724093715643,blood_sugar,Physiology,0.09656724093715643
dist_total,PC11,0.07243617757843422,dist_total,NTT locomotion,0.07243617757843422
time_bright,PC11,-0.026620947301184722,time_bright,LDT phototaxis,0.026620947301184722
Kc,PC11,-0.014494483461921764,condition_factor,Biometry/condition,0.014494483461921764
time_bright,PC12,0.6563779679299409,time_bright,LDT phototaxis,0.6563779679299409
mtpc,PC12,-0.4793773514961284,mtpc,LDT transition behavior,0.4793773514961284
num_changes,PC12,-0.3094438435003146,num_changes,LDT transition behavior,0.3094438435003146
mov_total,PC12,0.2706219243896567,mov_total,NTT locomotion,0.2706219243896567
first_choice_binary,PC12,-0.2626278783627851,first_choice_binary,LDT first choice,0.2626278783627851
stratum_pref,PC12,-0.19636924526557875,stratum_pref,NTT spatial position,0.19636924526557875
latency,PC12,0.16102094850589427,latency,LDT decision latency,0.16102094850589427
blood_sugar,PC12,-0.13563942127593603,blood_sugar,Physiology,0.13563942127593603
resistance_index,PC12,0.12953187148988687,resistance_index,Endurance,0.12953187148988687
vel_mean,PC12,-0.02604870623349738,vel_mean,NTT locomotion,0.02604870623349738
Kc,PC12,0.022328574553947142,condition_factor,Biometry/condition,0.022328574553947142
dist_total,PC12,0.01992273112336794,dist_total,NTT locomotion,0.01992273112336794
attempts,PC12,0.01268846411727108,attempts,Endurance,0.01268846411727108
dist_total,PC13,0.7591805545022956,dist_total,NTT locomotion,0.7591805545022956
vel_mean,PC13,-0.5737164516352184,vel_mean,NTT locomotion,0.5737164516352184
mov_total,PC13,-0.2953620979173892,mov_total,NTT locomotion,0.2953620979173892
Kc,PC13,-0.060398034713642704,condition_factor,Biometry/condition,0.060398034713642704
time_bright,PC13,0.04668908809954185,time_bright,LDT phototaxis,0.04668908809954185
num_changes,PC13,-0.023724804609915495,num_changes,LDT transition behavior,0.023724804609915495
blood_sugar,PC13,-0.014930796296116884,blood_sugar,Physiology,0.014930796296116884
first_choice_binary,PC13,-0.014617830190403958,first_choice_binary,LDT first choice,0.014617830190403958
mtpc,PC13,-0.012908704756526692,mtpc,LDT transition behavior,0.012908704756526692
resistance_index,PC13,-0.009952404474411612,resistance_index,Endurance,0.009952404474411612
stratum_pref,PC13,-0.008787654549026691,stratum_pref,NTT spatial position,0.008787654549026691
attempts,PC13,0.008375626673052979,attempts,Endurance,0.008375626673052979
latency,PC13,0.0039014559384391648,latency,LDT decision latency,0.0039014559384391648
time_bright,PC2,-0.561190704523242,time_bright,LDT phototaxis,0.561190704523242
mtpc,PC2,-0.449895713334435,mtpc,LDT transition behavior,0.449895713334435
first_choice_binary,PC2,-0.42335514957080134,first_choice_binary,LDT first choice,0.42335514957080134
attempts,PC2,-0.38091038137313493,attempts,Endurance,0.38091038137313493
resistance_index,PC2,0.28662079258955203,resistance_index,Endurance,0.28662079258955203
Kc,PC2,0.17879943996764183,condition_factor,Biometry/condition,0.17879943996764183
num_changes,PC2,0.11291975113919749,num_changes,LDT transition behavior,0.11291975113919749
stratum_pref,PC2,-0.10483442634236385,stratum_pref,NTT spatial position,0.10483442634236385
vel_mean,PC2,-0.10035528170928515,vel_mean,NTT locomotion,0.10035528170928515
latency,PC2,0.09071099238407869,latency,LDT decision latency,0.09071099238407869
dist_total,PC2,-0.03521774032313619,dist_total,NTT locomotion,0.03521774032313619
blood_sugar,PC2,-0.030320295213064733,blood_sugar,Physiology,0.030320295213064733
mov_total,PC2,-0.003926462945031111,mov_total,NTT locomotion,0.003926462945031111
latency,PC3,-0.5391754411594156,latency,LDT decision latency,0.5391754411594156
num_changes,PC3,0.5228179084828899,num_changes,LDT transition behavior,0.5228179084828899
mtpc,PC3,-0.3159720731837173,mtpc,LDT transition behavior,0.3159720731837173
blood_sugar,PC3,0.31489533192209024,blood_sugar,Physiology,0.31489533192209024
