component,eigenvalue,variance_explained,cumulative_variance
PC1,2.8766196109086737,0.22127843160835953,0.22127843160835953
PC2,2.0467897201606298,0.1574453630892792,0.3787237946976387
PC3,1.3639707021866136,0.10492082324512413,0.48364461794276287
PC4,1.2217646543383776,0.09398189648756751,0.5776265144303303
PC5,1.0922135733582896,0.08401642871986843,0.6616429431501988
PC6,0.9797547122084459,0.07536574709295737,0.7370086902431562
PC7,0.8245358758799709,0.06342583660615161,0.8004345268493078
PC8,0.6961714327878449,0.053551648675988064,0.8539861755252959
PC9,0.5849114298289745,0.044993186909921115,0.8989793624352169
PC10,0.5300588802992517,0.04077376002301936,0.9397531224582363
PC11,0.4762437917410013,0.036634137826230866,0.9763872602844672
PC12,0.2642677435216336,0.020328287963202588,0.9967155482476697
PC13,0.04269787278029278,0.0032844517523302136,1
