,time_bright,mtpc,first_choice_binary,latency,num_changes,dist_total,vel_mean,mov_total,stratum_pref,resistance_index,last_flux,attempts,time_in_last_flux,blood_sugar,condition_factor
time_bright,136,136,135,136,136,136,136,136,136,136,136,136,136,111,136
mtpc,136,136,135,136,136,136,136,136,136,136,136,136,136,111,136
first_choice_binary,135,135,135,135,135,135,135,135,135,135,135,135,135,110,135
latency,136,136,135,136,136,136,136,136,136,136,136,136,136,111,136
num_changes,136,136,135,136,136,136,136,136,136,136,136,136,136,111,136
dist_total,136,136,135,136,136,136,136,136,136,136,136,136,136,111,136
vel_mean,136,136,135,136,136,136,136,136,136,136,136,136,136,111,136
mov_total,136,136,135,136,136,136,136,136,136,136,136,136,136,111,136
stratum_pref,136,136,135,136,136,136,136,136,136,136,136,136,136,111,136
resistance_index,136,136,135,136,136,136,136,136,136,136,136,136,136,111,136
last_flux,136,136,135,136,136,136,136,136,136,136,136,136,136,111,136
attempts,136,136,135,136,136,136,136,136,136,136,136,136,136,111,136
time_in_last_flux,136,136,135,136,136,136,136,136,136,136,136,136,136,111,136
blood_sugar,111,111,110,111,111,111,111,111,111,111,111,111,111,111,111
condition_factor,136,136,135,136,136,136,136,136,136,136,136,136,136,111,136
