,time_bright,mtpc,first_choice_binary,latency,num_changes,dist_total,vel_mean,mov_total,stratum_pref,resistance_index,last_flux,attempts,time_in_last_flux,blood_sugar,condition_factor
time_bright,0.9999999999999998,0.7657460242790604,0.43638573989889595,-0.18024540805592812,0.17467154256906503,-0.022391869749112853,0.05866832099618403,-0.07911050378928972,0.08692482831872635,-0.23838771873353398,-0.24077009226377344,0.23312470787615108,0.02822711633318696,0.16529901180338644,-0.18005637660931534
mtpc,0.7657460242790604,1.0,0.44529128985995226,-0.032602495679217074,-0.2867900956593807,-0.12170983988506474,0.03212181724558296,-0.2586287755414533,0.014938888115845629,-0.2346024196222011,-0.2472306253591667,0.3317232700506266,0.0730584545254814,0.09972662611607216,-0.17935666878250878
first_choice_binary,0.4363857398988959,0.4452912898599522,0.9999999999999999,-0.14218246574321905,0.09758920170290862,0.05535536037382977,0.07644311670671732,-0.04989026762841331,0.0914652674966769,-0.03670192559106916,-0.0328432187952344,0.06479072246204949,-0.09229382957013021,0.007684092296000199,-0.1115281804832809
latency,-0.18024540805592812,-0.032602495679217074,-0.14218246574321908,1.0,-0.11502644179936594,-0.017164950272308382,0.005706573278936076,0.010668855104174266,0.03226284243812289,0.11771571848771563,0.12883537716704546,-0.036404513228323006,-0.01940363302010271,-0.04206565544817992,0.018892304318369378
num_changes,0.174671542569065,-0.2867900956593807,0.0975892017029086,-0.11502644179936593,0.9999999999999998,0.3042869202334022,0.17635920929232943,0.379912565887469,0.19049002539255344,0.014131596139447925,0.014594821583572658,-0.19617155914239356,0.06110933594410241,0.09954399892935478,0.03559608542647115
dist_total,-0.022391869749112853,-0.12170983988506476,0.055355360373829765,-0.017164950272308382,0.3042869202334022,1.0,0.8725746046134394,0.38766639281332277,0.4356932974867095,0.2710965596181364,0.24811134985852207,-0.2208481589088069,0.18998836817160358,0.07531307330512821,0.1607745003856393
vel_mean,0.05866832099618403,0.03212181724558296,0.0764431167067173,0.005706573278936076,0.17635920929232943,0.8725746046134394,1.0,0.053310302499466916,0.3386904422906548,0.191897613978527,0.18591073290234658,-0.16242256520801746,0.12240963805477081,0.028152451545426622,0.11948738825966079
mov_total,-0.07911050378928972,-0.2586287755414533,-0.04989026762841331,0.010668855104174266,0.379912565887469,0.38766639281332277,0.05331030249946692,0.9999999999999998,0.36507315303896065,0.261791119650218,0.22358053923120128,-0.14942641427933853,0.19817387152869953,-0.07471094207594776,0.016474293732608683
stratum_pref,0.08692482831872636,0.01493888811584563,0.0914652674966769,0.03226284243812289,0.19049002539255344,0.43569329748670954,0.3386904422906548,0.36507315303896065,1.0,0.1956589970197428,0.20231050591322486,-0.04102845906815108,0.03263925744625928,-0.0071754114278059595,-0.10774179092475253
resistance_index,-0.23838771873353398,-0.2346024196222011,-0.03670192559106917,0.11771571848771563,0.014131596139447925,0.2710965596181364,0.191897613978527,0.261791119650218,0.1956589970197428,1.0,0.9819998105867505,-0.3673986385574776,0.15551040875206876,-0.06862136377624255,0.13677613597155622
last_flux,-0.24077009226377344,-0.24723062535916673,-0.0328432187952344,0.12883537716704546,0.014594821583572655,0.24811134985852204,0.18591073290234658,0.22358053923120128,0.20231050591322486,0.9819998105867505,0.9999999999999998,-0.3623746256513503,-0.007125209286349236,-0.018128667396460824,0.15506204082230526
attempts,0.23312470787615108,0.3317232700506266,0.06479072246204949,-0.036404513228323006,-0.19617155914239356,-0.22084815890880688,-0.16242256520801746,-0.1494264142793385,-0.04102845906815108,-0.3673986385574776,-0.3623746256513503,1.0,-0.024234247934888157,0.0627637214420384,-0.1629968638847149
time_in_last_flux,0.028227116333186954,0.07305845452548139,-0.09229382957013023,-0.01940363302010271,0.061109335944102415,0.18998836817160358,0.1224096380547708,0.19817387152869953,0.03263925744625928,0.15551040875206876,-0.0071252092863492355,-0.024234247934888153,0.9999999999999998,-0.15497542609405174,-0.045976588686564304
blood_sugar,0.16529901180338644,0.09972662611607216,0.007684092296000199,-0.042065655448179924,0.09954399892935478,0.0753130733051282,0.02815245154542662,-0.07471094207594776,-0.0071754114278059595,-0.06862136377624255,-0.018128667396460827,0.0627637214420384,-0.15497542609405177,0.9999999999999998,0.10829804507597489
condition_factor,-0.18005637660931534,-0.17935666878250878,-0.11152818048328089,0.018892304318369375,0.03559608542647115,0.1607745003856393,0.11948738825966079,0.016474293732608683,-0.10774179092475253,0.13677613597155622,0.15506204082230526,-0.1629968638847149,-0.045976588686564304,0.10829804507597489,1.0
