,time_bright,mtpc,first_choice_binary,latency,num_changes,dist_total,vel_mean,mov_total,stratum_pref,resistance_index,last_flux,attempts,time_in_last_flux,blood_sugar,condition_factor
time_bright,0.0,0.0,2.227652595720997e-08,0.033902139901706985,0.04002034701763901,0.7954272034762937,0.4963102686860097,0.3582789465868288,0.3124709496543663,0.004490799874286244,0.004084108095292471,0.005518886353099717,0.7437565715064884,0.0801452215906866,0.03409600322796802
mtpc,0.0,0.0,9.73118696734332e-09,0.7057263479810856,0.0005294333356760106,0.15576908520129473,0.7098713330583388,0.0019398346756529516,0.8626911759311757,0.005211085382126557,0.0031410028879301777,4.6920997491151084e-05,0.3964497543797971,0.29537964907559155,0.034821681537889226
first_choice_binary,2.227652595720997e-08,9.73118696734332e-09,0.0,0.09760886053248896,0.2581176512446497,0.5225825900630072,0.37660328147108846,0.564561093130562,0.2894772451823935,0.6718921156750803,0.7047094545076436,0.4539920249589393,0.28509362921643167,0.9363503634529313,0.1955685888142391
latency,0.033902139901706985,0.7057263479810856,0.09760886053248896,0.0,0.18010737788305664,0.8424755645229647,0.9473305047244995,0.9017048745994782,0.7086543683413926,0.17000168530954252,0.13260430632391018,0.673249674946591,0.8222472180897837,0.660250441666383,0.826857829175369
num_changes,0.04002034701763901,0.0005294333356760106,0.2581176512446497,0.18010737788305686,0.0,0.00021754459971923268,0.038078029856583706,1.9916510098916262e-06,0.024690460737626818,0.8700449514399413,0.8658239584873562,0.020566577643742034,0.47850058396776585,0.2962737670201827,0.6801079833507859
dist_total,0.7954272034762937,0.15576908520129473,0.5225825900630072,0.8424755645229647,0.00021754459971923268,0.0,0.0,1.1258383727508203e-06,2.1029368468816756e-08,0.0011131042618091058,0.0030287843727183628,0.008761441006775339,0.025086098874592233,0.43038614571232836,0.05934493509084149
vel_mean,0.4963102686860097,0.7098713330583388,0.37660328147108846,0.9473305047244995,0.038078029856583706,0.0,0.0,0.5365818301443019,3.0877270643436816e-05,0.02360847735820215,0.028505687245980127,0.05671777922803001,0.1533692927295951,0.7687298083968142,0.1635752163643467
mov_total,0.3582789465868288,0.0019398346756529516,0.564561093130562,0.9017048745994782,1.9916510098916262e-06,1.1258383727508203e-06,0.5365818301443017,0.0,5.643121121945427e-06,0.0016897162093014728,0.007922596076653132,0.08022599258035124,0.019260683692925884,0.4341022285898175,0.8487374302230308
stratum_pref,0.3124709496543663,0.8626911759311757,0.2894772451823935,0.7086543683413926,0.024690460737626818,2.1029368468816756e-08,3.0877270643436816e-05,5.643121121945427e-06,0.0,0.020912761881456632,0.016785929007026912,0.634545368119706,0.7054096933005538,0.9402820050816727,0.209658880372265
resistance_index,0.004490799874286244,0.005211085382126557,0.6718921156750803,0.17000168530954252,0.8700449514399413,0.0011131042618091058,0.02360847735820215,0.0016897162093014728,0.020912761881456632,0.0,0.0,4.8136796584330455e-06,0.06840444791234601,0.47268277988993446,0.1099719400714787
last_flux,0.004084108095292471,0.0031410028879301777,0.7047094545076436,0.13260430632391018,0.8658239584873564,0.0030287843727183628,0.028505687245980127,0.007922596076653132,0.016785929007026912,0.0,0.0,6.7733197517405586e-06,0.9342631496815992,0.8498577318812879,0.06922486455536325
attempts,0.005518886353099717,4.6920997491151084e-05,0.4539920249589393,0.673249674946591,0.020566577643742034,0.008761441006775339,0.05671777922803001,0.08022599258035124,0.634545368119706,4.8136796584330455e-06,6.7733197517405586e-06,0.0,0.7790063880377602,0.5114593943616239,0.05582485255554892
time_in_last_flux,0.7437565715064884,0.39644975437979735,0.28509362921643167,0.8222472180897837,0.47850058396776585,0.025086098874592233,0.15336929272959532,0.019260683692925884,0.7054096933005538,0.06840444791234601,0.9342631496815992,0.7790063880377602,0.0,0.10146800172866044,0.5941852580016964
blood_sugar,0.0801452215906866,0.29537964907559155,0.9363503634529313,0.660250441666383,0.2962737670201827,0.43038614571232836,0.7687298083968142,0.4341022285898175,0.9402820050816727,0.47268277988993446,0.8498577318812879,0.5114593943616239,0.10146800172866022,0.0,0.2553902591711119
condition_factor,0.03409600322796802,0.034821681537889226,0.19556858881423933,0.826857829175369,0.6801079833507859,0.05934493509084149,0.1635752163643467,0.8487374302230308,0.209658880372265,0.1099719400714787,0.06922486455536325,0.05582485255554892,0.5941852580016964,0.2553902591711119,0.0
